DeploymentName,PodName,Deployed_to_PodScheduled,PodScheduled_to_Init,Init_to_ContainersReady,ContainersReady_to_Ready,Delete_to_CleanUp
deploy-test-16,deploy-test-16-df8ff995b-4zj4d,1000.0,0.0,2000.0,0.0,1000.0
deploy-test-29,deploy-test-29-9b548c4db-kssp4,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-30,deploy-test-30-7b96bcc4d8-rss2z,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-56,deploy-test-56-5b79ff6f96-k4m8j,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-67,deploy-test-67-7bdb95c8d-j4b8b,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-83,deploy-test-83-7bf8f97cd6-ltckj,5000.0,0.0,1000.0,0.0,1000.0
deploy-test-90,deploy-test-90-77d7c85958-dbbmt,6000.0,0.0,1000.0,0.0,1000.0
deploy-test-100,deploy-test-100-857b55775d-57bqg,6000.0,0.0,1000.0,0.0,1000.0
deploy-test-14,deploy-test-14-cb958f67d-z47qp,1000.0,0.0,2000.0,0.0,3000.0
deploy-test-26,deploy-test-26-9797bcb5-mcnw9,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-48,deploy-test-48-775fff5cf7-jgc48,3000.0,0.0,3000.0,0.0,1000.0
deploy-test-91,deploy-test-91-864466c767-7xpp8,6000.0,0.0,2000.0,0.0,0.0
deploy-test-45,deploy-test-45-c66dc6984-sx59w,4000.0,0.0,1000.0,0.0,1000.0
deploy-test-52,deploy-test-52-7c578967fb-kpkmd,3000.0,0.0,3000.0,0.0,0.0
deploy-test-54,deploy-test-54-785d6c86c8-cqswv,4000.0,0.0,3000.0,0.0,1000.0
deploy-test-65,deploy-test-65-5699fb5b74-wzfr9,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-77,deploy-test-77-64bf9f696c-hnfjq,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-96,deploy-test-96-6b97568fd4-nqfxl,6000.0,0.0,2000.0,0.0,2000.0
deploy-test-1,deploy-test-1-b65b8967d-8m2ql,0.0,0.0,3000.0,0.0,2000.0
deploy-test-34,deploy-test-34-5df97579cb-zqbhh,2000.0,0.0,2000.0,0.0,2000.0
deploy-test-50,deploy-test-50-86db49fd58-hnfs9,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-62,deploy-test-62-7f856647bf-qzpxv,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-95,deploy-test-95-f5fcd544c-kdqsb,6000.0,0.0,2000.0,0.0,1000.0
deploy-test-13,deploy-test-13-766987756f-2n6fb,1000.0,0.0,2000.0,0.0,2000.0
deploy-test-47,deploy-test-47-74bc68f67d-df2hp,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-58,deploy-test-58-7b5fcbd7fd-tpssf,4000.0,0.0,1000.0,0.0,1000.0
deploy-test-69,deploy-test-69-566cb888bb-mjf4w,5000.0,0.0,1000.0,0.0,1000.0
deploy-test-80,deploy-test-80-6bbfddbfc7-wzgpn,5000.0,0.0,2000.0,0.0,2000.0
deploy-test-81,deploy-test-81-7d68d444b4-7kbgs,5000.0,0.0,3000.0,0.0,1000.0
deploy-test-82,deploy-test-82-5c97d48755-8pn7r,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-11,deploy-test-11-689674f567-9xw26,1000.0,0.0,1000.0,0.0,1000.0
deploy-test-17,deploy-test-17-847948fc69-jdxdc,1000.0,0.0,1000.0,0.0,1000.0
deploy-test-33,deploy-test-33-5f4cc6c6dc-qnsk6,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-73,deploy-test-73-6bbb59c559-mlcmk,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-89,deploy-test-89-54d6f4fb48-kvx4x,5000.0,0.0,2000.0,0.0,2000.0
deploy-test-98,deploy-test-98-7cf5f9cf98-rvpmv,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-99,deploy-test-99-84db77fbbc-5vtch,6000.0,0.0,2000.0,0.0,1000.0
deploy-test-7,deploy-test-7-df4d4fdb8-txdmr,0.0,0.0,1000.0,0.0,1000.0
deploy-test-10,deploy-test-10-5d8d5c6cdb-j9hwb,0.0,0.0,3000.0,0.0,1000.0
deploy-test-20,deploy-test-20-6b99c9487f-nwhp4,2000.0,0.0,1000.0,0.0,2000.0
deploy-test-21,deploy-test-21-6f6844cf86-56q4l,3000.0,0.0,2000.0,0.0,2000.0
deploy-test-23,deploy-test-23-5bd4cbdd88-4r8vl,2000.0,0.0,2000.0,0.0,1000.0
deploy-test-24,deploy-test-24-559b979567-6g8t2,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-38,deploy-test-38-74697578cb-685kt,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-40,deploy-test-40-5869b5dddf-jdl9l,4000.0,0.0,1000.0,0.0,2000.0
deploy-test-42,deploy-test-42-6d666d6847-hwc6r,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-61,deploy-test-61-5d7648494b-2jbsz,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-68,deploy-test-68-665b8d76bc-46jcb,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-84,deploy-test-84-5db46c47cc-t92xn,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-86,deploy-test-86-54dc58b7c5-njdnx,6000.0,0.0,2000.0,0.0,1000.0
deploy-test-18,deploy-test-18-774dd4ffcd-m8hgq,1000.0,0.0,2000.0,0.0,1000.0
deploy-test-49,deploy-test-49-75ff4fc6b8-b9nxv,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-64,deploy-test-64-5f7bd98d8c-k8dsj,5000.0,0.0,1000.0,0.0,1000.0
deploy-test-87,deploy-test-87-8d7454478-9v62x,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-4,deploy-test-4-674dd49567-nk868,0.0,0.0,2000.0,0.0,1000.0
deploy-test-28,deploy-test-28-66d8f87c9f-7qn6j,2000.0,0.0,3000.0,0.0,0.0
deploy-test-37,deploy-test-37-589c55fb95-m8tvr,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-72,deploy-test-72-8f44dfb54-67jdj,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-27,deploy-test-27-5dd7998b8d-rt6z6,2000.0,0.0,2000.0,0.0,1000.0
deploy-test-31,deploy-test-31-5488f47c4f-7k722,3000.0,0.0,2000.0,0.0,2000.0
deploy-test-57,deploy-test-57-78c788676f-k2rz9,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-79,deploy-test-79-5c58c8c88f-cjgvf,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-2,deploy-test-2-7df5989c69-kbktk,0.0,0.0,2000.0,0.0,2000.0
deploy-test-55,deploy-test-55-6699cb98f5-xqfrw,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-60,deploy-test-60-6b9686fdbc-whwrr,5000.0,0.0,1000.0,0.0,1000.0
deploy-test-75,deploy-test-75-845d76fbd9-gkc94,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-88,deploy-test-88-6d865698f-s9zcs,5000.0,0.0,2000.0,0.0,2000.0
deploy-test-94,deploy-test-94-78f4d95b74-fhw4f,6000.0,0.0,1000.0,0.0,2000.0
deploy-test-8,deploy-test-8-669d47464c-qfkxq,0.0,0.0,3000.0,0.0,1000.0
deploy-test-15,deploy-test-15-755dfbc4b7-t8thw,2000.0,0.0,1000.0,0.0,2000.0
deploy-test-51,deploy-test-51-587cc49cff-cvjmt,4000.0,0.0,2000.0,0.0,2000.0
deploy-test-59,deploy-test-59-5857654f6c-9d796,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-70,deploy-test-70-7467857bb8-pvsdl,5000.0,0.0,1000.0,0.0,1000.0
deploy-test-92,deploy-test-92-7796c676fb-d8wv5,5000.0,0.0,2000.0,0.0,0.0
deploy-test-3,deploy-test-3-c958f595b-cgkvm,1000.0,0.0,2000.0,0.0,1000.0
deploy-test-32,deploy-test-32-5c464db8db-r4hd7,2000.0,0.0,2000.0,0.0,1000.0
deploy-test-39,deploy-test-39-65dc89c7d5-flsbm,4000.0,0.0,2000.0,0.0,1000.0
