DeploymentName,PodName,Deployed_to_PodScheduled,PodScheduled_to_Init,Init_to_ContainersReady,ContainersReady_to_Ready,Delete_to_CleanUp
deploy-test-57,deploy-test-57-78c788676f-25gxh,4000.0,0.0,2000.0,0.0,0.0
deploy-test-100,deploy-test-100-857b55775d-td58g,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-9,deploy-test-9-5dd6b778-ppp6s,0.0,0.0,1000.0,0.0,2000.0
deploy-test-28,deploy-test-28-66d8f87c9f-qnmmg,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-51,deploy-test-51-587cc49cff-ffhvr,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-49,deploy-test-49-75ff4fc6b8-lv6lb,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-89,deploy-test-89-54d6f4fb48-wzgcr,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-90,deploy-test-90-77d7c85958-dswmp,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-96,deploy-test-96-6b97568fd4-p47cw,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-14,deploy-test-14-cb958f67d-t7rl5,1000.0,0.0,2000.0,0.0,2000.0
deploy-test-16,deploy-test-16-df8ff995b-s2cwn,1000.0,0.0,2000.0,0.0,2000.0
deploy-test-18,deploy-test-18-774dd4ffcd-5zqw9,2000.0,0.0,1000.0,0.0,2000.0
deploy-test-29,deploy-test-29-9b548c4db-xmz5g,2000.0,0.0,2000.0,0.0,1000.0
deploy-test-42,deploy-test-42-6d666d6847-bqsxz,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-77,deploy-test-77-64bf9f696c-h4nx8,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-41,deploy-test-41-76b48cb76d-5fxkm,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-67,deploy-test-67-7bdb95c8d-mvf9q,5000.0,0.0,2000.0,0.0,2000.0
deploy-test-12,deploy-test-12-5478757db8-74p76,0.0,0.0,2000.0,0.0,1000.0
deploy-test-26,deploy-test-26-9797bcb5-cglrn,2000.0,0.0,3000.0,0.0,2000.0
deploy-test-40,deploy-test-40-5869b5dddf-htfr5,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-52,deploy-test-52-7c578967fb-mr4tz,4000.0,0.0,2000.0,0.0,2000.0
deploy-test-69,deploy-test-69-566cb888bb-9smm4,4000.0,0.0,1000.0,0.0,1000.0
deploy-test-74,deploy-test-74-6b9594b79b-c9vhc,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-30,deploy-test-30-7b96bcc4d8-7f2xk,2000.0,0.0,2000.0,0.0,2000.0
deploy-test-32,deploy-test-32-5c464db8db-4kj88,3000.0,0.0,2000.0,0.0,2000.0
deploy-test-47,deploy-test-47-74bc68f67d-9lfg2,4000.0,0.0,1000.0,0.0,1000.0
deploy-test-55,deploy-test-55-6699cb98f5-926vz,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-73,deploy-test-73-6bbb59c559-c7c52,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-75,deploy-test-75-845d76fbd9-p9s55,4000.0,0.0,1000.0,0.0,1000.0
deploy-test-98,deploy-test-98-7cf5f9cf98-hqddj,6000.0,0.0,2000.0,0.0,1000.0
deploy-test-3,deploy-test-3-c958f595b-m6824,0.0,0.0,1000.0,0.0,1000.0
deploy-test-10,deploy-test-10-5d8d5c6cdb-xvh5q,0.0,0.0,1000.0,0.0,3000.0
deploy-test-34,deploy-test-34-5df97579cb-4jw66,2000.0,1000.0,2000.0,0.0,2000.0
deploy-test-62,deploy-test-62-7f856647bf-jn98v,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-65,deploy-test-65-5699fb5b74-9kksz,4000.0,0.0,2000.0,0.0,1000.0
