Framework,Pod,CPU_Usage_Median,CPU_Usage_StdDev,Filtered_CPU_Usage_Median,Filtered_CPU_Usage_StdDev
karmada,alertmanager-kube-prometheus-stack-alertmanager-0,0.0004191264655035,0.0001957737414441911,,
karmada,calico-kube-controllers-658d97c59c-jhtlv,0.0032453979726857997,0.0008570919202317444,,
karmada,calico-node-6bglp,0.0344003910843742,0.008008662473384763,,
karmada,calico-node-8s89v,0.046346015881258,0.011427343273307706,,
karmada,calico-node-fszxf,0.06165441097911,0.028268436552673384,,
karmada,calico-node-n2292,0.0392074622506334,0.009332157055577243,,
karmada,calico-node-sh9fs,0.0448226315509525,0.011308453070946202,,
karmada,calico-node-xwk8l,0.061223900538177,0.04177547804672156,,
karmada,cert-manager-7ddd8cdb9f-nflbq,0.0017725910162089,0.0008888751779739679,,
karmada,cert-manager-cainjector-57cd76c845-kmk9r,0.0018669635333243,0.0008838114728206877,,
karmada,cert-manager-webhook-cf8f9f895-rxnpk,0.0005696521567589,0.0004222445942778021,,
karmada,coredns-76f75df574-cppbr,0.0021186370543547,0.0007804217933933944,,
karmada,coredns-76f75df574-qfcbg,0.0024799312873708,0.0007888083173197938,,
karmada,etcd-kubernetes-1,0.0492558943295663,0.014266363268871322,,
karmada,karmada-agent-684568b767-nrdqv,0.0052123226836012,0.0014865082052934013,,
karmada,kube-controller-manager-kubernetes-1,0.0297421452102714,0.008095282469876333,,
karmada,kube-multus-ds-9zcf8,9.702009702009789e-07,1.2186787841540484e-06,,
karmada,kube-multus-ds-kn6rr,2.0686057597e-06,3.1116463055509443e-06,,
karmada,kube-multus-ds-l266r,6.955916876792235e-07,7.888220156337831e-07,,
karmada,kube-multus-ds-thtw6,1.5569709837e-06,2.2225792247085305e-06,,
karmada,kube-multus-ds-xlb9r,6.805962022733997e-07,1.2745270354447554e-06,,
karmada,kube-multus-ds-z29rg,2.4238592053e-06,9.934572221817271e-06,,
karmada,kube-prometheus-stack-grafana-7cf5785ff8-5xrqh,0.0043332680428311,0.0023317057674528043,,
karmada,kube-prometheus-stack-kube-state-metrics-65594f9476-hkvdh,0.0012655972802622,0.0004295479149951865,,
karmada,kube-prometheus-stack-operator-75bc89f54b-c2p2r,0.0042571619363498,0.0013420687936071716,,
karmada,kube-prometheus-stack-prometheus-node-exporter-46nqv,0.0014872035282527,0.00038293512557926714,,
karmada,kube-prometheus-stack-prometheus-node-exporter-5l26g,0.0008435775752775,0.0005385150567111242,,
karmada,kube-prometheus-stack-prometheus-node-exporter-7xdtt,0.0010234602058034,0.00031418410770172104,,
karmada,kube-prometheus-stack-prometheus-node-exporter-9j5sw,0.0011085712795319,0.000448157706366425,,
karmada,kube-prometheus-stack-prometheus-node-exporter-l9wpn,0.00129012738449975,0.0008238886672011838,,
karmada,kube-prometheus-stack-prometheus-node-exporter-mlnpr,0.001048783904861,0.00023935930030458932,,
karmada,kube-proxy-79mh2,0.0003638579367143,0.00020495210736489516,,
karmada,kube-proxy-8tk6n,0.000509351801133,0.00042073912005763197,,
karmada,kube-proxy-9k8wd,0.0005074041670716,0.0003070587801916433,,
karmada,kube-proxy-bxpjd,0.0003184068954422,0.00020860110884125374,,
karmada,kube-proxy-dq5zr,0.0004154849910763,0.0003742980268376288,,
karmada,kube-proxy-mvv25,0.000368283065469,0.00023414016485159996,,
karmada,kube-scheduler-kubernetes-1,0.0065803700475022,0.0020549477259040817,,
karmada,prometheus-kube-prometheus-stack-prometheus-0,0.0547497061048954,0.014197270283306739,,
kubernetes,alertmanager-kube-prometheus-stack-alertmanager-0,0.00155823035956945,0.0006200209727093883,,
kubernetes,calico-kube-controllers-658d97c59c-wv6sg,0.0041649065381399,0.0014578764282300464,,
kubernetes,calico-node-6fzzf,0.0423329301445874,0.014492187594098632,,
kubernetes,calico-node-c866g,0.0430630986314692,0.01282677906180675,,
kubernetes,calico-node-hmc7x,0.0566868393980323,0.012693677522107484,,
kubernetes,calico-node-x5crm,0.0340335110484148,0.00684602610685835,,
kubernetes,calico-node-xqmdt,0.0469374431180764,0.011806059199332903,,
kubernetes,calico-node-zw6x2,0.0538911298596233,0.01626989938795091,,
kubernetes,coredns-76f75df574-kbflf,0.0028715642502419,0.0009208091117820355,,
kubernetes,coredns-76f75df574-mlwfn,0.0033295506072373,0.0010131721466914258,,
kubernetes,etcd-kubernetes-1,0.0513230367885652,0.013584437945160259,,
kubernetes,kube-controller-manager-kubernetes-1,0.0344944270363092,0.008023528595883367,,
kubernetes,kube-prometheus-stack-grafana-7cf5785ff8-8h4fc,0.0071557521396645,0.0030536673030315264,,
kubernetes,kube-prometheus-stack-kube-state-metrics-65594f9476-2qqh7,0.0021817400777681,0.0005836520966137835,,
kubernetes,kube-prometheus-stack-operator-75bc89f54b-qpvwh,0.0025446100006442,0.0007981139769421701,,
kubernetes,kube-prometheus-stack-prometheus-node-exporter-2q2mx,0.0010703483121124,0.000246964676097489,,
kubernetes,kube-prometheus-stack-prometheus-node-exporter-jh6rk,0.0015676587681688,0.0022101669924206625,,
kubernetes,kube-prometheus-stack-prometheus-node-exporter-nmqkj,0.0016905241737461,0.00046556878048863723,,
kubernetes,kube-prometheus-stack-prometheus-node-exporter-vf9zj,0.0015600581632836,0.0005547759511754333,,
kubernetes,kube-prometheus-stack-prometheus-node-exporter-vsvrw,0.0013224402850619,0.000508847253281038,,
kubernetes,kube-prometheus-stack-prometheus-node-exporter-zj92z,0.001910929176998,0.0005184027308570899,,
kubernetes,kube-proxy-2v5ck,0.000322663279322,0.0002529931492332856,,
kubernetes,kube-proxy-6d8mj,0.0007479750724945,0.0004917838892612092,,
kubernetes,kube-proxy-8gtbh,0.0004980799777202,0.00042779434203672913,,
kubernetes,kube-proxy-c7k2r,0.0007895157132984,0.0006318964958084204,,
kubernetes,kube-proxy-hqg4g,0.0002805563917404,0.0002015111364444346,,
kubernetes,kube-proxy-ztncm,0.000801136314424,0.00033562408856393236,,
kubernetes,kube-scheduler-kubernetes-1,0.007885858059148,0.0020484970841194946,,
kubernetes,prometheus-kube-prometheus-stack-prometheus-0,0.0350891770220607,0.010917534355848345,,
oakestra,alertmanager-kube-prometheus-stack-alertmanager-0,0.0010547428587458,0.0005816783414105804,,
oakestra,calico-kube-controllers-658d97c59c-k6fk9,0.0025368771866484,0.0009624535051295812,,
oakestra,calico-node-4wgqr,0.0394091528985175,0.010847848141670552,,
oakestra,calico-node-fttsz,0.0377710632233621,0.008658711864279316,,
oakestra,calico-node-gwvg9,0.0399391016107342,0.011771970745470154,,
oakestra,calico-node-h2rmv,0.0409196520692823,0.009470753498832217,,
oakestra,calico-node-jtxmr,0.0510515571513512,0.013100804594445552,,
oakestra,calico-node-ms975,0.038503121161028,0.009276354022780835,,
oakestra,cert-manager-7ddd8cdb9f-hrv46,0.0014862644916786,0.0008061426386996376,,
oakestra,cert-manager-cainjector-57cd76c845-zvq5k,0.0009410941320449,0.0005348626312502794,,
oakestra,cert-manager-webhook-cf8f9f895-vzkm8,0.0005370028201886,0.0003276164322630906,,
oakestra,cluster-netmanager-79477d7674-r8cmd,0.002219384419813,0.0009754858138132683,,
oakestra,coredns-76f75df574-8246r,0.0019693728700943,0.0004575371081442731,,
oakestra,coredns-76f75df574-t7xgq,0.0018998317021182,0.0004070956345740587,,
oakestra,etcd-kubernetes-1,0.0428578931951336,0.009705955985324035,,
oakestra,kube-controller-manager-kubernetes-1,0.0226766755524939,0.004800780027020452,,
oakestra,kube-multus-ds-6mfb4,1.224231491e-06,1.1970355191336393e-06,,
