pod,namespace,timestamp,value
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879198.44,0.0023406871935856394
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879199.44,0.0023686238733569695
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879200.44,0.0023965605531283
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879201.44,0.0024244972328996304
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879202.44,0.002452433912670961
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879203.44,0.0021847306787621873
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879204.44,0.0021847306787621873
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879205.44,0.0021847306787621873
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879206.44,0.0021847306787621873
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879207.44,0.0024729114989433462
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879208.44,0.0024449748191720157
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879209.44,0.0024170381394006853
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879210.44,0.002389101459629355
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879211.44,0.0023611647798580243
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879212.44,0.002333228100086694
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879213.44,0.0023052914203153634
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879214.44,0.002277354740544033
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879215.44,0.002249418060772703
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879216.44,0.0022214813810013724
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879217.44,0.0021935447012300423
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879218.44,0.002165608021458712
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879219.44,0.002122898154558373
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879220.44,0.002122898154558373
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879221.44,0.0009188008091294256
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879222.44,0.0009188008091294256
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879223.44,0.0009188008091294256
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879224.44,0.0009188008091294256
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879225.44,0.0009188008091294256
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879226.44,0.0009188008091294256
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879227.44,0.0005373733895728376
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879228.44,0.0005373733895728376
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879229.44,0.0005373733895728376
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879230.44,0.0012551443904046636
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879231.44,0.0012551443904046636
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879232.44,0.0012551443904046636
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879233.44,0.0012551443904046636
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879234.44,0.0012551443904046636
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879235.44,0.0012551443904046636
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879236.44,0.0012551443904046636
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879237.44,0.0012551443904046636
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879238.44,0.0012551443904046636
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879239.44,0.0012551443904046636
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879240.44,0.0012551443904046636
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879241.44,0.0012551443904046636
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879242.44,0.0012551443904046636
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879243.44,0.0012551443904046636
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879244.44,0.000717771000831826
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879245.44,0.000717771000831826
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879246.44,0.000717771000831826
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879247.44,0.000717771000831826
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879248.44,0.002095533049214909
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879249.44,0.002095533049214909
cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716879250.44,0.002095533049214909
