framework,Pod,CPU_Usage_Average,CPU_Usage_Variance
karmada,karmada-agent-684568b767-nrdqv,0.0052730444001529,0.00129276233558051
oakestra,cluster-netmanager-79477d7674-r8cmd,0.0022541078765254,0.0007825883353063496
oakestra,mongo-5759468d74-94zfl,0.0079558003940312,0.0017400280087644716
oakestra,mosquitto-559ccc5d46-plm7g,0.0005563632265158,0.00021810227475822325
oakestra,node-netmanager-6thck,0.0020305610622998,0.005776972093524511
oakestra,node-netmanager-c8x7r,6.55773115161e-05,0.00011235096111412059
oakestra,node-netmanager-g4r46,0.0014445041142842,0.0005279726370472548
oakestra,node-netmanager-jw5bq,0.0003044930248847,0.0002444020841839296
oakestra,node-netmanager-svw6g,0.00021654301120435,0.005498997817444001
oakestra,node-netmanager-xf6mq,0.0005353191671633,0.00042724067210446465
oakestra,oakestra-agent-7f6cb876cf-8jjl7,0.0032410289119245,0.0010474390620193823
oakestra,oakestra-controller-manager-d74f6ddf5-2s675,0.0023104392653477,0.0008263669381665656
ocm,klusterlet-84c5d6fd77-69w75,0.0053298945295284,0.002710723914470557
ocm,klusterlet-registration-agent-d4cdf65cc-646fn,0.005338575158439,0.0017384423755281498
ocm,klusterlet-work-agent-658d45bf67-5ftw9,0.004494018071906251,0.0019302615527827238
