framework,namespace,pod,container,type,value
cluster1,cert-manager,cert-manager-7ddd8cdb9f-qlfwp,POD,received_bytes,223.19040798698202
cluster1,cert-manager,cert-manager-7ddd8cdb9f-qlfwp,POD,received_packets,1.081900451128999
cluster1,cert-manager,cert-manager-7ddd8cdb9f-qlfwp,POD,transmit_bytes,146.8072510864088
cluster1,cert-manager,cert-manager-7ddd8cdb9f-qlfwp,POD,transmit_packets,1.0815613358790201
cluster1,cert-manager,cert-manager-cainjector-57cd76c845-zvq5k,POD,received_bytes,173.21031978484578
cluster1,cert-manager,cert-manager-cainjector-57cd76c845-zvq5k,POD,received_packets,0.5263293841020068
cluster1,cert-manager,cert-manager-cainjector-57cd76c845-zvq5k,POD,transmit_bytes,99.82840674004001
cluster1,cert-manager,cert-manager-cainjector-57cd76c845-zvq5k,POD,transmit_packets,0.5757320268664328
cluster1,cert-manager,cert-manager-webhook-cf8f9f895-2cqbw,POD,received_bytes,138.8657306107468
cluster1,cert-manager,cert-manager-webhook-cf8f9f895-2cqbw,POD,received_packets,1.5394062601031606
cluster1,cert-manager,cert-manager-webhook-cf8f9f895-2cqbw,POD,transmit_bytes,122.0499888654
cluster1,cert-manager,cert-manager-webhook-cf8f9f895-2cqbw,POD,transmit_packets,1.3786549801635486
cluster1,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,received_bytes,317.51621269032063
cluster1,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,received_packets,2.0879568832068904
cluster1,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,transmit_bytes,389.13000334158886
cluster1,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,transmit_packets,1.7412942920620285
cluster1,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-k4j2g,POD,received_bytes,10977.153501167313
cluster1,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-k4j2g,POD,received_packets,2.5552650126160423
cluster1,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-k4j2g,POD,transmit_bytes,330.26987072552333
cluster1,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-k4j2g,POD,transmit_packets,1.9513423603585387
cluster1,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-ktn5j,POD,received_bytes,1508.7026080847354
cluster1,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-ktn5j,POD,received_packets,5.3311116853951495
cluster1,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-ktn5j,POD,transmit_bytes,18739.912377602464
cluster1,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-ktn5j,POD,transmit_packets,5.810672806038915
cluster1,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-kfgd7,POD,received_bytes,390.59624609504476
cluster1,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-kfgd7,POD,received_packets,0.9412310671727765
cluster1,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-kfgd7,POD,transmit_bytes,239.74071930837783
cluster1,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-kfgd7,POD,transmit_packets,1.0011997245915305
cluster1,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-22dj2,POD,received_bytes,49905.13150781202
cluster1,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-22dj2,POD,received_packets,52.185171842647684
cluster1,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-22dj2,POD,transmit_bytes,52106.99737249117
cluster1,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-22dj2,POD,transmit_packets,54.130397258234446
cluster1,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-7fhxq,POD,received_bytes,16844.513130377167
cluster1,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-7fhxq,POD,received_packets,42.95267814706714
cluster1,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-7fhxq,POD,transmit_bytes,19671.88640329638
cluster1,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-7fhxq,POD,transmit_packets,43.188532996030425
cluster1,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-vhr4k,POD,received_bytes,4092.421229695552
cluster1,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-vhr4k,POD,received_packets,27.96146626060765
cluster1,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-vhr4k,POD,transmit_bytes,38092.34265167303
cluster1,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-vhr4k,POD,transmit_packets,27.223908101407854
cluster1,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,received_bytes,36745.0661503114
cluster1,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,received_packets,12.124670327807216
cluster1,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,transmit_bytes,1196.8064010970122
cluster1,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,transmit_packets,10.881831063852749
cluster1,kube-system,calico-kube-controllers-658d97c59c-k6fk9,POD,received_bytes,740.8725472989087
cluster1,kube-system,calico-kube-controllers-658d97c59c-k6fk9,POD,received_packets,0.6785200537134938
cluster1,kube-system,calico-kube-controllers-658d97c59c-k6fk9,POD,transmit_bytes,59.01037438519662
cluster1,kube-system,calico-kube-controllers-658d97c59c-k6fk9,POD,transmit_packets,0.6540982218686713
