namespace,pod,timestamp,value
karmada-system,karmada-agent-684568b767-nrdqv,1716877223.204,64716800
karmada-system,karmada-agent-684568b767-nrdqv,1716877224.204,64716800
karmada-system,karmada-agent-684568b767-nrdqv,1716877225.204,64716800
karmada-system,karmada-agent-684568b767-nrdqv,1716877226.204,64716800
karmada-system,karmada-agent-684568b767-nrdqv,1716877227.204,64716800
karmada-system,karmada-agent-684568b767-nrdqv,1716877228.204,64716800
karmada-system,karmada-agent-684568b767-nrdqv,1716877229.204,64716800
karmada-system,karmada-agent-684568b767-nrdqv,1716877230.204,64716800
karmada-system,karmada-agent-684568b767-nrdqv,1716877231.204,64716800
karmada-system,karmada-agent-684568b767-nrdqv,1716877232.204,64716800
karmada-system,karmada-agent-684568b767-nrdqv,1716877233.204,64716800
karmada-system,karmada-agent-684568b767-nrdqv,1716877234.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877235.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877236.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877237.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877238.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877239.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877240.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877241.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877242.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877243.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877244.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877245.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877246.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877247.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877248.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877249.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877250.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877251.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877252.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877253.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877254.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877255.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877256.204,64712704
karmada-system,karmada-agent-684568b767-nrdqv,1716877257.204,64720896
karmada-system,karmada-agent-684568b767-nrdqv,1716877258.204,64720896
karmada-system,karmada-agent-684568b767-nrdqv,1716877259.204,64720896
karmada-system,karmada-agent-684568b767-nrdqv,1716877260.204,64720896
karmada-system,karmada-agent-684568b767-nrdqv,1716877261.204,64720896
karmada-system,karmada-agent-684568b767-nrdqv,1716877262.204,64720896
karmada-system,karmada-agent-684568b767-nrdqv,1716877263.204,64720896
karmada-system,karmada-agent-684568b767-nrdqv,1716877264.204,64720896
karmada-system,karmada-agent-684568b767-nrdqv,1716877265.204,64720896
karmada-system,karmada-agent-684568b767-nrdqv,1716877266.204,64720896
karmada-system,karmada-agent-684568b767-nrdqv,1716877267.204,64720896
karmada-system,karmada-agent-684568b767-nrdqv,1716877268.204,64720896
