framework,namespace,pod,container,type,value
karmada,cert-manager,cert-manager-7ddd8cdb9f-nflbq,POD,received_bytes,288.6612653561731
karmada,cert-manager,cert-manager-7ddd8cdb9f-nflbq,POD,received_packets,2.7079501984823935
karmada,cert-manager,cert-manager-7ddd8cdb9f-nflbq,POD,transmit_bytes,149.40227142180856
karmada,cert-manager,cert-manager-7ddd8cdb9f-nflbq,POD,transmit_packets,1.0875407742228143
karmada,cert-manager,cert-manager-cainjector-57cd76c845-kmk9r,POD,received_bytes,202.2880815103667
karmada,cert-manager,cert-manager-cainjector-57cd76c845-kmk9r,POD,received_packets,1.319833421260828
karmada,cert-manager,cert-manager-cainjector-57cd76c845-kmk9r,POD,transmit_bytes,97.30894139021831
karmada,cert-manager,cert-manager-cainjector-57cd76c845-kmk9r,POD,transmit_packets,0.5458119059902158
karmada,cert-manager,cert-manager-webhook-cf8f9f895-rxnpk,POD,received_bytes,179.9080339175146
karmada,cert-manager,cert-manager-webhook-cf8f9f895-rxnpk,POD,received_packets,2.448167811123778
karmada,cert-manager,cert-manager-webhook-cf8f9f895-rxnpk,POD,transmit_bytes,122.56658484352151
karmada,cert-manager,cert-manager-webhook-cf8f9f895-rxnpk,POD,transmit_packets,1.3888917969151156
karmada,karmada-system,karmada-agent-684568b767-nrdqv,POD,received_bytes,5076.969751940871
karmada,karmada-system,karmada-agent-684568b767-nrdqv,POD,received_packets,6.17675860610207
karmada,karmada-system,karmada-agent-684568b767-nrdqv,POD,transmit_bytes,913.8627441143262
karmada,karmada-system,karmada-agent-684568b767-nrdqv,POD,transmit_packets,5.207154739908696
karmada,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,received_bytes,196.66764882995187
karmada,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,received_packets,3.075024218929714
karmada,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,transmit_bytes,124.12163891991968
karmada,kube-prometheus-stack,alertmanager-kube-prometheus-stack-alertmanager-0,POD,transmit_packets,1.2798557330697522
karmada,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-5xrqh,POD,received_bytes,10712.634620847472
karmada,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-5xrqh,POD,received_packets,2.265774727385865
karmada,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-5xrqh,POD,transmit_bytes,328.6052109235457
karmada,kube-prometheus-stack,kube-prometheus-stack-grafana-7cf5785ff8-5xrqh,POD,transmit_packets,1.9202328569764708
karmada,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-hkvdh,POD,received_bytes,1428.2617860044272
karmada,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-hkvdh,POD,received_packets,4.740739752129543
karmada,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-hkvdh,POD,transmit_bytes,24923.608898691615
karmada,kube-prometheus-stack,kube-prometheus-stack-kube-state-metrics-65594f9476-hkvdh,POD,transmit_packets,4.574471166350647
karmada,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-c2p2r,POD,received_bytes,499.0367263250987
karmada,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-c2p2r,POD,received_packets,0.915604910717786
karmada,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-c2p2r,POD,transmit_bytes,245.7849938828546
karmada,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-c2p2r,POD,transmit_packets,0.9908323214417893
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-46nqv,POD,received_bytes,258796.77537552407
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-46nqv,POD,received_packets,3936.304258945615
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-46nqv,POD,transmit_bytes,279343.6685387276
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-46nqv,POD,transmit_packets,3950.1987905037786
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-5l26g,POD,received_bytes,172151.91949103636
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-5l26g,POD,received_packets,2657.06183307489
