namespace,container,pod,timestamp,value
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830214.89,281.9164583026915
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830215.89,281.9164583026915
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830216.89,281.9164583026915
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830217.89,281.9164583026915
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830218.89,281.9164583026915
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830219.89,281.9164583026915
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830220.89,281.9164583026915
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830221.89,281.9164583026915
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830222.89,281.9164583026915
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830223.89,281.9164583026915
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830224.89,281.9164583026915
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830225.89,281.9164583026915
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830226.89,281.9164583026915
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830227.89,205.02374430063247
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830228.89,200.32513666225427
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830229.89,195.62652902387606
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830231.89,205.0768402798541
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830232.89,205.0768402798541
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830233.89,205.0768402798541
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830234.89,205.0768402798541
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830235.89,205.0768402798541
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830236.89,205.0768402798541
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830237.89,205.0768402798541
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830238.89,205.0768402798541
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830239.89,205.0768402798541
cert-manager,POD,cert-manager-7ddd8cdb9f-qlfwp,1716830240.89,205.0768402798541
