pod,container,namespace,timestamp,value
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936090.472,1750.3
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936091.472,2260.9762801258676
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936092.472,2198.389567689337
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936093.472,2135.802855252807
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936094.472,2073.2161428162767
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936095.472,2010.629430379747
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936096.472,1948.0427179432168
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936097.472,4820.342167326218
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936098.472,4820.342167326218
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936099.472,4820.342167326218
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936100.472,4820.342167326218
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936101.472,4820.342167326218
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936102.472,4820.342167326218
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936103.472,4820.342167326218
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936104.472,4820.342167326218
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936105.472,4820.342167326218
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936106.472,4820.342167326218
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936107.472,5233.47479958947
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936108.472,5233.47479958947
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936109.472,5233.47479958947
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936110.472,5233.47479958947
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936111.472,5233.47479958947
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936112.472,5233.47479958947
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936113.472,5233.47479958947
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936114.472,5233.47479958947
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936115.472,5233.47479958947
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936116.472,5233.47479958947
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936117.472,5233.47479958947
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936118.472,5233.47479958947
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936119.472,5233.47479958947
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936120.472,5233.47479958947
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936134.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936135.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936136.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936137.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936138.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936139.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936140.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936141.472,4852.673416225797
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936142.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936143.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936144.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936145.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936146.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936147.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936148.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936149.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936150.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936151.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936152.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936153.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936154.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936155.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936156.472,4852.673416225796
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936157.472,2458.0359096313914
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936158.472,2527.5662306777645
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936159.472,2597.096551724138
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936160.472,2666.6268727705115
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936161.472,2736.1571938168845
