instance,timestamp,value
10.100.252.254:10250,1715933034.405,842366976
10.100.252.254:10250,1715933035.405,842366976
10.100.252.254:10250,1715933036.405,842366976
10.100.252.254:10250,1715933037.405,842321920
10.100.252.254:10250,1715933038.405,841908224
10.100.252.254:10250,1715933039.405,841875456
10.100.252.254:10250,1715933040.405,842092544
10.100.252.254:10250,1715933041.405,842092544
10.100.252.254:10250,1715933042.405,842092544
10.100.252.254:10250,1715933043.405,842092544
10.100.252.254:10250,1715933044.405,842100736
10.100.252.254:10250,1715933045.405,842121216
10.100.252.254:10250,1715933046.405,842121216
10.100.252.254:10250,1715933047.405,842121216
10.100.252.254:10250,1715933048.405,842121216
10.100.252.254:10250,1715933049.405,841924608
10.100.252.254:10250,1715933050.405,842133504
10.100.252.254:10250,1715933051.405,842133504
10.100.252.254:10250,1715933052.405,842133504
10.100.252.254:10250,1715933053.405,842133504
10.100.252.254:10250,1715933054.405,842133504
10.100.252.254:10250,1715933055.405,842133504
10.100.252.254:10250,1715933056.405,842133504
10.100.252.254:10250,1715933057.405,842133504
10.100.252.254:10250,1715933058.405,842133504
10.100.252.254:10250,1715933059.405,842133504
10.100.252.254:10250,1715933060.405,842133504
10.100.252.254:10250,1715933061.405,842133504
10.100.252.254:10250,1715933062.405,842133504
10.100.252.254:10250,1715933063.405,842133504
10.100.252.254:10250,1715933064.405,842133504
10.100.252.254:10250,1715933065.405,842133504
10.100.252.254:10250,1715933066.405,842133504
10.100.252.254:10250,1715933067.405,842133504
10.100.252.254:10250,1715933068.405,842129408
10.100.252.254:10250,1715933069.405,842149888
10.100.252.254:10250,1715933070.405,842260480
10.100.252.254:10250,1715933071.405,842260480
10.100.252.254:10250,1715933072.405,842260480
10.100.252.254:10250,1715933073.405,842260480
10.100.252.254:10250,1715933074.405,842260480
10.100.252.254:10250,1715933075.405,842260480
10.100.252.254:10250,1715933076.405,842260480
10.100.252.254:10250,1715933077.405,842260480
10.100.252.254:10250,1715933078.405,842272768
10.100.252.254:10250,1715933079.405,842297344
10.100.252.254:10250,1715933080.405,842313728
