instance,timestamp,value
10.100.252.186:10250,1716028233.311,1986543616
10.100.252.186:10250,1716028234.311,1963900928
10.100.252.186:10250,1716028235.311,1963900928
10.100.252.186:10250,1716028236.311,1963954176
10.100.252.186:10250,1716028237.311,1963954176
10.100.252.186:10250,1716028238.311,1963954176
10.100.252.186:10250,1716028239.311,1963954176
10.100.252.186:10250,1716028240.311,1963954176
10.100.252.186:10250,1716028241.311,1963954176
10.100.252.186:10250,1716028242.311,1963954176
10.100.252.186:10250,1716028243.311,1963954176
10.100.252.186:10250,1716028244.311,1963954176
10.100.252.186:10250,1716028245.311,1963954176
10.100.252.186:10250,1716028246.311,1963954176
10.100.252.186:10250,1716028247.311,1963954176
10.100.252.186:10250,1716028248.311,1963954176
10.100.252.186:10250,1716028249.311,1963954176
10.100.252.186:10250,1716028250.311,1963954176
10.100.252.186:10250,1716028251.311,1963954176
10.100.252.186:10250,1716028252.311,1963954176
10.100.252.186:10250,1716028253.311,1963954176
10.100.252.186:10250,1716028254.311,1963958272
10.100.252.186:10250,1716028255.311,1963958272
10.100.252.186:10250,1716028256.311,1964101632
10.100.252.186:10250,1716028257.311,1964101632
10.100.252.186:10250,1716028258.311,1964101632
10.100.252.186:10250,1716028259.311,1964101632
10.100.252.186:10250,1716028260.311,1964068864
10.100.252.186:10250,1716028261.311,1964077056
10.100.252.186:10250,1716028262.311,1964077056
10.100.252.186:10250,1716028263.311,1964064768
10.100.252.186:10250,1716028264.311,1964064768
10.100.252.186:10250,1716028265.311,1964142592
10.100.252.186:10250,1716028266.311,1964253184
10.100.252.186:10250,1716028267.311,1964253184
10.100.252.186:10250,1716028268.311,1964253184
10.100.252.186:10250,1716028269.311,1964253184
10.100.252.186:10250,1716028270.311,1964253184
10.100.252.186:10250,1716028271.311,1964253184
10.100.252.186:10250,1716028272.311,1964253184
10.100.252.186:10250,1716028273.311,1964253184
10.100.252.186:10250,1716028274.311,1964253184
10.100.252.186:10250,1716028275.311,1964253184
10.100.252.186:10250,1716028276.311,1964253184
10.100.252.186:10250,1716028277.311,1964253184
10.100.252.186:10250,1716028278.311,1964253184
10.100.252.186:10250,1716028279.311,1964253184
10.100.252.186:10250,1716028280.311,1964253184
10.100.252.186:10250,1716028281.311,1964257280
10.100.252.186:10250,1716028282.311,1964265472
10.100.252.186:10250,1716028283.311,1964273664
10.100.252.186:10250,1716028284.311,1964273664
10.100.252.186:10250,1716028285.311,1964273664
10.100.252.186:10250,1716028286.311,1964273664
10.100.252.186:10250,1716028287.311,1964134400
10.100.252.186:10250,1716028288.311,1964429312
10.100.252.186:10250,1716028289.311,1964429312
10.100.252.186:10250,1716028290.311,1964539904
10.100.252.186:10250,1716028291.311,1964650496
10.100.252.186:10250,1716028292.311,1964650496
10.100.252.186:10250,1716028293.311,1964843008
10.100.252.186:10250,1716028294.311,1964843008
10.100.252.186:10250,1716028295.311,1964843008
10.100.252.186:10250,1716028296.311,1964843008
10.100.252.186:10250,1716028297.311,1964888064
10.100.252.186:10250,1716028298.311,1964888064
10.100.252.186:10250,1716028299.311,1964888064
10.100.252.186:10250,1716028300.311,1964888064
10.100.252.186:10250,1716028301.311,1964888064
10.100.252.186:10250,1716028302.311,1964888064
10.100.252.186:10250,1716028303.311,1964888064
10.100.252.186:10250,1716028304.311,1964888064
10.100.252.186:10250,1716028305.311,1964888064
10.100.252.186:10250,1716028306.311,1964888064
10.100.252.186:10250,1716028307.311,1964888064
10.100.252.186:10250,1716028308.311,1964888064
10.100.252.186:10250,1716028309.311,1964888064
10.100.252.186:10250,1716028310.311,1964888064
10.100.252.186:10250,1716028311.311,1964888064
10.100.252.186:10250,1716028312.311,1964888064
10.100.252.186:10250,1716028313.311,1964888064
10.100.252.186:10250,1716028314.311,1964888064
10.100.252.186:10250,1716028315.311,1965105152
10.100.252.186:10250,1716028316.311,1965109248
10.100.252.186:10250,1716028317.311,1965109248
10.100.252.186:10250,1716028318.311,1965117440
10.100.252.186:10250,1716028319.311,1965109248
10.100.252.186:10250,1716028320.311,1965228032
10.100.252.186:10250,1716028321.311,1965236224
10.100.252.186:10250,1716028322.311,1965236224
10.100.252.186:10250,1716028323.311,1965555712
10.100.252.186:10250,1716028324.311,1965555712
10.100.252.186:10250,1716028325.311,1965408256
10.100.252.186:10250,1716028326.311,1965613056
10.100.252.186:10250,1716028327.311,1965613056
10.100.252.186:10250,1716028328.311,1965613056
10.100.252.186:10250,1716028329.311,1965613056
10.100.252.186:10250,1716028330.311,1965613056
10.100.252.186:10250,1716028331.311,1965613056
10.100.252.186:10250,1716028332.311,1965613056
10.100.252.186:10250,1716028333.311,1965613056
10.100.252.186:10250,1716028334.311,1965613056
10.100.252.186:10250,1716028335.311,1965613056
10.100.252.186:10250,1716028336.311,1965613056
10.100.252.186:10250,1716028337.311,1965613056
10.100.252.186:10250,1716028338.311,1965613056
10.100.252.186:10250,1716028339.311,1965613056
10.100.252.186:10250,1716028340.311,1965608960
10.100.252.186:10250,1716028341.311,1965608960
10.100.252.186:10250,1716028342.311,1965608960
10.100.252.186:10250,1716028343.311,1986240512
10.100.252.186:10250,1716028344.311,1986240512
10.100.252.186:10250,1716028345.311,1986240512
10.100.252.186:10250,1716028346.311,1986256896
10.100.252.186:10250,1716028347.311,1986252800
10.100.252.186:10250,1716028348.311,1985847296
10.100.252.186:10250,1716028349.311,1985847296
10.100.252.186:10250,1716028350.311,1985847296
10.100.252.186:10250,1716028351.311,1985417216
10.100.252.186:10250,1716028352.311,1985118208
10.100.252.186:10250,1716028353.311,1985118208
10.100.252.186:10250,1716028354.311,1984696320
10.100.252.186:10250,1716028355.311,1984704512
10.100.252.186:10250,1716028356.311,2006081536
10.100.252.186:10250,1716028357.311,2006081536
10.100.252.186:10250,1716028358.311,2006081536
10.100.252.186:10250,1716028359.311,2006081536
10.100.252.186:10250,1716028360.311,2006081536
10.100.252.186:10250,1716028361.311,2006081536
10.100.252.186:10250,1716028362.311,2006081536
10.100.252.186:10250,1716028363.311,2006081536
10.100.252.186:10250,1716028364.311,2006081536
10.100.252.186:10250,1716028365.311,2006081536
10.100.252.186:10250,1716028366.311,2006081536
10.100.252.186:10250,1716028367.311,2006081536
10.100.252.186:10250,1716028368.311,2006081536
10.100.252.186:10250,1716028369.311,2006081536
10.100.252.186:10250,1716028370.311,2006081536
10.100.252.186:10250,1716028371.311,2006081536
10.100.252.186:10250,1716028372.311,2006081536
10.100.252.186:10250,1716028373.311,2006077440
10.100.252.186:10250,1716028374.311,2006593536
10.100.252.186:10250,1716028375.311,2006593536
10.100.252.186:10250,1716028376.311,2006437888
10.100.252.186:10250,1716028377.311,2006327296
10.100.252.186:10250,1716028378.311,2006327296
10.100.252.186:10250,1716028379.311,2006413312
10.100.252.186:10250,1716028380.311,2006421504
10.100.252.186:10250,1716028381.311,2006519808
10.100.252.186:10250,1716028382.311,2006646784
10.100.252.186:10250,1716028383.311,2006380544
10.100.252.186:10250,1716028384.311,2006380544
10.100.252.186:10250,1716028385.311,2006376448
10.100.252.186:10250,1716028386.311,2006310912
10.100.252.186:10250,1716028387.311,2006102016
