container,pod,namespace,timestamp,value
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830693.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830694.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830695.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830696.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830697.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830698.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830699.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830700.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830701.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830702.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830703.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830704.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830705.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830706.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830707.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830708.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830709.814,1.1610498334810109
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830710.814,0.9708885866485322
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830711.814,0.9948159482161523
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830712.814,1.0187433097837721
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830713.814,1.0426706713513922
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830714.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830715.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830716.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830717.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830718.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830719.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830720.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830721.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830722.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830723.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830724.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830725.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830726.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830727.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830728.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830729.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830730.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830731.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830732.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830733.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830734.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830735.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830736.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830737.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830738.814,1.4356416940571988
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830739.814,1.037526288614354
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830740.814,1.013598927046734
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830741.814,1.292212267401792
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830742.814,1.292212267401792
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830743.814,1.1719616103386017
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830744.814,1.1719616103386017
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830745.814,1.1719616103386017
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830746.814,1.1719616103386017
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830747.814,1.1719616103386017
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830748.814,1.1719616103386017
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830749.814,1.1719616103386017
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830750.814,1.1719616103386017
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830751.814,1.1719616103386017
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830752.814,1.1719616103386017
POD,cert-manager-7ddd8cdb9f-fmhw4,cert-manager,1716830753.814,1.1719616103386017
