namespace,container,pod,timestamp,value
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879586.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879587.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879588.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879589.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879590.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879591.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879592.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879593.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879594.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879595.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879596.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879597.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879598.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879599.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879600.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879601.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879602.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879603.253,1.6368481157213552
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879604.253,1.1941079812206572
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879605.253,1.166827179291968
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879606.253,1.1395463773632788
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879607.253,1.386025398915435
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879608.253,1.386025398915435
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879609.253,1.1765079970746288
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879610.253,1.1765079970746288
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879611.253,1.1765079970746288
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879612.253,1.1765079970746288
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879613.253,1.1765079970746288
