pod,mean,std,coefficient_of_variation
cluster-netmanager-7d98656bc5-q8ng6,0.0011880902607932467,0.00025667772000651954,21.60422726091069
mongo-5759468d74-75wk2,0.009605358538630294,0.0021058992661502447,21.92421300757131
mosquitto-559ccc5d46-hvrpf,0.001073940257337466,0.0004006651660559307,37.30795668739225
node-netmanager-4p4h5,9.726265448196105e-05,0.00034620652908208695,355.9501135621346
node-netmanager-9k4lg,8.899293720163398e-05,0.0002655915728800771,298.44118109993184
node-netmanager-r2qv7,0.00018148097885897926,0.0004992759700318129,275.11201073021425
node-netmanager-r5kn2,9.59713524451909e-05,0.00035789354360949875,372.91705752911133
node-netmanager-rww47,0.00014897926605303985,0.0004422479559180769,296.8520168173113
node-netmanager-zmlln,0.00022258169268158789,0.0005977891648829952,268.5706796821591
oakestra-agent-6775cbd55b-mdhxn,0.002849809171389699,0.0006817169783433537,23.921495698286243
oakestra-controller-manager-d74f6ddf5-rh89f,0.0020245937289944333,0.0005756123019929237,28.43100290934994
