framework,Pod,CPU_Usage_Average,CPU_Usage_Variance
karmada,karmada-agent-f95c4fdc6-p88cd,50921472.0,372251.2202596495
oakestra,cluster-netmanager-7d98656bc5-q8ng6,78905344.0,40705.464171271495
oakestra,mongo-5759468d74-75wk2,148426752.0,164271.09677366703
oakestra,mosquitto-559ccc5d46-hvrpf,1482752.0,36536.15870592729
oakestra,node-netmanager-4p4h5,25407488.0,643003.6978259397
oakestra,node-netmanager-9k4lg,25288704.0,4434616.267088395
oakestra,node-netmanager-r2qv7,25563136.0,5718833.467639889
oakestra,node-netmanager-r5kn2,25346048.0,4635984.8676120145
oakestra,node-netmanager-rww47,26103808.0,4877046.581057392
oakestra,node-netmanager-zmlln,25997312.0,188434.70987052738
oakestra,oakestra-agent,17440768.0,6031543.281560466
oakestra,oakestra-controller-manager-d74f6ddf5-rh89f,38924288.0,331254.47772321274
ocm,klusterlet-84c5d6fd77-rzx2j,53960704.0,1986186.268479287
ocm,klusterlet-registration-agent-84bc7c6b5c-rtrnl,45965312.0,54933.02632752318
ocm,klusterlet-work-agent-846989bd45-82vkw,56541184.0,37956.24191333175
