instance,timestamp,value
10.100.252.186:10250,1716029356.126,2008899584
10.100.252.186:10250,1716029357.126,2008899584
10.100.252.186:10250,1716029358.126,2008899584
10.100.252.186:10250,1716029359.126,2008899584
10.100.252.186:10250,1716029360.126,2008899584
10.100.252.186:10250,1716029361.126,2008899584
10.100.252.186:10250,1716029362.126,2008899584
10.100.252.186:10250,1716029363.126,2008887296
10.100.252.186:10250,1716029364.126,2008895488
10.100.252.186:10250,1716029365.126,2008891392
10.100.252.186:10250,1716029366.126,2008997888
10.100.252.186:10250,1716029367.126,2008997888
10.100.252.186:10250,1716029368.126,2009260032
10.100.252.186:10250,1716029369.126,2009260032
10.100.252.186:10250,1716029370.126,2009260032
10.100.252.186:10250,1716029371.126,2009395200
10.100.252.186:10250,1716029372.126,2010038272
10.100.252.186:10250,1716029373.126,2010181632
10.100.252.186:10250,1716029374.126,2010648576
10.100.252.186:10250,1716029375.126,2010644480
10.100.252.186:10250,1716029376.126,2010644480
10.100.252.186:10250,1716029377.126,2010644480
10.100.252.186:10250,1716029378.126,2010644480
10.100.252.186:10250,1716029379.126,2010644480
10.100.252.186:10250,1716029380.126,2010644480
10.100.252.186:10250,1716029381.126,2010644480
10.100.252.186:10250,1716029382.126,2010644480
10.100.252.186:10250,1716029383.126,2010644480
10.100.252.186:10250,1716029384.126,2010644480
10.100.252.186:10250,1716029385.126,2010644480
10.100.252.186:10250,1716029386.126,2010644480
10.100.252.186:10250,1716029387.126,2010644480
10.100.252.186:10250,1716029388.126,2010644480
10.100.252.186:10250,1716029389.126,2010644480
10.100.252.186:10250,1716029390.126,2010656768
10.100.252.186:10250,1716029391.126,2010808320
10.100.252.186:10250,1716029392.126,2010808320
10.100.252.186:10250,1716029393.126,2010808320
10.100.252.186:10250,1716029394.126,2010943488
10.100.252.186:10250,1716029395.126,2010951680
10.100.252.186:10250,1716029396.126,2010951680
10.100.252.186:10250,1716029397.126,2011041792
10.100.252.186:10250,1716029398.126,2010656768
10.100.252.186:10250,1716029399.126,2010656768
10.100.252.186:10250,1716029400.126,2010656768
10.100.252.186:10250,1716029401.126,2010898432
10.100.252.186:10250,1716029402.126,2011168768
10.100.252.186:10250,1716029403.126,2011168768
10.100.252.186:10250,1716029404.126,2011312128
10.100.252.186:10250,1716029405.126,2011377664
10.100.252.186:10250,1716029406.126,2011590656
10.100.252.186:10250,1716029407.126,2011815936
10.100.252.186:10250,1716029408.126,2011815936
10.100.252.186:10250,1716029409.126,2011815936
10.100.252.186:10250,1716029410.126,2011815936
10.100.252.186:10250,1716029411.126,2011815936
10.100.252.186:10250,1716029412.126,2011815936
10.100.252.186:10250,1716029413.126,2011815936
10.100.252.186:10250,1716029414.126,2011815936
10.100.252.186:10250,1716029415.126,2011815936
10.100.252.186:10250,1716029416.126,2011815936
10.100.252.186:10250,1716029417.126,2011815936
10.100.252.186:10250,1716029418.126,2011840512
10.100.252.186:10250,1716029419.126,2011840512
10.100.252.186:10250,1716029420.126,2011840512
10.100.252.186:10250,1716029421.126,2011975680
10.100.252.186:10250,1716029422.126,2011983872
10.100.252.186:10250,1716029423.126,2011983872
10.100.252.186:10250,1716029424.126,1977761792
10.100.252.186:10250,1716029425.126,1977761792
10.100.252.186:10250,1716029426.126,1977606144
10.100.252.186:10250,1716029427.126,1977606144
10.100.252.186:10250,1716029428.126,1977606144
10.100.252.186:10250,1716029429.126,1977606144
10.100.252.186:10250,1716029430.126,1977454592
10.100.252.186:10250,1716029431.126,1977618432
10.100.252.186:10250,1716029432.126,1943908352
10.100.252.186:10250,1716029433.126,1943904256
10.100.252.186:10250,1716029434.126,1943908352
10.100.252.186:10250,1716029435.126,1943908352
10.100.252.186:10250,1716029436.126,1944203264
10.100.252.186:10250,1716029437.126,1944076288
10.100.252.186:10250,1716029438.126,1944076288
10.100.252.186:10250,1716029439.126,1944076288
10.100.252.186:10250,1716029440.126,1944076288
10.100.252.186:10250,1716029441.126,1944076288
10.100.252.186:10250,1716029442.126,1944076288
10.100.252.186:10250,1716029443.126,1944076288
10.100.252.186:10250,1716029444.126,1944076288
10.100.252.186:10250,1716029445.126,1944076288
10.100.252.186:10250,1716029446.126,1944076288
10.100.252.186:10250,1716029447.126,1944076288
10.100.252.186:10250,1716029448.126,1944076288
10.100.252.186:10250,1716029449.126,1944076288
10.100.252.186:10250,1716029450.126,1944076288
10.100.252.186:10250,1716029451.126,1944100864
10.100.252.186:10250,1716029452.126,1944100864
10.100.252.186:10250,1716029453.126,1944109056
10.100.252.186:10250,1716029454.126,1944092672
10.100.252.186:10250,1716029455.126,1944092672
10.100.252.186:10250,1716029456.126,1943846912
10.100.252.186:10250,1716029457.126,1943953408
10.100.252.186:10250,1716029458.126,1943957504
10.100.252.186:10250,1716029459.126,1944084480
10.100.252.186:10250,1716029460.126,1943924736
10.100.252.186:10250,1716029461.126,1943924736
10.100.252.186:10250,1716029462.126,1943515136
10.100.252.186:10250,1716029463.126,1943126016
10.100.252.186:10250,1716029464.126,1942937600
10.100.252.186:10250,1716029465.126,1942929408
10.100.252.186:10250,1716029466.126,1942917120
10.100.252.186:10250,1716029467.126,1942917120
10.100.252.186:10250,1716029468.126,1942917120
10.100.252.186:10250,1716029469.126,1942917120
10.100.252.186:10250,1716029470.126,1942917120
10.100.252.186:10250,1716029471.126,1942917120
10.100.252.186:10250,1716029472.126,1942917120
10.100.252.186:10250,1716029473.126,1942917120
10.100.252.186:10250,1716029474.126,1942917120
10.100.252.186:10250,1716029475.126,1942917120
10.100.252.186:10250,1716029476.126,1942917120
10.100.252.186:10250,1716029477.126,1942917120
10.100.252.186:10250,1716029478.126,1942917120
10.100.252.186:10250,1716029479.126,1942917120
10.100.252.186:10250,1716029480.126,1942917120
10.100.252.186:10250,1716029481.126,1942917120
10.100.252.186:10250,1716029482.126,1942929408
10.100.252.186:10250,1716029483.126,1942929408
10.100.252.186:10250,1716029484.126,1942929408
10.100.252.186:10250,1716029485.126,1942949888
10.100.252.186:10250,1716029486.126,1942949888
10.100.252.186:10250,1716029487.126,1942945792
10.100.252.186:10250,1716029488.126,1942945792
10.100.252.186:10250,1716029489.126,1942945792
10.100.252.186:10250,1716029490.126,1943031808
10.100.252.186:10250,1716029491.126,1945542656
10.100.252.186:10250,1716029492.126,1945579520
10.100.252.186:10250,1716029493.126,1945493504
10.100.252.186:10250,1716029494.126,1947869184
10.100.252.186:10250,1716029495.126,1947963392
10.100.252.186:10250,1716029496.126,1948004352
10.100.252.186:10250,1716029497.126,1948004352
10.100.252.186:10250,1716029498.126,1948004352
10.100.252.186:10250,1716029499.126,1948004352
10.100.252.186:10250,1716029500.126,1948004352
10.100.252.186:10250,1716029501.126,1948004352
10.100.252.186:10250,1716029502.126,1948004352
10.100.252.186:10250,1716029503.126,1948004352
10.100.252.186:10250,1716029504.126,1948004352
10.100.252.186:10250,1716029505.126,1948004352
10.100.252.186:10250,1716029506.126,1948004352
10.100.252.186:10250,1716029507.126,1948004352
10.100.252.186:10250,1716029508.126,1948004352
