instance,timestamp,value
10.100.252.168:10250,1715844337.407,153841920
10.100.252.168:10250,1715844338.407,153864448
10.100.252.168:10250,1715844339.407,153864448
10.100.252.168:10250,1715844340.407,153862144
10.100.252.168:10250,1715844341.407,153892352
10.100.252.168:10250,1715844342.407,153884160.00000003
10.100.252.168:10250,1715844343.407,153963008
10.100.252.168:10250,1715844344.407,153963008
10.100.252.168:10250,1715844345.407,153963008
10.100.252.168:10250,1715844346.407,153963008
10.100.252.168:10250,1715844347.407,153963008
10.100.252.168:10250,1715844348.407,153963008
10.100.252.168:10250,1715844349.407,153963008
10.100.252.168:10250,1715844350.407,153963008
10.100.252.168:10250,1715844351.407,153952255.99999997
10.100.252.168:10250,1715844352.407,153952640.00000003
10.100.252.168:10250,1715844353.407,153952640.00000003
10.100.252.168:10250,1715844354.407,153952640.00000003
10.100.252.168:10250,1715844355.407,153952640.00000003
10.100.252.168:10250,1715844356.407,153952640.00000003
10.100.252.168:10250,1715844357.407,153952640.00000003
10.100.252.168:10250,1715844358.407,153952640.00000003
10.100.252.168:10250,1715844359.407,153952640.00000003
10.100.252.168:10250,1715844360.407,153952640.00000003
10.100.252.168:10250,1715844361.407,153952640.00000003
10.100.252.168:10250,1715844362.407,153952640.00000003
10.100.252.168:10250,1715844363.407,153952640.00000003
10.100.252.168:10250,1715844364.407,153952640.00000003
10.100.252.168:10250,1715844365.407,153952640.00000003
10.100.252.168:10250,1715844366.407,153952640.00000003
10.100.252.168:10250,1715844367.407,153949568.00000003
10.100.252.168:10250,1715844368.407,153949568.00000003
10.100.252.168:10250,1715844369.407,153949312.00000003
10.100.252.168:10250,1715844370.407,153948544
10.100.252.168:10250,1715844371.407,153940736
10.100.252.168:10250,1715844372.407,153940864
10.100.252.168:10250,1715844373.407,153937792.00000003
10.100.252.168:10250,1715844374.407,153954944.00000003
10.100.252.168:10250,1715844375.407,153982592.00000003
10.100.252.168:10250,1715844376.407,153982592.00000003
10.100.252.168:10250,1715844377.407,153982592.00000003
10.100.252.168:10250,1715844378.407,153982592.00000003
10.100.252.168:10250,1715844379.407,153982592.00000003
10.100.252.168:10250,1715844380.407,153983616.00000003
10.100.252.168:10250,1715844381.407,153983616.00000003
10.100.252.168:10250,1715844382.407,153983488.00000003
10.100.252.168:10250,1715844383.407,153983488.00000003
10.100.252.168:10250,1715844384.407,153983488.00000003
10.100.252.168:10250,1715844385.407,153983488.00000003
10.100.252.168:10250,1715844386.407,153983488.00000003
10.100.252.168:10250,1715844387.407,153983488.00000003
10.100.252.168:10250,1715844388.407,153983488.00000003
10.100.252.168:10250,1715844389.407,153983488.00000003
10.100.252.168:10250,1715844390.407,153983488.00000003
10.100.252.168:10250,1715844391.407,153983488.00000003
10.100.252.168:10250,1715844392.407,153983488.00000003
10.100.252.168:10250,1715844393.407,153983488.00000003
10.100.252.168:10250,1715844394.407,153983488.00000003
10.100.252.168:10250,1715844395.407,153983488.00000003
10.100.252.168:10250,1715844396.407,153982336
10.100.252.168:10250,1715844397.407,153983103.99999994
10.100.252.168:10250,1715844398.407,153983103.99999994
10.100.252.168:10250,1715844399.407,153983103.99999994
10.100.252.168:10250,1715844400.407,153983103.99999994
10.100.252.168:10250,1715844401.407,153992320.00000003
10.100.252.168:10250,1715844402.407,153992320.00000003
10.100.252.168:10250,1715844403.407,153992320.00000003
10.100.252.168:10250,1715844404.407,153992320.00000003
10.100.252.168:10250,1715844405.407,153992320.00000003
10.100.252.168:10250,1715844406.407,153141631.99999997
10.100.252.168:10250,1715844407.407,152306176
10.100.252.168:10250,1715844408.407,152306176
10.100.252.168:10250,1715844409.407,152307455.99999997
10.100.252.168:10250,1715844410.407,152307455.99999997
10.100.252.168:10250,1715844411.407,152308607.99999997
10.100.252.168:10250,1715844412.407,152308607.99999997
10.100.252.168:10250,1715844413.407,152308607.99999997
10.100.252.168:10250,1715844414.407,152308607.99999997
10.100.252.168:10250,1715844415.407,152308607.99999997
10.100.252.168:10250,1715844416.407,152308607.99999997
10.100.252.168:10250,1715844417.407,152308607.99999997
10.100.252.168:10250,1715844418.407,152308607.99999997
10.100.252.168:10250,1715844419.407,152308607.99999997
10.100.252.168:10250,1715844420.407,152308607.99999997
10.100.252.168:10250,1715844421.407,152308607.99999997
10.100.252.168:10250,1715844422.407,152308607.99999997
10.100.252.168:10250,1715844423.407,152308607.99999997
10.100.252.168:10250,1715844424.407,152308607.99999997
10.100.252.168:10250,1715844425.407,152308607.99999997
10.100.252.168:10250,1715844426.407,152308607.99999997
10.100.252.168:10250,1715844427.407,152308607.99999997
10.100.252.168:10250,1715844428.407,152308607.99999997
10.100.252.168:10250,1715844429.407,152322175.99999997
10.100.252.168:10250,1715844430.407,152322175.99999997
10.100.252.168:10250,1715844431.407,152321408
10.100.252.168:10250,1715844432.407,152321408
10.100.252.168:10250,1715844433.407,152329344.00000003
10.100.252.168:10250,1715844434.407,152348287.99999997
10.100.252.168:10250,1715844435.407,152348287.99999997
10.100.252.168:10250,1715844436.407,152348287.99999997
