container,namespace,pod,timestamp,value
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876214.316,154.24872607078913
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876215.316,154.24872607078913
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876216.316,154.24872607078913
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876217.316,154.66911529180635
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876218.316,154.66911529180635
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876219.316,154.66911529180635
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876220.316,154.66911529180635
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876221.316,154.66911529180635
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876222.316,154.66911529180635
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876223.316,154.66911529180635
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876224.316,154.66911529180635
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876225.316,154.66911529180635
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876226.316,154.66911529180635
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876227.316,154.66911529180635
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876228.316,154.66911529180635
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876229.316,154.66911529180635
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876230.316,103.40859572673601
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876231.316,105.99785633961201
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876232.316,108.58711695248803
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876233.316,111.17637756536409
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876234.316,113.76563817824011
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876235.316,116.35489879111611
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876236.316,118.94415940399213
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876237.316,92.1
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876238.316,92.1
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876239.316,92.1
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876240.316,118.15443491706492
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876241.316,115.5651743041889
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876242.316,112.97591369131287
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876243.316,110.38665307843688
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876244.316,107.79739246556086
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876245.316,105.20813185268484
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876246.316,102.61887123980883
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876247.316,100.02961062693281
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876248.316,97.4403500140568
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876249.316,94.85108940118079
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876250.316,92.26182878830475
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876251.316,89.67256817542874
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876252.316,87.08330756255272
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876253.316,84.49404694967669
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876254.316,81.90478633680068
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876255.316,79.31552572392467
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876256.316,76.72626511104865
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876257.316,74.13700449817262
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876258.316,71.5477438852966
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876259.316,161.4962400560969
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876260.316,161.4962400560969
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876261.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876262.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876263.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876264.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876265.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876266.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876267.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876268.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876269.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876270.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876271.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876272.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876273.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876274.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876275.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876276.316,161.49624005609692
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876278.316,69.01459932453177
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876279.316,71.34035922628185
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876280.316,73.66611912803194
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876281.316,75.991879029782
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876282.316,78.31763893153207
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876283.316,80.64339883328215
POD,cert-manager,cert-manager-7ddd8cdb9f-nflbq,1716876284.316,82.96915873503222
