container,pod,namespace,timestamp,value
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880205.065,175.5165478989127
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880206.065,170.46585733176605
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880207.065,165.41516676461944
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880208.065,160.3644761974728
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880209.065,155.31378563032618
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880210.065,150.26309506317955
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880211.065,145.21240449603295
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880212.065,140.1617139288863
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880213.065,135.11102336173965
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880214.065,130.060332794593
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880215.065,125.00964222744636
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880216.065,119.95895166029973
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880217.065,114.9082610931531
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880218.065,109.85757052600648
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880219.065,326.4213934604996
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880220.065,333.34058049788024
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880221.065,333.34058049788024
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880222.065,333.34058049788024
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880223.065,333.34058049788024
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880224.065,333.34058049788024
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880225.065,333.34058049788024
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880226.065,333.34058049788024
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880227.065,333.34058049788024
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880228.065,333.34058049788024
POD,cert-manager-7ddd8cdb9f-nflbq,cert-manager,1716880229.065,333.34058049788024
