namespace,pod,container,timestamp,value
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937378.065,853.261174359262
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937379.065,853.261174359262
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937380.065,853.261174359262
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937381.065,853.261174359262
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937382.065,853.261174359262
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937383.065,853.261174359262
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937384.065,853.261174359262
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937385.065,853.261174359262
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937386.065,853.261174359262
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937387.065,853.261174359262
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937392.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937393.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937394.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937395.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937396.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937397.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937398.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937399.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937400.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937401.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937402.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937403.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937404.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937405.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937406.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937407.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937408.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937409.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937410.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937411.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937412.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937413.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937414.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937415.065,948.2437326394995
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937416.065,977.4055096522906
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937417.065,977.4055096522906
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937418.065,977.4055096522906
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937419.065,977.4055096522906
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937420.065,977.4055096522906
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937421.065,977.4055096522906
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937422.065,977.4055096522906
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937423.065,741.4061477421465
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937424.065,758.2616505780976
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937425.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937426.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937427.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937428.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937429.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937430.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937431.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937432.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937433.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937434.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937435.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937436.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937437.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937438.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937439.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937440.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937441.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937442.065,1011.330170157068
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937443.065,756.9806323625653
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937444.065,740.1251295266142
karmada-system,karmada-agent-f95c4fdc6-p88cd,POD,1715937445.065,723.2696266906631
