container,namespace,pod,timestamp,value
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834173.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834174.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834175.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834176.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834177.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834178.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834179.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834180.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834181.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834182.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834183.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834184.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834185.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834186.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834187.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834188.353,179.6452883177142
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834190.353,107.20224214716896
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834191.353,151.68161037672326
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834192.353,151.68161037672326
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834193.353,151.68161037672326
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834194.353,151.68161037672326
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834195.353,151.68161037672326
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834196.353,151.68161037672326
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834197.353,151.68161037672326
POD,cert-manager,cert-manager-7ddd8cdb9f-p2zlv,1716834198.353,151.68161037672326
