instance,timestamp,value
10.100.252.254:10250,1715932523.599,840105984
10.100.252.254:10250,1715932524.599,840105984
10.100.252.254:10250,1715932525.599,840105984
10.100.252.254:10250,1715932526.599,840105984
10.100.252.254:10250,1715932527.599,840105984
10.100.252.254:10250,1715932528.599,840105984
10.100.252.254:10250,1715932529.599,840105984
10.100.252.254:10250,1715932530.599,840105984
10.100.252.254:10250,1715932531.599,840118272
10.100.252.254:10250,1715932532.599,840118272
10.100.252.254:10250,1715932533.599,839704576
10.100.252.254:10250,1715932534.599,839536640
10.100.252.254:10250,1715932535.599,839536640
10.100.252.254:10250,1715932536.599,839553024
10.100.252.254:10250,1715932537.599,839553024
10.100.252.254:10250,1715932538.599,839553024
10.100.252.254:10250,1715932539.599,839553024
10.100.252.254:10250,1715932540.599,839553024
10.100.252.254:10250,1715932541.599,839540736
10.100.252.254:10250,1715932542.599,839540736
10.100.252.254:10250,1715932543.599,839540736
10.100.252.254:10250,1715932544.599,839540736
10.100.252.254:10250,1715932545.599,839540736
10.100.252.254:10250,1715932546.599,839540736
10.100.252.254:10250,1715932547.599,839540736
10.100.252.254:10250,1715932548.599,839540736
10.100.252.254:10250,1715932549.599,839540736
10.100.252.254:10250,1715932550.599,839540736
10.100.252.254:10250,1715932551.599,839540736
10.100.252.254:10250,1715932552.599,839540736
10.100.252.254:10250,1715932553.599,839540736
10.100.252.254:10250,1715932554.599,839540736
10.100.252.254:10250,1715932555.599,839540736
10.100.252.254:10250,1715932556.599,839540736
10.100.252.254:10250,1715932557.599,839544832
10.100.252.254:10250,1715932558.599,839680000
10.100.252.254:10250,1715932559.599,839680000
10.100.252.254:10250,1715932560.599,839680000
10.100.252.254:10250,1715932561.599,839680000
10.100.252.254:10250,1715932562.599,839823360
10.100.252.254:10250,1715932563.599,839823360
10.100.252.254:10250,1715932564.599,839852032
10.100.252.254:10250,1715932565.599,839852032
10.100.252.254:10250,1715932566.599,839852032
10.100.252.254:10250,1715932567.599,839852032
10.100.252.254:10250,1715932568.599,840613888
10.100.252.254:10250,1715932569.599,840613888
10.100.252.254:10250,1715932570.599,840818688
10.100.252.254:10250,1715932571.599,840933376
10.100.252.254:10250,1715932572.599,840933376
10.100.252.254:10250,1715932573.599,840933376
10.100.252.254:10250,1715932574.599,840933376
10.100.252.254:10250,1715932575.599,840933376
10.100.252.254:10250,1715932576.599,840933376
10.100.252.254:10250,1715932577.599,840933376
10.100.252.254:10250,1715932578.599,840933376
10.100.252.254:10250,1715932579.599,840933376
10.100.252.254:10250,1715932580.599,840933376
10.100.252.254:10250,1715932581.599,840933376
10.100.252.254:10250,1715932582.599,840933376
10.100.252.254:10250,1715932583.599,840933376
10.100.252.254:10250,1715932584.599,840691712
10.100.252.254:10250,1715932585.599,840691712
10.100.252.254:10250,1715932586.599,840691712
10.100.252.254:10250,1715932587.599,840691712
10.100.252.254:10250,1715932588.599,840691712
10.100.252.254:10250,1715932589.599,840675328
10.100.252.254:10250,1715932590.599,840765440
10.100.252.254:10250,1715932591.599,840765440
10.100.252.254:10250,1715932592.599,840818688
10.100.252.254:10250,1715932593.599,840818688
10.100.252.254:10250,1715932594.599,840818688
10.100.252.254:10250,1715932595.599,840818688
10.100.252.254:10250,1715932596.599,840818688
10.100.252.254:10250,1715932597.599,840839168
10.100.252.254:10250,1715932598.599,840970240
10.100.252.254:10250,1715932599.599,840970240
10.100.252.254:10250,1715932600.599,840970240
10.100.252.254:10250,1715932601.599,840953856
10.100.252.254:10250,1715932602.599,840953856
10.100.252.254:10250,1715932603.599,840953856
10.100.252.254:10250,1715932604.599,840953856
10.100.252.254:10250,1715932605.599,840953856
10.100.252.254:10250,1715932606.599,840953856
10.100.252.254:10250,1715932607.599,840953856
10.100.252.254:10250,1715932608.599,840953856
10.100.252.254:10250,1715932609.599,840953856
10.100.252.254:10250,1715932610.599,840953856
10.100.252.254:10250,1715932611.599,840953856
10.100.252.254:10250,1715932612.599,840953856
10.100.252.254:10250,1715932613.599,840953856
10.100.252.254:10250,1715932614.599,840966144
10.100.252.254:10250,1715932615.599,840966144
10.100.252.254:10250,1715932616.599,840966144
10.100.252.254:10250,1715932617.599,840966144
10.100.252.254:10250,1715932618.599,840966144
10.100.252.254:10250,1715932619.599,840966144
10.100.252.254:10250,1715932620.599,840994816
10.100.252.254:10250,1715932621.599,840994816
10.100.252.254:10250,1715932622.599,840994816
10.100.252.254:10250,1715932623.599,841179136
10.100.252.254:10250,1715932624.599,841179136
10.100.252.254:10250,1715932625.599,841351168
10.100.252.254:10250,1715932626.599,841351168
10.100.252.254:10250,1715932627.599,841351168
10.100.252.254:10250,1715932628.599,841523200
10.100.252.254:10250,1715932629.599,841523200
10.100.252.254:10250,1715932630.599,841523200
10.100.252.254:10250,1715932631.599,841732096
10.100.252.254:10250,1715932632.599,841732096
10.100.252.254:10250,1715932633.599,841732096
10.100.252.254:10250,1715932634.599,841732096
10.100.252.254:10250,1715932635.599,841732096
10.100.252.254:10250,1715932636.599,841732096
10.100.252.254:10250,1715932637.599,841732096
10.100.252.254:10250,1715932638.599,841732096
10.100.252.254:10250,1715932639.599,841732096
10.100.252.254:10250,1715932640.599,841732096
10.100.252.254:10250,1715932641.599,841732096
10.100.252.254:10250,1715932642.599,841732096
10.100.252.254:10250,1715932643.599,841732096
10.100.252.254:10250,1715932644.599,841732096
10.100.252.254:10250,1715932645.599,841732096
10.100.252.254:10250,1715932646.599,841732096
10.100.252.254:10250,1715932647.599,841752576
10.100.252.254:10250,1715932648.599,841752576
10.100.252.254:10250,1715932649.599,841752576
10.100.252.254:10250,1715932650.599,841752576
10.100.252.254:10250,1715932651.599,841752576
10.100.252.254:10250,1715932652.599,841752576
10.100.252.254:10250,1715932653.599,841830400
10.100.252.254:10250,1715932654.599,842084352
10.100.252.254:10250,1715932655.599,842432512
10.100.252.254:10250,1715932656.599,842448896
10.100.252.254:10250,1715932657.599,842616832
10.100.252.254:10250,1715932658.599,842616832
10.100.252.254:10250,1715932659.599,842567680
10.100.252.254:10250,1715932660.599,842567680
10.100.252.254:10250,1715932661.599,842567680
10.100.252.254:10250,1715932662.599,842567680
10.100.252.254:10250,1715932663.599,842567680
10.100.252.254:10250,1715932664.599,842567680
10.100.252.254:10250,1715932665.599,842567680
10.100.252.254:10250,1715932666.599,842567680
10.100.252.254:10250,1715932667.599,842567680
10.100.252.254:10250,1715932668.599,842567680
10.100.252.254:10250,1715932669.599,842567680
10.100.252.254:10250,1715932670.599,842567680
10.100.252.254:10250,1715932671.599,842567680
10.100.252.254:10250,1715932672.599,842567680
10.100.252.254:10250,1715932673.599,842567680
10.100.252.254:10250,1715932674.599,842567680
10.100.252.254:10250,1715932675.599,842567680
10.100.252.254:10250,1715932676.599,842551296
