instance,timestamp,value
10.100.252.157:10250,1716833762.277,554733568
10.100.252.157:10250,1716833763.277,554733568
10.100.252.157:10250,1716833764.277,555089920
10.100.252.157:10250,1716833765.277,555253760
10.100.252.157:10250,1716833766.277,555323392
10.100.252.157:10250,1716833767.277,554979328
10.100.252.157:10250,1716833768.277,554979328
10.100.252.157:10250,1716833769.277,554979328
10.100.252.157:10250,1716833770.277,554979328
10.100.252.157:10250,1716833771.277,554979328
10.100.252.157:10250,1716833772.277,554799104
10.100.252.157:10250,1716833773.277,554823680
10.100.252.157:10250,1716833774.277,554823680
10.100.252.157:10250,1716833775.277,554823680
10.100.252.157:10250,1716833776.277,553893888
10.100.252.157:10250,1716833777.277,553168896
10.100.252.157:10250,1716833778.277,553168896
10.100.252.157:10250,1716833779.277,553168896
10.100.252.157:10250,1716833780.277,553168896
10.100.252.157:10250,1716833781.277,553168896
10.100.252.157:10250,1716833782.277,553168896
10.100.252.157:10250,1716833783.277,553168896
10.100.252.157:10250,1716833784.277,553168896
10.100.252.157:10250,1716833785.277,553168896
10.100.252.157:10250,1716833786.277,553168896
10.100.252.157:10250,1716833787.277,553168896
10.100.252.157:10250,1716833788.277,553168896
10.100.252.157:10250,1716833789.277,553168896
10.100.252.157:10250,1716833790.277,553168896
10.100.252.157:10250,1716833791.277,553168896
10.100.252.157:10250,1716833792.277,553226240
10.100.252.157:10250,1716833793.277,553226240
10.100.252.157:10250,1716833794.277,553750528
10.100.252.157:10250,1716833795.277,553684992
10.100.252.157:10250,1716833796.277,553684992
10.100.252.157:10250,1716833797.277,554344448
10.100.252.157:10250,1716833798.277,554360832
10.100.252.157:10250,1716833799.277,554364928
10.100.252.157:10250,1716833800.277,554364928
10.100.252.157:10250,1716833801.277,554369024
10.100.252.157:10250,1716833802.277,554205184
10.100.252.157:10250,1716833803.277,554205184
10.100.252.157:10250,1716833804.277,554205184
10.100.252.157:10250,1716833805.277,554205184
10.100.252.157:10250,1716833806.277,554205184
10.100.252.157:10250,1716833807.277,554205184
10.100.252.157:10250,1716833808.277,554205184
10.100.252.157:10250,1716833809.277,554205184
10.100.252.157:10250,1716833810.277,554205184
10.100.252.157:10250,1716833811.277,554205184
10.100.252.157:10250,1716833812.277,554205184
10.100.252.157:10250,1716833813.277,554205184
10.100.252.157:10250,1716833814.277,554205184
10.100.252.157:10250,1716833815.277,554205184
10.100.252.157:10250,1716833816.277,554205184
10.100.252.157:10250,1716833817.277,554205184
10.100.252.157:10250,1716833818.277,554205184
10.100.252.157:10250,1716833819.277,554205184
10.100.252.157:10250,1716833820.277,554205184
10.100.252.157:10250,1716833821.277,554205184
10.100.252.157:10250,1716833822.277,554205184
10.100.252.157:10250,1716833823.277,554205184
10.100.252.157:10250,1716833824.277,554508288
10.100.252.157:10250,1716833825.277,554823680
10.100.252.157:10250,1716833826.277,554860544
10.100.252.157:10250,1716833827.277,554864640
10.100.252.157:10250,1716833828.277,554864640
10.100.252.157:10250,1716833829.277,554868736
10.100.252.157:10250,1716833830.277,554852352
10.100.252.157:10250,1716833831.277,554954752
10.100.252.157:10250,1716833832.277,554954752
10.100.252.157:10250,1716833833.277,554954752
10.100.252.157:10250,1716833834.277,554954752
10.100.252.157:10250,1716833835.277,554954752
10.100.252.157:10250,1716833836.277,554971136
10.100.252.157:10250,1716833837.277,554971136
10.100.252.157:10250,1716833838.277,554971136
10.100.252.157:10250,1716833839.277,554971136
10.100.252.157:10250,1716833840.277,554971136
10.100.252.157:10250,1716833841.277,554971136
10.100.252.157:10250,1716833842.277,554971136
10.100.252.157:10250,1716833843.277,554971136
10.100.252.157:10250,1716833844.277,554971136
10.100.252.157:10250,1716833845.277,554971136
10.100.252.157:10250,1716833846.277,554971136
10.100.252.157:10250,1716833847.277,554971136
10.100.252.157:10250,1716833848.277,554987520
10.100.252.157:10250,1716833849.277,554987520
10.100.252.157:10250,1716833850.277,554987520
10.100.252.157:10250,1716833851.277,554987520
10.100.252.157:10250,1716833852.277,554987520
10.100.252.157:10250,1716833853.277,554987520
10.100.252.157:10250,1716833854.277,554987520
10.100.252.157:10250,1716833855.277,554987520
10.100.252.157:10250,1716833856.277,554987520
10.100.252.157:10250,1716833857.277,555012096
10.100.252.157:10250,1716833858.277,554680320
10.100.252.157:10250,1716833859.277,554680320
10.100.252.157:10250,1716833860.277,554680320
10.100.252.157:10250,1716833861.277,554708992
10.100.252.157:10250,1716833862.277,554708992
10.100.252.157:10250,1716833863.277,554708992
10.100.252.157:10250,1716833864.277,554532864
10.100.252.157:10250,1716833865.277,554536960
10.100.252.157:10250,1716833866.277,554545152
10.100.252.157:10250,1716833867.277,554545152
10.100.252.157:10250,1716833868.277,554545152
10.100.252.157:10250,1716833869.277,554545152
10.100.252.157:10250,1716833870.277,554545152
10.100.252.157:10250,1716833871.277,554545152
10.100.252.157:10250,1716833872.277,554545152
10.100.252.157:10250,1716833873.277,554545152
10.100.252.157:10250,1716833874.277,554545152
10.100.252.157:10250,1716833875.277,554545152
10.100.252.157:10250,1716833876.277,554545152
10.100.252.157:10250,1716833877.277,554545152
10.100.252.157:10250,1716833878.277,554545152
10.100.252.157:10250,1716833879.277,554545152
10.100.252.157:10250,1716833880.277,554545152
10.100.252.157:10250,1716833881.277,554545152
10.100.252.157:10250,1716833882.277,554614784
10.100.252.157:10250,1716833883.277,554614784
10.100.252.157:10250,1716833884.277,554614784
10.100.252.157:10250,1716833885.277,554614784
10.100.252.157:10250,1716833886.277,554893312
10.100.252.157:10250,1716833887.277,555474944
10.100.252.157:10250,1716833888.277,555732992
10.100.252.157:10250,1716833889.277,555732992
10.100.252.157:10250,1716833890.277,555732992
10.100.252.157:10250,1716833891.277,555868160
10.100.252.157:10250,1716833892.277,555868160
10.100.252.157:10250,1716833893.277,555868160
10.100.252.157:10250,1716833894.277,555868160
10.100.252.157:10250,1716833895.277,555868160
10.100.252.157:10250,1716833896.277,555868160
10.100.252.157:10250,1716833897.277,555868160
10.100.252.157:10250,1716833898.277,555868160
10.100.252.157:10250,1716833899.277,555868160
10.100.252.157:10250,1716833900.277,555868160
10.100.252.157:10250,1716833901.277,555868160
10.100.252.157:10250,1716833902.277,555868160
10.100.252.157:10250,1716833903.277,555868160
10.100.252.157:10250,1716833904.277,555868160
10.100.252.157:10250,1716833905.277,555868160
10.100.252.157:10250,1716833906.277,555868160
10.100.252.157:10250,1716833907.277,555868160
10.100.252.157:10250,1716833908.277,555868160
10.100.252.157:10250,1716833909.277,555868160
10.100.252.157:10250,1716833910.277,555868160
10.100.252.157:10250,1716833911.277,555868160
10.100.252.157:10250,1716833912.277,555868160
10.100.252.157:10250,1716833913.277,555868160
10.100.252.157:10250,1716833914.277,555868160
10.100.252.157:10250,1716833915.277,555868160
10.100.252.157:10250,1716833916.277,555872256
10.100.252.157:10250,1716833917.277,555872256
10.100.252.157:10250,1716833918.277,555872256
10.100.252.157:10250,1716833919.277,555655168
10.100.252.157:10250,1716833920.277,555528192
10.100.252.157:10250,1716833921.277,555528192
10.100.252.157:10250,1716833922.277,555528192
10.100.252.157:10250,1716833923.277,555536384
10.100.252.157:10250,1716833924.277,555536384
10.100.252.157:10250,1716833925.277,555384832
10.100.252.157:10250,1716833926.277,555737088
10.100.252.157:10250,1716833927.277,556097536
10.100.252.157:10250,1716833928.277,556097536
10.100.252.157:10250,1716833929.277,556097536
10.100.252.157:10250,1716833930.277,556097536
10.100.252.157:10250,1716833931.277,556097536
10.100.252.157:10250,1716833932.277,556097536
10.100.252.157:10250,1716833933.277,556097536
10.100.252.157:10250,1716833934.277,556097536
10.100.252.157:10250,1716833935.277,556097536
10.100.252.157:10250,1716833936.277,556097536
10.100.252.157:10250,1716833937.277,556097536
10.100.252.157:10250,1716833938.277,556097536
10.100.252.157:10250,1716833939.277,556097536
10.100.252.157:10250,1716833940.277,556097536
10.100.252.157:10250,1716833941.277,556097536
10.100.252.157:10250,1716833942.277,556101632
10.100.252.157:10250,1716833943.277,556101632
10.100.252.157:10250,1716833944.277,556101632
10.100.252.157:10250,1716833945.277,556101632
10.100.252.157:10250,1716833946.277,556101632
10.100.252.157:10250,1716833947.277,556429312
10.100.252.157:10250,1716833948.277,556498944
10.100.252.157:10250,1716833949.277,556621824
10.100.252.157:10250,1716833950.277,556621824
10.100.252.157:10250,1716833951.277,556621824
10.100.252.157:10250,1716833952.277,556597248
10.100.252.157:10250,1716833953.277,556740608
10.100.252.157:10250,1716833954.277,556740608
10.100.252.157:10250,1716833955.277,556748800
10.100.252.157:10250,1716833956.277,557355008
10.100.252.157:10250,1716833957.277,557355008
10.100.252.157:10250,1716833958.277,557355008
10.100.252.157:10250,1716833959.277,557355008
10.100.252.157:10250,1716833960.277,557355008
10.100.252.157:10250,1716833961.277,557355008
10.100.252.157:10250,1716833962.277,557355008
10.100.252.157:10250,1716833963.277,557355008
10.100.252.157:10250,1716833964.277,557355008
10.100.252.157:10250,1716833965.277,557355008
10.100.252.157:10250,1716833966.277,557355008
10.100.252.157:10250,1716833967.277,557355008
10.100.252.157:10250,1716833968.277,557355008
10.100.252.157:10250,1716833969.277,557355008
10.100.252.157:10250,1716833970.277,557117440
10.100.252.157:10250,1716833971.277,557117440
10.100.252.157:10250,1716833972.277,557117440
10.100.252.157:10250,1716833973.277,557240320
10.100.252.157:10250,1716833974.277,557240320
10.100.252.157:10250,1716833975.277,557236224
10.100.252.157:10250,1716833976.277,557219840
10.100.252.157:10250,1716833977.277,557219840
10.100.252.157:10250,1716833978.277,557219840
10.100.252.157:10250,1716833979.277,557219840
10.100.252.157:10250,1716833980.277,557219840
10.100.252.157:10250,1716833981.277,557297664
10.100.252.157:10250,1716833982.277,557350912
10.100.252.157:10250,1716833983.277,557350912
10.100.252.157:10250,1716833984.277,557350912
10.100.252.157:10250,1716833985.277,557350912
10.100.252.157:10250,1716833986.277,557338624
10.100.252.157:10250,1716833987.277,557338624
10.100.252.157:10250,1716833988.277,557338624
10.100.252.157:10250,1716833989.277,557338624
10.100.252.157:10250,1716833990.277,557338624
10.100.252.157:10250,1716833991.277,557338624
10.100.252.157:10250,1716833992.277,557338624
10.100.252.157:10250,1716833993.277,557338624
10.100.252.157:10250,1716833994.277,557338624
10.100.252.157:10250,1716833995.277,557338624
10.100.252.157:10250,1716833996.277,557338624
10.100.252.157:10250,1716833997.277,557338624
10.100.252.157:10250,1716833998.277,557338624
10.100.252.157:10250,1716833999.277,557338624
10.100.252.157:10250,1716834000.277,557338624
10.100.252.157:10250,1716834001.277,557338624
10.100.252.157:10250,1716834002.277,557338624
10.100.252.157:10250,1716834003.277,557338624
10.100.252.157:10250,1716834004.277,557334528
10.100.252.157:10250,1716834005.277,557506560
10.100.252.157:10250,1716834006.277,557527040
10.100.252.157:10250,1716834007.277,557125632
10.100.252.157:10250,1716834008.277,557260800
10.100.252.157:10250,1716834009.277,557260800
10.100.252.157:10250,1716834010.277,556855296
10.100.252.157:10250,1716834011.277,556847104
10.100.252.157:10250,1716834012.277,556847104
10.100.252.157:10250,1716834013.277,556847104
10.100.252.157:10250,1716834014.277,556847104
10.100.252.157:10250,1716834015.277,556847104
10.100.252.157:10250,1716834016.277,556896256
10.100.252.157:10250,1716834017.277,556896256
10.100.252.157:10250,1716834018.277,556896256
10.100.252.157:10250,1716834019.277,556896256
10.100.252.157:10250,1716834020.277,556896256
10.100.252.157:10250,1716834021.277,556896256
10.100.252.157:10250,1716834022.277,556896256
10.100.252.157:10250,1716834023.277,556896256
10.100.252.157:10250,1716834024.277,556896256
10.100.252.157:10250,1716834025.277,556896256
10.100.252.157:10250,1716834026.277,556896256
10.100.252.157:10250,1716834027.277,556896256
10.100.252.157:10250,1716834028.277,556896256
10.100.252.157:10250,1716834029.277,556896256
10.100.252.157:10250,1716834030.277,556769280
10.100.252.157:10250,1716834031.277,556769280
10.100.252.157:10250,1716834032.277,556769280
10.100.252.157:10250,1716834033.277,556769280
10.100.252.157:10250,1716834034.277,556769280
10.100.252.157:10250,1716834035.277,556777472
10.100.252.157:10250,1716834036.277,556662784
10.100.252.157:10250,1716834037.277,555556864
10.100.252.157:10250,1716834038.277,554450944
10.100.252.157:10250,1716834039.277,554450944
10.100.252.157:10250,1716834040.277,554582016
10.100.252.157:10250,1716834041.277,554594304
10.100.252.157:10250,1716834042.277,554594304
10.100.252.157:10250,1716834043.277,554614784
10.100.252.157:10250,1716834044.277,554651648
10.100.252.157:10250,1716834045.277,554663936
10.100.252.157:10250,1716834046.277,554663936
10.100.252.157:10250,1716834047.277,554663936
10.100.252.157:10250,1716834048.277,554663936
10.100.252.157:10250,1716834049.277,554663936
10.100.252.157:10250,1716834050.277,554663936
10.100.252.157:10250,1716834051.277,554663936
10.100.252.157:10250,1716834052.277,554663936
10.100.252.157:10250,1716834053.277,554663936
10.100.252.157:10250,1716834054.277,554663936
10.100.252.157:10250,1716834055.277,554663936
10.100.252.157:10250,1716834056.277,554663936
10.100.252.157:10250,1716834057.277,554663936
10.100.252.157:10250,1716834058.277,554663936
10.100.252.157:10250,1716834059.277,554663936
10.100.252.157:10250,1716834060.277,554663936
10.100.252.157:10250,1716834061.277,554663936
10.100.252.157:10250,1716834062.277,554663936
10.100.253.111:10250,1716833762.277,2088132608
10.100.253.111:10250,1716833763.277,2088132608
10.100.253.111:10250,1716833764.277,2088132608
10.100.253.111:10250,1716833765.277,2088132608
10.100.253.111:10250,1716833766.277,2088132608
10.100.253.111:10250,1716833767.277,2087882752
10.100.253.111:10250,1716833768.277,2087882752
10.100.253.111:10250,1716833769.277,2087882752
10.100.253.111:10250,1716833770.277,2087882752
10.100.253.111:10250,1716833771.277,2087882752
10.100.253.111:10250,1716833772.277,2087903232
10.100.253.111:10250,1716833773.277,2087903232
10.100.253.111:10250,1716833774.277,2087903232
10.100.253.111:10250,1716833775.277,2087903232
10.100.253.111:10250,1716833776.277,2087809024
10.100.253.111:10250,1716833777.277,2087809024
10.100.253.111:10250,1716833778.277,2087809024
10.100.253.111:10250,1716833779.277,2087813120
10.100.253.111:10250,1716833780.277,2087817216
10.100.253.111:10250,1716833781.277,2087817216
10.100.253.111:10250,1716833782.277,2087817216
10.100.253.111:10250,1716833783.277,2087858176
10.100.253.111:10250,1716833784.277,2088132608
10.100.253.111:10250,1716833785.277,2088148992
10.100.253.111:10250,1716833786.277,2088157184
10.100.253.111:10250,1716833787.277,2088157184
10.100.253.111:10250,1716833788.277,2088157184
10.100.253.111:10250,1716833789.277,2088157184
10.100.253.111:10250,1716833790.277,2088157184
10.100.253.111:10250,1716833791.277,2088157184
10.100.253.111:10250,1716833792.277,2088157184
10.100.253.111:10250,1716833793.277,2088157184
10.100.253.111:10250,1716833794.277,2088157184
10.100.253.111:10250,1716833795.277,2088157184
10.100.253.111:10250,1716833796.277,2088157184
10.100.253.111:10250,1716833797.277,2088157184
10.100.253.111:10250,1716833798.277,2088157184
10.100.253.111:10250,1716833799.277,2088157184
10.100.253.111:10250,1716833800.277,2023763968
10.100.253.111:10250,1716833801.277,2023571456
10.100.253.111:10250,1716833802.277,2024132608
10.100.253.111:10250,1716833803.277,2024132608
10.100.253.111:10250,1716833804.277,1959751680
10.100.253.111:10250,1716833805.277,1959751680
10.100.253.111:10250,1716833806.277,1959841792
10.100.253.111:10250,1716833807.277,1959841792
10.100.253.111:10250,1716833808.277,1959677952
10.100.253.111:10250,1716833809.277,1959489536
10.100.253.111:10250,1716833810.277,1959489536
10.100.253.111:10250,1716833811.277,1958580224
10.100.253.111:10250,1716833812.277,1959673856
10.100.253.111:10250,1716833813.277,1960058880
10.100.253.111:10250,1716833814.277,1960067072
10.100.253.111:10250,1716833815.277,1960067072
10.100.253.111:10250,1716833816.277,1960071168
10.100.253.111:10250,1716833817.277,1960071168
10.100.253.111:10250,1716833818.277,1960071168
10.100.253.111:10250,1716833819.277,1960071168
10.100.253.111:10250,1716833820.277,1960071168
10.100.253.111:10250,1716833821.277,1960071168
10.100.253.111:10250,1716833822.277,1960071168
10.100.253.111:10250,1716833823.277,1960071168
10.100.253.111:10250,1716833824.277,1960071168
10.100.253.111:10250,1716833825.277,1960071168
10.100.253.111:10250,1716833826.277,1960071168
10.100.253.111:10250,1716833827.277,1960071168
10.100.253.111:10250,1716833828.277,1960075264
10.100.253.111:10250,1716833829.277,1960075264
10.100.253.111:10250,1716833830.277,1960108032
10.100.253.111:10250,1716833831.277,1960108032
10.100.253.111:10250,1716833832.277,1960108032
10.100.253.111:10250,1716833833.277,1960108032
10.100.253.111:10250,1716833834.277,1959833600
10.100.253.111:10250,1716833835.277,1959825408
10.100.253.111:10250,1716833836.277,1959825408
10.100.253.111:10250,1716833837.277,1959821312
10.100.253.111:10250,1716833838.277,1959829504
10.100.253.111:10250,1716833839.277,1959710720
10.100.253.111:10250,1716833840.277,1960091648
10.100.253.111:10250,1716833841.277,1960091648
10.100.253.111:10250,1716833842.277,1960218624
10.100.253.111:10250,1716833843.277,1960710144
10.100.253.111:10250,1716833844.277,1961410560
10.100.253.111:10250,1716833845.277,1962049536
10.100.253.111:10250,1716833846.277,1962053632
10.100.253.111:10250,1716833847.277,1962053632
10.100.253.111:10250,1716833848.277,1962053632
10.100.253.111:10250,1716833849.277,1962053632
10.100.253.111:10250,1716833850.277,1962053632
10.100.253.111:10250,1716833851.277,1962053632
10.100.253.111:10250,1716833852.277,1962053632
10.100.253.111:10250,1716833853.277,1962053632
10.100.253.111:10250,1716833854.277,1962053632
10.100.253.111:10250,1716833855.277,1962053632
10.100.253.111:10250,1716833856.277,1962053632
10.100.253.111:10250,1716833857.277,1962053632
10.100.253.111:10250,1716833858.277,1962053632
10.100.253.111:10250,1716833859.277,1962049536
10.100.253.111:10250,1716833860.277,1961926656
10.100.253.111:10250,1716833861.277,1961816064
10.100.253.111:10250,1716833862.277,1961816064
10.100.253.111:10250,1716833863.277,1961816064
10.100.253.111:10250,1716833864.277,1961816064
10.100.253.111:10250,1716833865.277,1961697280
10.100.253.111:10250,1716833866.277,1962655744
10.100.253.111:10250,1716833867.277,1962655744
10.100.253.111:10250,1716833868.277,1962655744
10.100.253.111:10250,1716833869.277,1962782720
10.100.253.111:10250,1716833870.277,1962786816
10.100.253.111:10250,1716833871.277,1962803200
10.100.253.111:10250,1716833872.277,1962803200
10.100.253.111:10250,1716833873.277,1962811392
10.100.253.111:10250,1716833874.277,1963167744
10.100.253.111:10250,1716833875.277,1963180032
10.100.253.111:10250,1716833876.277,1963184128
10.100.253.111:10250,1716833877.277,1963184128
10.100.253.111:10250,1716833878.277,1963184128
10.100.253.111:10250,1716833879.277,1963184128
10.100.253.111:10250,1716833880.277,1963184128
10.100.253.111:10250,1716833881.277,1963184128
10.100.253.111:10250,1716833882.277,1963184128
10.100.253.111:10250,1716833883.277,1963184128
10.100.253.111:10250,1716833884.277,1963184128
10.100.253.111:10250,1716833885.277,1963184128
10.100.253.111:10250,1716833886.277,1963184128
10.100.253.111:10250,1716833887.277,1963184128
10.100.253.111:10250,1716833888.277,1963184128
10.100.253.111:10250,1716833889.277,1963184128
10.100.253.111:10250,1716833890.277,1963184128
10.100.253.111:10250,1716833891.277,1963184128
10.100.253.111:10250,1716833892.277,1963458560
10.100.253.111:10250,1716833893.277,1963462656
10.100.253.111:10250,1716833894.277,1963528192
10.100.253.111:10250,1716833895.277,1978871808
10.100.253.111:10250,1716833896.277,1978904576
10.100.253.111:10250,1716833897.277,1978904576
10.100.253.111:10250,1716833898.277,1978986496
10.100.253.111:10250,1716833899.277,1979023360
10.100.253.111:10250,1716833900.277,1978961920
10.100.253.111:10250,1716833901.277,1978961920
10.100.253.111:10250,1716833902.277,1978961920
10.100.253.111:10250,1716833903.277,1978986496
10.100.253.111:10250,1716833904.277,1979150336
10.100.253.111:10250,1716833905.277,1994493952
10.100.253.111:10250,1716833906.277,1994493952
10.100.253.111:10250,1716833907.277,1994493952
10.100.253.111:10250,1716833908.277,1994493952
10.100.253.111:10250,1716833909.277,1994493952
