DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy-undeploy-test-100,deploy-undeploy-test-100-f65d49475-4pmg9,2024-05-17T12:56:25+02:00,2024-05-17 12:56:25 +0200 CEST,2024-05-17 12:56:25 +0200 CEST,2024-05-17 12:56:26 +0200 CEST,2024-05-17 12:56:26 +0200 CEST,2024-05-17 12:56:26 +0200 CEST,2024-05-17T12:57:58+02:00,2024-05-17T12:57:59+02:00
deploy-undeploy-test-18,deploy-undeploy-test-18-85c6ddfdb5-wcds8,2024-05-17T12:56:29+02:00,2024-05-17 12:56:29 +0200 CEST,2024-05-17 12:56:29 +0200 CEST,2024-05-17 12:56:31 +0200 CEST,2024-05-17 12:56:32 +0200 CEST,2024-05-17 12:56:32 +0200 CEST,2024-05-17T12:58:02+02:00,2024-05-17T12:58:04+02:00
deploy-undeploy-test-29,deploy-undeploy-test-29-6d5fd994d9-s2t7f,2024-05-17T12:56:36+02:00,2024-05-17 12:56:36 +0200 CEST,2024-05-17 12:56:36 +0200 CEST,2024-05-17 12:56:37 +0200 CEST,2024-05-17 12:56:37 +0200 CEST,2024-05-17 12:56:37 +0200 CEST,2024-05-17T12:58:09+02:00,2024-05-17T12:58:10+02:00
deploy-undeploy-test-69,deploy-undeploy-test-69-c9d9c88b9-2nhd6,2024-05-17T12:57:01+02:00,2024-05-17 12:57:01 +0200 CEST,2024-05-17 12:57:01 +0200 CEST,2024-05-17 12:57:04 +0200 CEST,2024-05-17 12:57:04 +0200 CEST,2024-05-17 12:57:04 +0200 CEST,2024-05-17T12:58:27+02:00,2024-05-17T12:58:28+02:00
deploy-undeploy-test-83,deploy-undeploy-test-83-bdc598fc-w575b,2024-05-17T12:57:10+02:00,2024-05-17 12:57:10 +0200 CEST,2024-05-17 12:57:10 +0200 CEST,2024-05-17 12:57:12 +0200 CEST,2024-05-17 12:57:12 +0200 CEST,2024-05-17 12:57:12 +0200 CEST,2024-05-17T12:58:33+02:00,2024-05-17T12:58:33+02:00
deploy-undeploy-test-84,deploy-undeploy-test-84-74b9894c86-jcm7h,2024-05-17T12:57:10+02:00,2024-05-17 12:57:10 +0200 CEST,2024-05-17 12:57:10 +0200 CEST,2024-05-17 12:57:11 +0200 CEST,2024-05-17 12:57:11 +0200 CEST,2024-05-17 12:57:11 +0200 CEST,2024-05-17T12:58:33+02:00,2024-05-17T12:58:34+02:00
deploy-undeploy-test-66,deploy-undeploy-test-66-57ff59bdb-chdcm,2024-05-17T12:56:59+02:00,2024-05-17 12:56:59 +0200 CEST,2024-05-17 12:56:59 +0200 CEST,2024-05-17 12:57:01 +0200 CEST,2024-05-17 12:57:01 +0200 CEST,2024-05-17 12:57:01 +0200 CEST,2024-05-17T12:58:26+02:00,2024-05-17T12:58:27+02:00
deploy-undeploy-test-81,deploy-undeploy-test-81-7c748bf5dc-cxmcw,2024-05-17T12:57:09+02:00,2024-05-17 12:57:09 +0200 CEST,2024-05-17 12:57:09 +0200 CEST,2024-05-17 12:57:10 +0200 CEST,2024-05-17 12:57:10 +0200 CEST,2024-05-17 12:57:10 +0200 CEST,2024-05-17T12:58:32+02:00,2024-05-17T12:58:33+02:00
deploy-undeploy-test-30,deploy-undeploy-test-30-df6b5cd67-x84tb,2024-05-17T12:56:37+02:00,2024-05-17 12:56:37 +0200 CEST,2024-05-17 12:56:37 +0200 CEST,2024-05-17 12:56:38 +0200 CEST,2024-05-17 12:56:38 +0200 CEST,2024-05-17 12:56:38 +0200 CEST,2024-05-17T12:58:10+02:00,2024-05-17T12:58:11+02:00
deploy-undeploy-test-5,deploy-undeploy-test-5-7dcccfb6bc-qrg9g,2024-05-17T12:56:49+02:00,2024-05-17 12:56:49 +0200 CEST,2024-05-17 12:56:49 +0200 CEST,2024-05-17 12:56:51 +0200 CEST,2024-05-17 12:56:51 +0200 CEST,2024-05-17 12:56:51 +0200 CEST,2024-05-17T12:58:19+02:00,2024-05-17T12:58:19+02:00
