DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy-test-16,deploy-test-16-df8ff995b-4zj4d,2024-05-16T19:24:28+02:00,2024-05-16 19:24:29 +0200 CEST,2024-05-16 19:24:29 +0200 CEST,2024-05-16 19:24:31 +0200 CEST,2024-05-16 19:24:31 +0200 CEST,2024-05-16 19:24:31 +0200 CEST,2024-05-16T19:25:34+02:00,2024-05-16T19:25:35+02:00
deploy-test-29,deploy-test-29-9b548c4db-kssp4,2024-05-16T19:24:30+02:00,2024-05-16 19:24:33 +0200 CEST,2024-05-16 19:24:33 +0200 CEST,2024-05-16 19:24:34 +0200 CEST,2024-05-16 19:24:35 +0200 CEST,2024-05-16 19:24:35 +0200 CEST,2024-05-16T19:25:36+02:00,2024-05-16T19:25:37+02:00
deploy-test-30,deploy-test-30-7b96bcc4d8-rss2z,2024-05-16T19:24:30+02:00,2024-05-16 19:24:33 +0200 CEST,2024-05-16 19:24:33 +0200 CEST,2024-05-16 19:24:35 +0200 CEST,2024-05-16 19:24:35 +0200 CEST,2024-05-16 19:24:35 +0200 CEST,2024-05-16T19:25:36+02:00,2024-05-16T19:25:37+02:00
deploy-test-56,deploy-test-56-5b79ff6f96-k4m8j,2024-05-16T19:24:35+02:00,2024-05-16 19:24:39 +0200 CEST,2024-05-16 19:24:39 +0200 CEST,2024-05-16 19:24:41 +0200 CEST,2024-05-16 19:24:41 +0200 CEST,2024-05-16 19:24:41 +0200 CEST,2024-05-16T19:25:42+02:00,2024-05-16T19:25:43+02:00
deploy-test-67,deploy-test-67-7bdb95c8d-j4b8b,2024-05-16T19:24:38+02:00,2024-05-16 19:24:42 +0200 CEST,2024-05-16 19:24:42 +0200 CEST,2024-05-16 19:24:44 +0200 CEST,2024-05-16 19:24:44 +0200 CEST,2024-05-16 19:24:44 +0200 CEST,2024-05-16T19:25:44+02:00,2024-05-16T19:25:45+02:00
deploy-test-83,deploy-test-83-7bf8f97cd6-ltckj,2024-05-16T19:24:41+02:00,2024-05-16 19:24:46 +0200 CEST,2024-05-16 19:24:46 +0200 CEST,2024-05-16 19:24:47 +0200 CEST,2024-05-16 19:24:47 +0200 CEST,2024-05-16 19:24:47 +0200 CEST,2024-05-16T19:25:47+02:00,2024-05-16T19:25:48+02:00
deploy-test-90,deploy-test-90-77d7c85958-dbbmt,2024-05-16T19:24:42+02:00,2024-05-16 19:24:48 +0200 CEST,2024-05-16 19:24:48 +0200 CEST,2024-05-16 19:24:49 +0200 CEST,2024-05-16 19:24:49 +0200 CEST,2024-05-16 19:24:49 +0200 CEST,2024-05-16T19:25:48+02:00,2024-05-16T19:25:49+02:00
deploy-test-100,deploy-test-100-857b55775d-57bqg,2024-05-16T19:24:44+02:00,2024-05-16 19:24:50 +0200 CEST,2024-05-16 19:24:50 +0200 CEST,2024-05-16 19:24:51 +0200 CEST,2024-05-16 19:24:51 +0200 CEST,2024-05-16 19:24:51 +0200 CEST,2024-05-16T19:25:50+02:00,2024-05-16T19:25:51+02:00
deploy-test-14,deploy-test-14-cb958f67d-z47qp,2024-05-16T19:24:27+02:00,2024-05-16 19:24:28 +0200 CEST,2024-05-16 19:24:28 +0200 CEST,2024-05-16 19:24:30 +0200 CEST,2024-05-16 19:24:30 +0200 CEST,2024-05-16 19:24:30 +0200 CEST,2024-05-16T19:25:33+02:00,2024-05-16T19:25:36+02:00
deploy-test-26,deploy-test-26-9797bcb5-mcnw9,2024-05-16T19:24:29+02:00,2024-05-16 19:24:32 +0200 CEST,2024-05-16 19:24:32 +0200 CEST,2024-05-16 19:24:34 +0200 CEST,2024-05-16 19:24:34 +0200 CEST,2024-05-16 19:24:34 +0200 CEST,2024-05-16T19:25:36+02:00,2024-05-16T19:25:37+02:00
