DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy-test-73,deploy-test-73-6bbb59c559-c29vq,2024-05-16T19:45:59+02:00,2024-05-16 19:46:03 +0200 CEST,2024-05-16 19:46:03 +0200 CEST,2024-05-16 19:46:04 +0200 CEST,2024-05-16 19:46:05 +0200 CEST,2024-05-16 19:46:05 +0200 CEST,2024-05-16T19:48:25+02:00,2024-05-16T19:48:26+02:00
deploy-test-77,deploy-test-77-64bf9f696c-6x6v6,2024-05-16T19:46:00+02:00,2024-05-16 19:46:04 +0200 CEST,2024-05-16 19:46:04 +0200 CEST,2024-05-16 19:46:05 +0200 CEST,2024-05-16 19:46:06 +0200 CEST,2024-05-16 19:46:06 +0200 CEST,2024-05-16T19:48:26+02:00,2024-05-16T19:48:27+02:00
deploy-test-192,deploy-test-192-699d9995b7-wp4th,2024-05-16T19:46:23+02:00,2024-05-16 19:46:31 +0200 CEST,2024-05-16 19:46:31 +0200 CEST,2024-05-16 19:46:37 +0200 CEST,2024-05-16 19:46:37 +0200 CEST,2024-05-16 19:46:37 +0200 CEST,2024-05-16T19:48:49+02:00,2024-05-16T19:48:50+02:00
deploy-test-299,deploy-test-299-75cc88b559-mf2wj,2024-05-16T19:46:44+02:00,2024-05-16 19:46:56 +0200 CEST,2024-05-16 19:46:57 +0200 CEST,2024-05-16 19:47:05 +0200 CEST,2024-05-16 19:47:05 +0200 CEST,2024-05-16 19:47:05 +0200 CEST,2024-05-16T19:49:10+02:00,2024-05-16T19:49:12+02:00
deploy-test-6,deploy-test-6-74d5f6f56f-swxbs,2024-05-16T19:45:47+02:00,2024-05-16 19:45:47 +0200 CEST,2024-05-16 19:45:47 +0200 CEST,2024-05-16 19:45:49 +0200 CEST,2024-05-16 19:45:49 +0200 CEST,2024-05-16 19:45:49 +0200 CEST,2024-05-16T19:48:14+02:00,2024-05-16T19:48:15+02:00
deploy-test-27,deploy-test-27-5dd7998b8d-5jbkr,2024-05-16T19:45:50+02:00,2024-05-16 19:45:52 +0200 CEST,2024-05-16 19:45:52 +0200 CEST,2024-05-16 19:45:53 +0200 CEST,2024-05-16 19:45:53 +0200 CEST,2024-05-16 19:45:53 +0200 CEST,2024-05-16T19:48:16+02:00,2024-05-16T19:48:17+02:00
deploy-test-154,deploy-test-154-54cd8b4b9-jnvmf,2024-05-16T19:46:15+02:00,2024-05-16 19:46:22 +0200 CEST,2024-05-16 19:46:22 +0200 CEST,2024-05-16 19:46:24 +0200 CEST,2024-05-16 19:46:24 +0200 CEST,2024-05-16 19:46:24 +0200 CEST,2024-05-16T19:48:42+02:00,2024-05-16T19:48:43+02:00
deploy-test-228,deploy-test-228-6c6fd5d779-gfkst,2024-05-16T19:46:30+02:00,2024-05-16 19:46:39 +0200 CEST,2024-05-16 19:46:39 +0200 CEST,2024-05-16 19:46:51 +0200 CEST,2024-05-16 19:46:51 +0200 CEST,2024-05-16 19:46:51 +0200 CEST,2024-05-16T19:48:56+02:00,2024-05-16T19:48:58+02:00
deploy-test-229,deploy-test-229-6b484d7cc8-45pzv,2024-05-16T19:46:30+02:00,2024-05-16 19:46:39 +0200 CEST,2024-05-16 19:46:39 +0200 CEST,2024-05-16 19:46:52 +0200 CEST,2024-05-16 19:46:52 +0200 CEST,2024-05-16 19:46:52 +0200 CEST,2024-05-16T19:48:56+02:00,2024-05-16T19:48:58+02:00
deploy-test-40,deploy-test-40-5869b5dddf-j686v,2024-05-16T19:45:52+02:00,2024-05-16 19:45:55 +0200 CEST,2024-05-16 19:45:55 +0200 CEST,2024-05-16 19:45:57 +0200 CEST,2024-05-16 19:45:58 +0200 CEST,2024-05-16 19:45:58 +0200 CEST,2024-05-16T19:48:19+02:00,2024-05-16T19:48:20+02:00
deploy-test-143,deploy-test-143-74c98dbb77-mbckx,2024-05-16T19:46:13+02:00,2024-05-16 19:46:20 +0200 CEST,2024-05-16 19:46:20 +0200 CEST,2024-05-16 19:46:21 +0200 CEST,2024-05-16 19:46:22 +0200 CEST,2024-05-16 19:46:22 +0200 CEST,2024-05-16T19:48:39+02:00,2024-05-16T19:48:40+02:00
