DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy-undeploy-test-8,deploy-undeploy-test-8-6ccbd75666-jqmgs,2024-05-30T13:48:42+02:00,2024-05-30 13:48:42 +0200 CEST,2024-05-30 13:48:42 +0200 CEST,2024-05-30 13:48:43 +0200 CEST,2024-05-30 13:48:43 +0200 CEST,2024-05-30 13:48:43 +0200 CEST,2024-05-30T13:49:47+02:00,2024-05-30T13:49:48+02:00
deploy-undeploy-test-84,deploy-undeploy-test-84-74b9894c86-jflvf,2024-05-30T13:48:44+02:00,2024-05-30 13:48:44 +0200 CEST,2024-05-30 13:48:44 +0200 CEST,2024-05-30 13:48:45 +0200 CEST,2024-05-30 13:48:46 +0200 CEST,2024-05-30 13:48:46 +0200 CEST,2024-05-30T13:49:48+02:00,2024-05-30T13:49:49+02:00
deploy-undeploy-test-94,deploy-undeploy-test-94-848f5cc9d9-8s4td,2024-05-30T13:48:47+02:00,2024-05-30 13:48:47 +0200 CEST,2024-05-30 13:48:47 +0200 CEST,2024-05-30 13:48:48 +0200 CEST,2024-05-30 13:48:48 +0200 CEST,2024-05-30 13:48:48 +0200 CEST,2024-05-30T13:49:51+02:00,2024-05-30T13:49:52+02:00
deploy-undeploy-test-11,deploy-undeploy-test-11-54464685dd-ktv6l,2024-05-30T13:48:18+02:00,2024-05-30 13:48:18 +0200 CEST,2024-05-30 13:48:18 +0200 CEST,2024-05-30 13:48:19 +0200 CEST,2024-05-30 13:48:19 +0200 CEST,2024-05-30 13:48:19 +0200 CEST,2024-05-30T13:49:27+02:00,2024-05-30T13:49:29+02:00
deploy-undeploy-test-17,deploy-undeploy-test-17-57cb8bcb78-dz5hp,2024-05-30T13:48:20+02:00,2024-05-30 13:48:20 +0200 CEST,2024-05-30 13:48:20 +0200 CEST,2024-05-30 13:48:21 +0200 CEST,2024-05-30 13:48:21 +0200 CEST,2024-05-30 13:48:21 +0200 CEST,2024-05-30T13:49:29+02:00,2024-05-30T13:49:30+02:00
deploy-undeploy-test-53,deploy-undeploy-test-53-645d944454-hwvqp,2024-05-30T13:48:32+02:00,2024-05-30 13:48:32 +0200 CEST,2024-05-30 13:48:32 +0200 CEST,2024-05-30 13:48:35 +0200 CEST,2024-05-30 13:48:35 +0200 CEST,2024-05-30 13:48:35 +0200 CEST,2024-05-30T13:49:38+02:00,2024-05-30T13:49:39+02:00
deploy-undeploy-test-66,deploy-undeploy-test-66-57ff59bdb-j9x47,2024-05-30T13:48:37+02:00,2024-05-30 13:48:37 +0200 CEST,2024-05-30 13:48:37 +0200 CEST,2024-05-30 13:48:39 +0200 CEST,2024-05-30 13:48:39 +0200 CEST,2024-05-30 13:48:39 +0200 CEST,2024-05-30T13:49:44+02:00,2024-05-30T13:49:45+02:00
deploy-undeploy-test-21,deploy-undeploy-test-21-5c989c66cc-9hnps,2024-05-30T13:48:22+02:00,2024-05-30 13:48:22 +0200 CEST,2024-05-30 13:48:22 +0200 CEST,2024-05-30 13:48:24 +0200 CEST,2024-05-30 13:48:24 +0200 CEST,2024-05-30 13:48:24 +0200 CEST,2024-05-30T13:49:30+02:00,2024-05-30T13:49:31+02:00
deploy-undeploy-test-38,deploy-undeploy-test-38-77ffd78fff-b9fpv,2024-05-30T13:48:28+02:00,2024-05-30 13:48:28 +0200 CEST,2024-05-30 13:48:28 +0200 CEST,2024-05-30 13:48:29 +0200 CEST,2024-05-30 13:48:29 +0200 CEST,2024-05-30 13:48:29 +0200 CEST,2024-05-30T13:49:34+02:00,2024-05-30T13:49:36+02:00
deploy-undeploy-test-41,deploy-undeploy-test-41-7574c5ffff-5tm42,2024-05-30T13:48:29+02:00,2024-05-30 13:48:29 +0200 CEST,2024-05-30 13:48:29 +0200 CEST,2024-05-30 13:48:30 +0200 CEST,2024-05-30 13:48:30 +0200 CEST,2024-05-30 13:48:30 +0200 CEST,2024-05-30T13:49:35+02:00,2024-05-30T13:49:36+02:00
deploy-undeploy-test-7,deploy-undeploy-test-7-dc5b5f8c7-g79nd,2024-05-30T13:48:38+02:00,2024-05-30 13:48:38 +0200 CEST,2024-05-30 13:48:38 +0200 CEST,2024-05-30 13:48:40 +0200 CEST,2024-05-30 13:48:40 +0200 CEST,2024-05-30 13:48:40 +0200 CEST,2024-05-30T13:49:44+02:00,2024-05-30T13:49:45+02:00
