DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy.evaluation.gosigterm.evaluation.28,deploy.evaluation.gosigterm.evaluation.28-759587bb74-wz2zr,2024-05-30T15:49:26+02:00,2024-05-30 15:49:29 +0200 CEST,2024-05-30 15:49:29 +0200 CEST,2024-05-30 15:49:31 +0200 CEST,2024-05-30 15:49:31 +0200 CEST,2024-05-30 15:49:31 +0200 CEST,2024-05-30T15:51:03+02:00,2024-05-30T15:51:10+02:00
deploy.evaluation.gosigterm.evaluation.37,deploy.evaluation.gosigterm.evaluation.37-79db9cb7cd-dz872,2024-05-30T15:49:32+02:00,2024-05-30 15:49:35 +0200 CEST,2024-05-30 15:49:35 +0200 CEST,2024-05-30 15:49:37 +0200 CEST,2024-05-30 15:49:37 +0200 CEST,2024-05-30 15:49:37 +0200 CEST,2024-05-30T15:51:06+02:00,2024-05-30T15:51:14+02:00
deploy.evaluation.gosigterm.evaluation.79,deploy.evaluation.gosigterm.evaluation.79-65c88974c8-pxjjz,2024-05-30T15:50:03+02:00,2024-05-30 15:50:08 +0200 CEST,2024-05-30 15:50:08 +0200 CEST,2024-05-30 15:50:10 +0200 CEST,2024-05-30 15:50:10 +0200 CEST,2024-05-30 15:50:10 +0200 CEST,2024-05-30T15:51:24+02:00,2024-05-30T15:51:27+02:00
deploy.evaluation.gosigterm.evaluation.86,deploy.evaluation.gosigterm.evaluation.86-7cdc5bbd9d-4gphx,2024-05-30T15:50:06+02:00,2024-05-30 15:50:12 +0200 CEST,2024-05-30 15:50:12 +0200 CEST,2024-05-30 15:50:15 +0200 CEST,2024-05-30 15:50:15 +0200 CEST,2024-05-30 15:50:15 +0200 CEST,2024-05-30T15:51:27+02:00,2024-05-30T15:51:30+02:00
deploy.evaluation.gosigterm.evaluation.13,deploy.evaluation.gosigterm.evaluation.13-7f54dcf554-rfxwv,2024-05-30T15:49:16+02:00,2024-05-30 15:49:17 +0200 CEST,2024-05-30 15:49:17 +0200 CEST,2024-05-30 15:49:19 +0200 CEST,2024-05-30 15:49:19 +0200 CEST,2024-05-30 15:49:19 +0200 CEST,2024-05-30T15:50:57+02:00,2024-05-30T15:51:07+02:00
deploy.evaluation.gosigterm.evaluation.38,deploy.evaluation.gosigterm.evaluation.38-599f44cb54-zc6sw,2024-05-30T15:49:33+02:00,2024-05-30 15:49:35 +0200 CEST,2024-05-30 15:49:35 +0200 CEST,2024-05-30 15:49:38 +0200 CEST,2024-05-30 15:49:38 +0200 CEST,2024-05-30 15:49:38 +0200 CEST,2024-05-30T15:51:07+02:00,2024-05-30T15:51:13+02:00
deploy.evaluation.gosigterm.evaluation.45,deploy.evaluation.gosigterm.evaluation.45-69cd4f65d6-hrblr,2024-05-30T15:49:41+02:00,2024-05-30 15:49:44 +0200 CEST,2024-05-30 15:49:44 +0200 CEST,2024-05-30 15:49:46 +0200 CEST,2024-05-30 15:49:46 +0200 CEST,2024-05-30 15:49:46 +0200 CEST,2024-05-30T15:51:10+02:00,2024-05-30T15:51:17+02:00
deploy.evaluation.gosigterm.evaluation.55,deploy.evaluation.gosigterm.evaluation.55-7d6bbc57d6-p69cd,2024-05-30T15:49:45+02:00,2024-05-30 15:49:50 +0200 CEST,2024-05-30 15:49:50 +0200 CEST,2024-05-30 15:49:52 +0200 CEST,2024-05-30 15:49:52 +0200 CEST,2024-05-30 15:49:52 +0200 CEST,2024-05-30T15:51:14+02:00,2024-05-30T15:51:19+02:00
deploy.evaluation.gosigterm.evaluation.70,deploy.evaluation.gosigterm.evaluation.70-7bfd9c59f8-zd42v,2024-05-30T15:49:55+02:00,2024-05-30 15:50:00 +0200 CEST,2024-05-30 15:50:00 +0200 CEST,2024-05-30 15:50:02 +0200 CEST,2024-05-30 15:50:02 +0200 CEST,2024-05-30 15:50:02 +0200 CEST,2024-05-30T15:51:20+02:00,2024-05-30T15:51:24+02:00
deploy.evaluation.gosigterm.evaluation.76,deploy.evaluation.gosigterm.evaluation.76-7dbfd6ddd6-n8lkd,2024-05-30T15:50:02+02:00,2024-05-30 15:50:08 +0200 CEST,2024-05-30 15:50:08 +0200 CEST,2024-05-30 15:50:09 +0200 CEST,2024-05-30 15:50:09 +0200 CEST,2024-05-30 15:50:09 +0200 CEST,2024-05-30T15:51:23+02:00,2024-05-30T15:51:26+02:00
