DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy-undeploy-test-95,deploy-undeploy-test-95-7f6d6d749b-vz2rq,2024-05-18T12:01:43+02:00,2024-05-18 12:01:59 +0200 CEST,2024-05-18 12:01:59 +0200 CEST,2024-05-18 12:01:59 +0200 CEST,2024-05-18 12:01:59 +0200 CEST,2024-05-18 12:01:59 +0200 CEST,2024-05-18T12:03:50+02:00,2024-05-18T12:03:50+02:00
deploy-undeploy-test-39,deploy-undeploy-test-39-58c888cdf8-nj985,2024-05-18T12:01:16+02:00,2024-05-18 12:01:21 +0200 CEST,2024-05-18 12:01:21 +0200 CEST,2024-05-18 12:01:23 +0200 CEST,2024-05-18 12:01:23 +0200 CEST,2024-05-18 12:01:23 +0200 CEST,2024-05-18T12:02:46+02:00,2024-05-18T12:02:46+02:00
deploy-undeploy-test-6,deploy-undeploy-test-6-7d564b5964-smwt4,2024-05-18T12:01:25+02:00,2024-05-18 12:01:36 +0200 CEST,2024-05-18 12:01:36 +0200 CEST,2024-05-18 12:01:37 +0200 CEST,2024-05-18 12:01:37 +0200 CEST,2024-05-18 12:01:37 +0200 CEST,2024-05-18T12:03:11+02:00,2024-05-18T12:03:10+02:00
deploy-undeploy-test-66,deploy-undeploy-test-66-57ff59bdb-bm4fb,2024-05-18T12:01:28+02:00,2024-05-18 12:01:40 +0200 CEST,2024-05-18 12:01:40 +0200 CEST,2024-05-18 12:01:41 +0200 CEST,2024-05-18 12:01:41 +0200 CEST,2024-05-18 12:01:41 +0200 CEST,2024-05-18T12:03:19+02:00,2024-05-18T12:03:18+02:00
deploy-undeploy-test-73,deploy-undeploy-test-73-784f6ff8fb-5crg5,2024-05-18T12:01:32+02:00,2024-05-18 12:01:45 +0200 CEST,2024-05-18 12:01:45 +0200 CEST,2024-05-18 12:01:46 +0200 CEST,2024-05-18 12:01:46 +0200 CEST,2024-05-18 12:01:46 +0200 CEST,2024-05-18T12:03:26+02:00,2024-05-18T12:03:27+02:00
deploy-undeploy-test-76,deploy-undeploy-test-76-699dddfb6f-blbs7,2024-05-18T12:01:33+02:00,2024-05-18 12:01:46 +0200 CEST,2024-05-18 12:01:46 +0200 CEST,2024-05-18 12:01:48 +0200 CEST,2024-05-18 12:01:48 +0200 CEST,2024-05-18 12:01:48 +0200 CEST,2024-05-18T12:03:28+02:00,2024-05-18T12:03:29+02:00
deploy-undeploy-test-8,deploy-undeploy-test-8-6ccbd75666-z5qbg,2024-05-18T12:01:35+02:00,2024-05-18 12:01:49 +0200 CEST,2024-05-18 12:01:49 +0200 CEST,2024-05-18 12:01:50 +0200 CEST,2024-05-18 12:01:50 +0200 CEST,2024-05-18 12:01:50 +0200 CEST,2024-05-18T12:03:31+02:00,2024-05-18T12:03:31+02:00
deploy-undeploy-test-13,deploy-undeploy-test-13-5c446dcff4-ww7bq,2024-05-18T12:01:05+02:00,2024-05-18 12:01:05 +0200 CEST,2024-05-18 12:01:05 +0200 CEST,2024-05-18 12:01:07 +0200 CEST,2024-05-18 12:01:07 +0200 CEST,2024-05-18 12:01:07 +0200 CEST,2024-05-18T12:02:21+02:00,2024-05-18T12:02:22+02:00
deploy-undeploy-test-3,deploy-undeploy-test-3-f988b9cfc-t5jqw,2024-05-18T12:01:12+02:00,2024-05-18 12:01:15 +0200 CEST,2024-05-18 12:01:15 +0200 CEST,2024-05-18 12:01:16 +0200 CEST,2024-05-18 12:01:17 +0200 CEST,2024-05-18 12:01:17 +0200 CEST,2024-05-18T12:02:36+02:00,2024-05-18T12:02:36+02:00
deploy-undeploy-test-41,deploy-undeploy-test-41-7574c5ffff-24r9v,2024-05-18T12:01:17+02:00,2024-05-18 12:01:23 +0200 CEST,2024-05-18 12:01:23 +0200 CEST,2024-05-18 12:01:25 +0200 CEST,2024-05-18 12:01:25 +0200 CEST,2024-05-18 12:01:25 +0200 CEST,2024-05-18T12:02:50+02:00,2024-05-18T12:02:49+02:00
deploy-undeploy-test-67,deploy-undeploy-test-67-59db96dfbc-b9jb6,2024-05-18T12:01:28+02:00,2024-05-18 12:01:40 +0200 CEST,2024-05-18 12:01:40 +0200 CEST,2024-05-18 12:01:42 +0200 CEST,2024-05-18 12:01:42 +0200 CEST,2024-05-18 12:01:42 +0200 CEST,2024-05-18T12:03:20+02:00,2024-05-18T12:03:20+02:00
deploy-undeploy-test-62,deploy-undeploy-test-62-79bc4fc886-5zc54,2024-05-18T12:01:26+02:00,2024-05-18 12:01:38 +0200 CEST,2024-05-18 12:01:38 +0200 CEST,2024-05-18 12:01:40 +0200 CEST,2024-05-18 12:01:40 +0200 CEST,2024-05-18 12:01:40 +0200 CEST,2024-05-18T12:03:14+02:00,2024-05-18T12:03:14+02:00
deploy-undeploy-test-63,deploy-undeploy-test-63-68489ddb9f-552v5,2024-05-18T12:01:27+02:00,2024-05-18 12:01:38 +0200 CEST,2024-05-18 12:01:38 +0200 CEST,2024-05-18 12:01:40 +0200 CEST,2024-05-18 12:01:40 +0200 CEST,2024-05-18 12:01:40 +0200 CEST,2024-05-18T12:03:15+02:00,2024-05-18T12:03:16+02:00
