DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy-undeploy-test-26,deploy-undeploy-test-26-b9777c69d-h9crp,2024-05-18T12:05:46+02:00,2024-05-18 12:05:49 +0200 CEST,2024-05-18 12:05:49 +0200 CEST,2024-05-18 12:05:51 +0200 CEST,2024-05-18 12:05:51 +0200 CEST,2024-05-18 12:05:51 +0200 CEST,2024-05-18T12:07:13+02:00,2024-05-18T12:07:14+02:00
deploy-undeploy-test-49,deploy-undeploy-test-49-7d8d596d99-6q2p7,2024-05-18T12:05:59+02:00,2024-05-18 12:06:05 +0200 CEST,2024-05-18 12:06:05 +0200 CEST,2024-05-18 12:06:06 +0200 CEST,2024-05-18 12:06:06 +0200 CEST,2024-05-18 12:06:06 +0200 CEST,2024-05-18T12:07:29+02:00,2024-05-18T12:07:30+02:00
deploy-undeploy-test-53,deploy-undeploy-test-53-645d944454-mqc5s,2024-05-18T12:06:01+02:00,2024-05-18 12:06:08 +0200 CEST,2024-05-18 12:06:08 +0200 CEST,2024-05-18 12:06:10 +0200 CEST,2024-05-18 12:06:10 +0200 CEST,2024-05-18 12:06:10 +0200 CEST,2024-05-18T12:07:32+02:00,2024-05-18T12:07:33+02:00
deploy-undeploy-test-69,deploy-undeploy-test-69-c9d9c88b9-hq58c,2024-05-18T12:06:10+02:00,2024-05-18 12:06:18 +0200 CEST,2024-05-18 12:06:18 +0200 CEST,2024-05-18 12:06:19 +0200 CEST,2024-05-18 12:06:19 +0200 CEST,2024-05-18 12:06:19 +0200 CEST,2024-05-18T12:07:49+02:00,2024-05-18T12:07:49+02:00
deploy-undeploy-test-76,deploy-undeploy-test-76-699dddfb6f-6zj7m,2024-05-18T12:06:14+02:00,2024-05-18 12:06:23 +0200 CEST,2024-05-18 12:06:23 +0200 CEST,2024-05-18 12:06:24 +0200 CEST,2024-05-18 12:06:24 +0200 CEST,2024-05-18 12:06:24 +0200 CEST,2024-05-18T12:07:57+02:00,2024-05-18T12:07:57+02:00
deploy-undeploy-test-86,deploy-undeploy-test-86-67bc5dbf84-bjfj5,2024-05-18T12:06:19+02:00,2024-05-18 12:06:29 +0200 CEST,2024-05-18 12:06:29 +0200 CEST,2024-05-18 12:06:31 +0200 CEST,2024-05-18 12:06:31 +0200 CEST,2024-05-18 12:06:31 +0200 CEST,2024-05-18T12:08:09+02:00,2024-05-18T12:08:09+02:00
deploy-undeploy-test-17,deploy-undeploy-test-17-57cb8bcb78-nw2p9,2024-05-18T12:05:43+02:00,2024-05-18 12:05:43 +0200 CEST,2024-05-18 12:05:43 +0200 CEST,2024-05-18 12:05:45 +0200 CEST,2024-05-18 12:05:45 +0200 CEST,2024-05-18 12:05:45 +0200 CEST,2024-05-18T12:07:05+02:00,2024-05-18T12:07:05+02:00
deploy-undeploy-test-16,deploy-undeploy-test-16-67b974b879-t58xt,2024-05-18T12:05:42+02:00,2024-05-18 12:05:42 +0200 CEST,2024-05-18 12:05:42 +0200 CEST,2024-05-18 12:05:44 +0200 CEST,2024-05-18 12:05:44 +0200 CEST,2024-05-18 12:05:44 +0200 CEST,2024-05-18T12:07:04+02:00,2024-05-18T12:07:04+02:00
deploy-undeploy-test-28,deploy-undeploy-test-28-798cd97544-9jnvn,2024-05-18T12:05:47+02:00,2024-05-18 12:05:50 +0200 CEST,2024-05-18 12:05:50 +0200 CEST,2024-05-18 12:05:52 +0200 CEST,2024-05-18 12:05:52 +0200 CEST,2024-05-18 12:05:52 +0200 CEST,2024-05-18T12:07:13+02:00,2024-05-18T12:07:15+02:00
deploy-undeploy-test-45,deploy-undeploy-test-45-5c4954dc59-mq7jf,2024-05-18T12:05:56+02:00,2024-05-18 12:06:02 +0200 CEST,2024-05-18 12:06:02 +0200 CEST,2024-05-18 12:06:04 +0200 CEST,2024-05-18 12:06:04 +0200 CEST,2024-05-18 12:06:04 +0200 CEST,2024-05-18T12:07:26+02:00,2024-05-18T12:07:26+02:00
