type,amount,platform
1716563481536,%CPU,1.68675%,K1_O2
1716563481626,%MEM,1.5Gi,K1_O2
1716563483267,%CPU,1.68675%,K1_O2
1716563483362,%MEM,1.5Gi,K1_O2
1716563485006,%CPU,2.18447%,K1_O2
1716563485091,%MEM,1.5Gi,K1_O2
1716563486742,%CPU,1.93237%,K1_O2
1716563486837,%MEM,1.5Gi,K1_O2
1716563488479,%CPU,1.93705%,K1_O2
1716563488567,%MEM,1.5Gi,K1_O2
1716563490217,%CPU,1.93705%,K1_O2
1716563490314,%MEM,1.5Gi,K1_O2
1716563491972,%CPU,1.68269%,K1_O2
1716563492064,%MEM,1.5Gi,K1_O2
1716563493727,%CPU,2.16346%,K1_O2
1716563493828,%MEM,1.5Gi,K1_O2
1716563495472,%CPU,1.94175%,K1_O2
1716563495560,%MEM,1.5Gi,K1_O2
1716563497210,%CPU,1.91847%,K1_O2
1716563497309,%MEM,1.5Gi,K1_O2
1716563498957,%CPU,1.92308%,K1_O2
1716563499056,%MEM,1.5Gi,K1_O2
1716563500706,%CPU,2.15311%,K1_O2
1716563500804,%MEM,1.5Gi,K1_O2
1716563502439,%CPU,1.45278%,K1_O2
1716563502527,%MEM,1.5Gi,K1_O2
1716563504186,%CPU,1.93705%,K1_O2
1716563504290,%MEM,1.5Gi,K1_O2
1716563505943,%CPU,1.93237%,K1_O2
1716563506043,%MEM,1.5Gi,K1_O2
1716563507709,%CPU,1.67064%,K1_O2
1716563507802,%MEM,1.5Gi,K1_O2
1716563509440,%CPU,1.93705%,K1_O2
1716563509525,%MEM,1.5Gi,K1_O2
1716563511176,%CPU,0.973236%,K1_O2
1716563511262,%MEM,1.5Gi,K1_O2
1716563512912,%CPU,1.45985%,K1_O2
1716563513015,%MEM,1.5Gi,K1_O2
1716563514672,%CPU,1.91847%,K1_O2
1716563514758,%MEM,1.5Gi,K1_O2
1716563516398,%CPU,1.93705%,K1_O2
1716563516489,%MEM,1.5Gi,K1_O2
1716563518137,%CPU,1.21065%,K1_O2
1716563518221,%MEM,1.5Gi,K1_O2
1716563519870,%CPU,2.18447%,K1_O2
1716563519956,%MEM,1.5Gi,K1_O2
1716563521615,%CPU,1.70316%,K1_O2
1716563521707,%MEM,1.5Gi,K1_O2
1716563523365,%CPU,1.44231%,K1_O2
1716563523493,%MEM,1.5Gi,K1_O2
1716563525144,%CPU,1.93237%,K1_O2
1716563525246,%MEM,1.5Gi,K1_O2
1716563526913,%CPU,1.68269%,K1_O2
1716563527050,%MEM,1.5Gi,K1_O2
1716563528709,%CPU,1.92308%,K1_O2
1716563528808,%MEM,1.5Gi,K1_O2
1716563530445,%CPU,1.21359%,K1_O2
1716563530527,%MEM,1.5Gi,K1_O2
1716563532169,%CPU,1.68675%,K1_O2
1716563532262,%MEM,1.5Gi,K1_O2
1716563533910,%CPU,1.92771%,K1_O2
1716563533995,%MEM,1.5Gi,K1_O2
1716563535640,%CPU,1.69082%,K1_O2
1716563535728,%MEM,1.5Gi,K1_O2
