type,amount,platform
1716557735023,%CPU,1.97044%,K3_O0
1716557735136,%MEM,1.5Gi,K3_O0
1716557736799,%CPU,1.91388%,K3_O0
1716557736906,%MEM,1.5Gi,K3_O0
1716557738569,%CPU,1.94647%,K3_O0
1716557738675,%MEM,1.5Gi,K3_O0
1716557740332,%CPU,2.39808%,K3_O0
1716557740436,%MEM,1.5Gi,K3_O0
1716557742093,%CPU,1.46341%,K3_O0
1716557742197,%MEM,1.5Gi,K3_O0
1716557743857,%CPU,1.4742%,K3_O0
1716557743953,%MEM,1.5Gi,K3_O0
1716557745610,%CPU,1.92308%,K3_O0
1716557745721,%MEM,1.5Gi,K3_O0
1716557747381,%CPU,1.91847%,K3_O0
1716557747490,%MEM,1.5Gi,K3_O0
1716557749156,%CPU,1.92308%,K3_O0
1716557749255,%MEM,1.5Gi,K3_O0
1716557750901,%CPU,1.92771%,K3_O0
1716557751002,%MEM,1.5Gi,K3_O0
1716557752657,%CPU,2.39234%,K3_O0
1716557752755,%MEM,1.5Gi,K3_O0
1716557754397,%CPU,1.68675%,K3_O0
1716557754490,%MEM,1.5Gi,K3_O0
1716557756170,%CPU,1.67866%,K3_O0
1716557756279,%MEM,1.5Gi,K3_O0
1716557757950,%CPU,1.91847%,K3_O0
1716557758041,%MEM,1.5Gi,K3_O0
1716557759721,%CPU,2.15827%,K3_O0
1716557759828,%MEM,1.5Gi,K3_O0
1716557761509,%CPU,1.91388%,K3_O0
1716557761617,%MEM,1.5Gi,K3_O0
1716557763297,%CPU,1.68269%,K3_O0
1716557763411,%MEM,1.5Gi,K3_O0
1716557765080,%CPU,1.68675%,K3_O0
1716557765186,%MEM,1.5Gi,K3_O0
1716557766839,%CPU,1.44578%,K3_O0
1716557766959,%MEM,1.5Gi,K3_O0
1716557768627,%CPU,1.91388%,K3_O0
1716557768736,%MEM,1.5Gi,K3_O0
1716557770407,%CPU,1.69082%,K3_O0
1716557770509,%MEM,1.5Gi,K3_O0
1716557772176,%CPU,2.38663%,K3_O0
1716557772288,%MEM,1.5Gi,K3_O0
1716557773952,%CPU,1.93705%,K3_O0
1716557774050,%MEM,1.5Gi,K3_O0
1716557775703,%CPU,1.21655%,K3_O0
1716557775810,%MEM,1.5Gi,K3_O0
1716557777475,%CPU,2.38095%,K3_O0
1716557777581,%MEM,1.5Gi,K3_O0
1716557779237,%CPU,2.46305%,K3_O0
1716557779332,%MEM,1.5Gi,K3_O0
1716557780981,%CPU,1.69492%,K3_O0
1716557781072,%MEM,1.5Gi,K3_O0
1716557782725,%CPU,1.68269%,K3_O0
1716557782829,%MEM,1.5Gi,K3_O0
1716557784494,%CPU,1.69492%,K3_O0
1716557784599,%MEM,1.5Gi,K3_O0
1716557786259,%CPU,2.15827%,K3_O0
1716557786362,%MEM,1.5Gi,K3_O0
1716557788027,%CPU,1.93237%,K3_O0
1716557788123,%MEM,1.5Gi,K3_O0
1716557789776,%CPU,2.63789%,K3_O0
1716557789869,%MEM,1.5Gi,K3_O0
