type,amount,platform
1716564258005,%CPU,1.68675%,K0_O3
1716564258111,%MEM,1.5Gi,K0_O3
1716564259770,%CPU,1.91847%,K0_O3
1716564259868,%MEM,1.5Gi,K0_O3
1716564261505,%CPU,1.45631%,K0_O3
1716564261592,%MEM,1.5Gi,K0_O3
1716564263228,%CPU,1.45278%,K0_O3
1716564263312,%MEM,1.5Gi,K0_O3
1716564264959,%CPU,1.69903%,K0_O3
1716564265049,%MEM,1.5Gi,K0_O3
1716564266685,%CPU,1.69903%,K0_O3
1716564266766,%MEM,1.5Gi,K0_O3
1716564268405,%CPU,1.45278%,K0_O3
1716564268500,%MEM,1.5Gi,K0_O3
1716564270141,%CPU,2.17391%,K0_O3
1716564270236,%MEM,1.5Gi,K0_O3
1716564271887,%CPU,2.89157%,K0_O3
1716564271992,%MEM,1.5Gi,K0_O3
1716564273638,%CPU,1.68675%,K0_O3
1716564273731,%MEM,1.5Gi,K0_O3
1716564275411,%CPU,2.86396%,K0_O3
1716564275525,%MEM,1.5Gi,K0_O3
1716564277178,%CPU,1.44928%,K0_O3
1716564277275,%MEM,1.5Gi,K0_O3
1716564278930,%CPU,2.15827%,K0_O3
1716564279024,%MEM,1.5Gi,K0_O3
1716564280673,%CPU,2.17918%,K0_O3
1716564280769,%MEM,1.5Gi,K0_O3
1716564282416,%CPU,1.21359%,K0_O3
1716564282505,%MEM,1.5Gi,K0_O3
1716564284151,%CPU,1.69082%,K0_O3
1716564284243,%MEM,1.5Gi,K0_O3
1716564285881,%CPU,2.18447%,K0_O3
1716564285959,%MEM,1.5Gi,K0_O3
1716564287601,%CPU,0.970874%,K0_O3
1716564287703,%MEM,1.5Gi,K0_O3
1716564289341,%CPU,1.69492%,K0_O3
1716564289430,%MEM,1.5Gi,K0_O3
1716564291065,%CPU,2.17918%,K0_O3
1716564291147,%MEM,1.5Gi,K0_O3
1716564292781,%CPU,1.69082%,K0_O3
1716564292878,%MEM,1.5Gi,K0_O3
1716564294517,%CPU,1.46699%,K0_O3
1716564294601,%MEM,1.5Gi,K0_O3
1716564296237,%CPU,2.46305%,K0_O3
1716564296316,%MEM,1.5Gi,K0_O3
1716564297951,%CPU,1.45278%,K0_O3
1716564298048,%MEM,1.5Gi,K0_O3
1716564299697,%CPU,1.69492%,K0_O3
1716564299782,%MEM,1.5Gi,K0_O3
1716564301421,%CPU,2.19512%,K0_O3
1716564301511,%MEM,1.5Gi,K0_O3
1716564303146,%CPU,1.21065%,K0_O3
1716564303231,%MEM,1.5Gi,K0_O3
1716564304877,%CPU,1.92308%,K0_O3
1716564304966,%MEM,1.5Gi,K0_O3
1716564306606,%CPU,1.45631%,K0_O3
1716564306705,%MEM,1.5Gi,K0_O3
1716564308361,%CPU,1.68675%,K0_O3
1716564308449,%MEM,1.5Gi,K0_O3
1716564310093,%CPU,1.45278%,K0_O3
1716564310190,%MEM,1.5Gi,K0_O3
1716564311836,%CPU,1.70316%,K0_O3
1716564311934,%MEM,1.5Gi,K0_O3
1716564313588,%CPU,1.45278%,K0_O3
1716564313677,%MEM,1.5Gi,K0_O3
