namespace,pod,timestamp,value
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129428,55930880
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129429,55930880
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129430,55930880
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129431,55930880
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129432,55930880
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129433,55930880
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129434,55930880
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129435,55930880
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129436,55930880
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129437,55930880
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129438,55930880
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129439,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129440,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129441,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129442,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129443,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129444,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129445,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129446,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129447,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129448,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129449,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129450,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129451,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129452,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129453,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129454,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129455,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129456,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129457,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129458,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129459,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129460,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129461,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129462,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129463,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129464,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129465,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129466,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129467,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129468,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129469,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129470,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129471,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129472,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129473,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129474,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129475,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129476,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129477,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129478,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129479,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129480,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129481,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129482,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129483,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129484,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129485,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129486,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129487,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129488,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129489,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129490,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129491,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129492,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129493,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129494,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129495,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129496,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129497,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129498,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129499,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129500,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129501,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129502,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129503,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129504,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129505,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129506,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129507,55926784
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129508,55943168
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129509,55943168
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129510,55943168
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129511,55943168
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129512,55943168
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129513,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129514,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129515,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129516,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129517,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129518,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129519,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129520,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129521,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129522,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129523,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129524,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129525,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129526,55963648
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129527,55971840
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129528,55971840
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129529,55971840
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129530,55971840
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129531,55971840
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129532,55971840
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129533,55971840
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129534,55971840
karmada-system,karmada-agent-6cf666f59d-rbhs5,1716129535,55971840
