instance,timestamp,value
10.100.252.14:10250,1716129428,1400410112
10.100.252.14:10250,1716129429,1400410112
10.100.252.14:10250,1716129430,1400410112
10.100.252.14:10250,1716129431,1400410112
10.100.252.14:10250,1716129432,1400410112
10.100.252.14:10250,1716129433,1400410112
10.100.252.14:10250,1716129434,1400410112
10.100.252.14:10250,1716129435,1400410112
10.100.252.14:10250,1716129436,1400410112
10.100.252.14:10250,1716129437,1400410112
10.100.252.14:10250,1716129438,1400410112
10.100.252.14:10250,1716129439,1402658816
10.100.252.14:10250,1716129440,1403043840
10.100.252.14:10250,1716129441,1403043840
10.100.252.14:10250,1716129442,1403043840
10.100.252.14:10250,1716129443,1405263872
10.100.252.14:10250,1716129444,1405263872
10.100.252.14:10250,1716129445,1405263872
10.100.252.14:10250,1716129446,1405259776
10.100.252.14:10250,1716129447,1405259776
10.100.252.14:10250,1716129448,1405255680
10.100.252.14:10250,1716129449,1409921024
10.100.252.14:10250,1716129450,1416151040
10.100.252.14:10250,1716129451,1421250560
10.100.252.14:10250,1716129452,1421250560
10.100.252.14:10250,1716129453,1427902464
10.100.252.14:10250,1716129454,1440600064
10.100.252.14:10250,1716129455,1440600064
10.100.252.14:10250,1716129456,1440600064
10.100.252.14:10250,1716129457,1440600064
10.100.252.14:10250,1716129458,1440600064
10.100.252.14:10250,1716129459,1440600064
10.100.252.14:10250,1716129460,1440600064
10.100.252.14:10250,1716129461,1440600064
10.100.252.14:10250,1716129462,1440600064
10.100.252.14:10250,1716129463,1440600064
10.100.252.14:10250,1716129464,1440600064
10.100.252.14:10250,1716129465,1440600064
10.100.252.14:10250,1716129466,1440600064
10.100.252.14:10250,1716129467,1440600064
10.100.252.14:10250,1716129468,1440325632
10.100.252.14:10250,1716129469,1440325632
10.100.252.14:10250,1716129470,1440325632
10.100.252.14:10250,1716129471,1440051200
10.100.252.14:10250,1716129472,1442148352
10.100.252.14:10250,1716129473,1442144256
10.100.252.14:10250,1716129474,1442144256
10.100.252.14:10250,1716129475,1445867520
10.100.252.14:10250,1716129476,1448714240
10.100.252.14:10250,1716129477,1448714240
10.100.252.14:10250,1716129478,1454493696
10.100.252.14:10250,1716129479,1454460928
10.100.252.14:10250,1716129480,1459638272
10.100.252.14:10250,1716129481,1459638272
10.100.252.14:10250,1716129482,1464836096
10.100.252.14:10250,1716129483,1471258624
10.100.252.14:10250,1716129484,1476550656
10.100.252.14:10250,1716129485,1476550656
10.100.252.14:10250,1716129486,1476550656
10.100.252.14:10250,1716129487,1476550656
10.100.252.14:10250,1716129488,1476550656
10.100.252.14:10250,1716129489,1476550656
10.100.252.14:10250,1716129490,1476550656
10.100.252.14:10250,1716129491,1476550656
10.100.252.14:10250,1716129492,1476550656
10.100.252.14:10250,1716129493,1476550656
10.100.252.14:10250,1716129494,1476550656
10.100.252.14:10250,1716129495,1476550656
10.100.252.14:10250,1716129496,1476550656
10.100.252.14:10250,1716129497,1476550656
10.100.252.14:10250,1716129498,1476550656
10.100.252.14:10250,1716129499,1476653056
10.100.252.14:10250,1716129500,1333309440
10.100.252.14:10250,1716129501,1333309440
10.100.252.14:10250,1716129502,1333309440
10.100.252.14:10250,1716129503,1333309440
10.100.252.14:10250,1716129504,1090473984
10.100.252.14:10250,1716129505,800047104
10.100.252.14:10250,1716129506,800047104
10.100.252.14:10250,1716129507,611008512
10.100.252.14:10250,1716129508,514777088
10.100.252.14:10250,1716129509,519323648
10.100.252.14:10250,1716129510,524042240
10.100.252.14:10250,1716129511,529317888
10.100.252.14:10250,1716129512,528879616
10.100.252.14:10250,1716129513,528891904
10.100.252.14:10250,1716129514,534122496
10.100.252.14:10250,1716129515,534122496
10.100.252.14:10250,1716129516,534122496
10.100.252.14:10250,1716129517,534122496
10.100.252.14:10250,1716129518,534122496
10.100.252.14:10250,1716129519,534122496
10.100.252.14:10250,1716129520,534122496
10.100.252.14:10250,1716129521,534122496
10.100.252.14:10250,1716129522,534122496
10.100.252.14:10250,1716129523,534122496
10.100.252.14:10250,1716129524,534122496
10.100.252.14:10250,1716129525,534122496
10.100.252.14:10250,1716129526,534155264
10.100.252.14:10250,1716129527,534155264
10.100.252.14:10250,1716129528,534155264
10.100.252.14:10250,1716129529,534155264
10.100.252.14:10250,1716129530,534155264
10.100.252.14:10250,1716129531,534155264
10.100.252.14:10250,1716129532,534155264
10.100.252.14:10250,1716129533,534155264
10.100.252.14:10250,1716129534,538808320
10.100.252.14:10250,1716129535,538808320
10.100.252.14:10250,1716129536,541900800
10.100.252.14:10250,1716129537,555823104
10.100.252.14:10250,1716129538,555831296
10.100.252.14:10250,1716129539,561598464
10.100.252.14:10250,1716129540,561598464
10.100.252.14:10250,1716129541,561598464
10.100.252.14:10250,1716129542,561328128
10.100.252.14:10250,1716129543,571555840
10.100.252.14:10250,1716129544,571555840
10.100.252.14:10250,1716129545,571584512
10.100.252.14:10250,1716129546,571584512
10.100.252.14:10250,1716129547,571584512
10.100.252.14:10250,1716129548,571584512
10.100.252.14:10250,1716129549,571584512
10.100.252.14:10250,1716129550,571584512
10.100.252.14:10250,1716129551,571584512
10.100.252.14:10250,1716129552,571584512
10.100.252.14:10250,1716129553,571584512
10.100.252.14:10250,1716129554,571584512
10.100.252.14:10250,1716129555,571584512
10.100.252.14:10250,1716129556,571584512
10.100.252.14:10250,1716129557,571584512
10.100.252.14:10250,1716129558,571584512
10.100.252.14:10250,1716129559,571584512
10.100.252.14:10250,1716129560,571584512
10.100.252.14:10250,1716129561,571584512
10.100.252.14:10250,1716129562,571641856
10.100.252.14:10250,1716129563,571641856
10.100.252.14:10250,1716129564,577048576
10.100.252.14:10250,1716129565,586088448
10.100.252.14:10250,1716129566,592830464
10.100.252.14:10250,1716129567,592826368
10.100.252.14:10250,1716129568,596791296
10.100.252.14:10250,1716129569,596791296
10.100.252.14:10250,1716129570,604372992
10.100.252.14:10250,1716129571,604372992
10.100.252.14:10250,1716129572,604372992
10.100.252.14:10250,1716129573,610762752
10.100.252.14:10250,1716129574,610758656
10.100.252.14:10250,1716129575,610758656
10.100.252.14:10250,1716129576,610758656
10.100.252.14:10250,1716129577,610758656
10.100.252.14:10250,1716129578,610758656
10.100.252.14:10250,1716129579,610758656
10.100.252.14:10250,1716129580,610758656
10.100.252.14:10250,1716129581,610758656
10.100.252.14:10250,1716129582,610758656
10.100.252.14:10250,1716129583,610758656
10.100.252.14:10250,1716129584,610758656
10.100.252.14:10250,1716129585,610758656
10.100.252.14:10250,1716129586,610758656
10.100.252.14:10250,1716129587,610758656
10.100.252.14:10250,1716129588,610758656
10.100.252.14:10250,1716129589,614285312
10.100.252.14:10250,1716129590,614285312
10.100.252.14:10250,1716129591,614285312
10.100.252.14:10250,1716129592,614285312
10.100.252.14:10250,1716129593,614285312
10.100.252.14:10250,1716129594,618172416
10.100.252.14:10250,1716129595,622260224
10.100.252.14:10250,1716129596,622268416
10.100.252.14:10250,1716129597,628273152
10.100.252.14:10250,1716129598,628273152
10.100.252.14:10250,1716129599,628273152
10.100.252.14:10250,1716129600,628928512
10.100.252.14:10250,1716129601,628928512
10.100.252.14:10250,1716129602,633454592
10.100.252.14:10250,1716129603,633454592
10.100.252.14:10250,1716129604,637296640
10.100.252.14:10250,1716129605,642945024
10.100.252.14:10250,1716129606,642945024
10.100.252.14:10250,1716129607,642945024
10.100.252.14:10250,1716129608,642945024
10.100.252.14:10250,1716129609,642945024
10.100.252.14:10250,1716129610,642945024
10.100.252.14:10250,1716129611,642945024
10.100.252.14:10250,1716129612,642945024
10.100.252.14:10250,1716129613,642945024
10.100.252.14:10250,1716129614,642945024
10.100.252.14:10250,1716129615,642945024
10.100.252.14:10250,1716129616,642945024
10.100.252.14:10250,1716129617,642945024
