instance,pod,timestamp,value
10.100.252.157:10250,calico-node-n2292,1716876214.316,56329557.33333333
10.100.252.157:10250,calico-node-n2292,1716876215.316,56329557.33333333
10.100.252.157:10250,calico-node-n2292,1716876216.316,56329557.33333333
10.100.252.157:10250,calico-node-n2292,1716876217.316,56329557.33333333
10.100.252.157:10250,calico-node-n2292,1716876218.316,56329557.33333333
10.100.252.157:10250,calico-node-n2292,1716876219.316,56329557.33333333
10.100.252.157:10250,calico-node-n2292,1716876220.316,56329557.33333333
10.100.252.157:10250,calico-node-n2292,1716876221.316,56329557.33333333
10.100.252.157:10250,calico-node-n2292,1716876222.316,56330922.66666667
10.100.252.157:10250,calico-node-n2292,1716876223.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876224.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876225.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876226.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876227.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876228.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876229.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876230.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876231.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876232.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876233.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876234.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876235.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876236.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876237.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876238.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876239.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876240.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876241.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876242.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876243.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876244.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876245.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876246.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876247.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876248.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876249.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876250.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876251.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876252.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876253.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876254.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876255.316,56332288
10.100.252.157:10250,calico-node-n2292,1716876256.316,56328192
10.100.252.157:10250,calico-node-n2292,1716876257.316,56324096
10.100.252.157:10250,calico-node-n2292,1716876258.316,56324096
10.100.252.157:10250,calico-node-n2292,1716876259.316,56324096
10.100.252.157:10250,calico-node-n2292,1716876260.316,56324096
10.100.252.157:10250,calico-node-n2292,1716876261.316,56324096
10.100.252.157:10250,calico-node-n2292,1716876262.316,56324096
10.100.252.157:10250,calico-node-n2292,1716876263.316,56324096
10.100.252.157:10250,calico-node-n2292,1716876264.316,56324096
10.100.252.157:10250,calico-node-n2292,1716876265.316,56324096
10.100.252.157:10250,calico-node-n2292,1716876266.316,56324096
10.100.252.157:10250,calico-node-n2292,1716876267.316,56324096
10.100.252.157:10250,calico-node-n2292,1716876268.316,56324096
10.100.252.157:10250,calico-node-n2292,1716876269.316,56324096
10.100.252.157:10250,calico-node-n2292,1716876270.316,56324096
