instance,timestamp,value
10.100.252.186:10250,1715955096,2028310528
10.100.252.186:10250,1715955097,2028310528
10.100.252.186:10250,1715955098,2028310528
10.100.252.186:10250,1715955099,2028310528
10.100.252.186:10250,1715955100,2028310528
10.100.252.186:10250,1715955101,2028310528
10.100.252.186:10250,1715955102,2028310528
10.100.252.186:10250,1715955103,2028310528
10.100.252.186:10250,1715955104,2028310528
10.100.252.186:10250,1715955105,2028310528
10.100.252.186:10250,1715955106,2028310528
10.100.252.186:10250,1715955107,2028310528
10.100.252.186:10250,1715955108,2028310528
10.100.252.186:10250,1715955109,2028310528
10.100.252.186:10250,1715955110,2028310528
10.100.252.186:10250,1715955111,2028310528
10.100.252.186:10250,1715955112,2028310528
10.100.252.186:10250,1715955113,2028310528
10.100.252.186:10250,1715955114,2028310528
10.100.252.186:10250,1715955115,2031845376
10.100.252.186:10250,1715955116,2031845376
10.100.252.186:10250,1715955117,2031853568
10.100.252.186:10250,1715955118,2031702016
10.100.252.186:10250,1715955119,2031869952
10.100.252.186:10250,1715955120,2031869952
10.100.252.186:10250,1715955121,2038583296
10.100.252.186:10250,1715955122,2038607872
10.100.252.186:10250,1715955123,2042523648
10.100.252.186:10250,1715955124,2042499072
10.100.252.186:10250,1715955125,2042564608
10.100.252.186:10250,1715955126,2042572800
10.100.252.186:10250,1715955127,2048176128
10.100.252.186:10250,1715955128,2048176128
10.100.252.186:10250,1715955129,2048176128
10.100.252.186:10250,1715955130,2048176128
10.100.252.186:10250,1715955131,2048176128
10.100.252.186:10250,1715955132,2048176128
10.100.252.186:10250,1715955133,2048176128
10.100.252.186:10250,1715955134,2048176128
10.100.252.186:10250,1715955135,2048176128
10.100.252.186:10250,1715955136,2048176128
10.100.252.186:10250,1715955137,2048176128
10.100.252.186:10250,1715955138,2048176128
10.100.252.186:10250,1715955139,2048176128
10.100.252.186:10250,1715955140,2048176128
10.100.252.186:10250,1715955141,2053615616
10.100.252.186:10250,1715955142,2053615616
10.100.252.186:10250,1715955143,2053619712
10.100.252.186:10250,1715955144,2053623808
10.100.252.186:10250,1715955145,2053623808
10.100.252.186:10250,1715955146,2053640192
10.100.252.186:10250,1715955147,2053865472
10.100.252.186:10250,1715955148,2059448320
10.100.252.186:10250,1715955149,2064855040
10.100.252.186:10250,1715955150,2064855040
10.100.252.186:10250,1715955151,2064887808
10.100.252.186:10250,1715955152,2064887808
10.100.252.186:10250,1715955153,2073481216
10.100.252.186:10250,1715955154,2073530368
10.100.252.186:10250,1715955155,2077880320
10.100.252.186:10250,1715955156,2077884416
10.100.252.186:10250,1715955157,2077962240
10.100.252.186:10250,1715955158,2077962240
10.100.252.186:10250,1715955159,2077962240
10.100.252.186:10250,1715955160,2077962240
10.100.252.186:10250,1715955161,2077962240
10.100.252.186:10250,1715955162,2077962240
10.100.252.186:10250,1715955163,2077962240
10.100.252.186:10250,1715955164,2077962240
10.100.252.186:10250,1715955165,2077962240
10.100.252.186:10250,1715955166,2077962240
10.100.252.186:10250,1715955167,2077962240
10.100.252.186:10250,1715955168,2077962240
10.100.252.186:10250,1715955169,2077962240
10.100.252.186:10250,1715955170,2077962240
10.100.252.186:10250,1715955171,2077962240
10.100.252.186:10250,1715955172,2078040064
10.100.252.186:10250,1715955173,2077782016
10.100.252.186:10250,1715955174,2008416256
10.100.252.186:10250,1715955175,1959813120
10.100.252.186:10250,1715955176,1959813120
10.100.252.186:10250,1715955177,1885982720
10.100.252.186:10250,1715955178,1884667904
10.100.252.186:10250,1715955179,1888419840
10.100.252.186:10250,1715955180,1888489472
10.100.252.186:10250,1715955181,1888456704
10.100.252.186:10250,1715955182,1888456704
