container,pod,namespace,timestamp,value
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955615,23.694358921729613
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955616,24.76966452289728
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955617,25.84497012406495
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955618,26.92027572523262
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955619,27.995581326400295
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955620,29.070886927567965
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955621,30.146192528735632
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955622,31.221498129903306
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955623,32.29680373107098
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955624,33.372109332238644
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955625,34.447414933406314
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955626,35.522720534573985
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955627,36.59802613574165
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955628,37.67333173690932
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955629,38.74863733807699
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955630,39.82394293924467
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955631,31.433333333333334
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955632,31.433333333333334
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955633,31.433333333333334
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955634,31.433333333333334
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955635,31.433333333333334
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955636,31.433333333333334
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955637,31.433333333333334
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955638,31.433333333333334
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955639,31.433333333333334
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955640,31.433333333333334
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955641,31.433333333333334
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955642,31.433333333333334
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955643,31.433333333333334
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955644,31.433333333333334
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955645,39.99814244663383
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955646,38.92283684546616
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955647,37.84753124429849
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955648,36.772225643130824
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955649,35.696920041963146
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955650,76.64417363279284
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955651,76.64417363279284
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955652,76.64417363279284
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955653,76.64417363279284
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955654,76.64417363279284
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955655,76.64417363279284
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955656,76.64417363279284
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955657,76.64417363279284
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955658,76.64417363279284
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955659,76.64417363279284
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955660,76.64417363279284
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955661,81.70373119415342
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955662,81.70373119415342
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955663,81.70373119415342
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955664,81.70373119415342
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955665,81.70373119415342
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955666,81.70373119415342
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955667,81.70373119415342
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955668,81.70373119415342
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955669,81.70373119415342
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955670,81.70373119415342
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955671,81.70373119415342
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955672,81.70373119415342
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955673,81.70373119415342
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955674,81.70373119415342
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955678,74.59044912636355
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955679,76.37090573414422
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955680,106.82739646684043
POD,management-overhead-client-7b688599d6-6mtzn,default,1715955681,106.82739646684043
