instance,pod,timestamp,value
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956084,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956085,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956086,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956087,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956088,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956089,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956090,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956091,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956092,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956093,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956094,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956095,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956096,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956097,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956098,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956099,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956100,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956101,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956102,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956103,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956104,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956105,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956106,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956107,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956108,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956109,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956110,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956111,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956112,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956113,13120853.333333334
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956114,13123584
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956115,13123584
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956116,13123584
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956117,13126314.666666666
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956118,13126314.666666666
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956119,13126314.666666666
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956120,13126314.666666666
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956121,13126314.666666666
10.100.252.186:10250,calico-kube-controllers-658d97c59c-wnz7d,1715956122,13126314.666666666
