instance,timestamp,value
10.100.253.191:10250,1716825537.485,1506308096
10.100.253.191:10250,1716825538.485,1506308096
10.100.253.191:10250,1716825539.485,1506308096
10.100.253.191:10250,1716825540.485,1506308096
10.100.253.191:10250,1716825541.485,1506308096
10.100.253.191:10250,1716825542.485,1506308096
10.100.253.191:10250,1716825543.485,1510285312
10.100.253.191:10250,1716825544.485,1510285312
10.100.253.191:10250,1716825545.485,1510293504
10.100.253.191:10250,1716825546.485,1509576704
10.100.253.191:10250,1716825547.485,1513091072
10.100.253.191:10250,1716825548.485,1513091072
10.100.253.191:10250,1716825549.485,1513091072
10.100.253.191:10250,1716825550.485,1513091072
10.100.253.191:10250,1716825551.485,1521405952
10.100.253.191:10250,1716825552.485,1513148416
10.100.253.191:10250,1716825553.485,1521643520
10.100.253.191:10250,1716825554.485,1521643520
10.100.253.191:10250,1716825555.485,1521545216
10.100.253.191:10250,1716825556.485,1521553408
10.100.253.191:10250,1716825557.485,1521561600
10.100.253.191:10250,1716825558.485,1380466688
10.100.253.191:10250,1716825559.485,1391529984
10.100.253.191:10250,1716825560.485,1391529984
10.100.253.191:10250,1716825561.485,1391529984
10.100.253.191:10250,1716825562.485,1391529984
10.100.253.191:10250,1716825563.485,1391529984
10.100.253.191:10250,1716825564.485,1391529984
10.100.253.191:10250,1716825565.485,1391529984
10.100.253.191:10250,1716825566.485,1391529984
10.100.253.191:10250,1716825567.485,1391529984
10.100.253.191:10250,1716825568.485,1391529984
10.100.253.191:10250,1716825569.485,1391529984
10.100.253.191:10250,1716825570.485,1391529984
10.100.253.191:10250,1716825571.485,1391529984
10.100.253.191:10250,1716825572.485,1391529984
10.100.253.191:10250,1716825573.485,1391529984
10.100.253.191:10250,1716825574.485,1391529984
10.100.253.191:10250,1716825575.485,1391529984
10.100.253.191:10250,1716825576.485,1391529984
10.100.253.191:10250,1716825577.485,1391529984
10.100.253.191:10250,1716825578.485,1395847168
10.100.253.191:10250,1716825579.485,1411788800
10.100.253.191:10250,1716825580.485,1411788800
10.100.253.191:10250,1716825581.485,1416810496
10.100.253.191:10250,1716825582.485,1416847360
10.100.253.191:10250,1716825583.485,1416851456
10.100.253.191:10250,1716825584.485,1416855552
10.100.253.191:10250,1716825585.485,1423204352
10.100.253.191:10250,1716825586.485,1427881984
10.100.253.191:10250,1716825587.485,1434542080
10.100.253.191:10250,1716825588.485,1439703040
10.100.253.191:10250,1716825589.485,1439703040
10.100.253.191:10250,1716825590.485,1439703040
10.100.253.191:10250,1716825591.485,1439703040
10.100.253.191:10250,1716825592.485,1439703040
10.100.253.191:10250,1716825593.485,1439703040
10.100.253.191:10250,1716825594.485,1439703040
10.100.253.191:10250,1716825595.485,1439703040
10.100.253.191:10250,1716825596.485,1439703040
10.100.253.191:10250,1716825597.485,1439703040
10.100.253.191:10250,1716825598.485,1439703040
10.100.253.191:10250,1716825599.485,1439703040
10.100.253.191:10250,1716825600.485,1439703040
10.100.253.191:10250,1716825601.485,1439703040
10.100.253.191:10250,1716825602.485,1439703040
10.100.253.191:10250,1716825603.485,1439703040
10.100.253.191:10250,1716825604.485,1439715328
10.100.253.191:10250,1716825605.485,1439715328
10.100.253.191:10250,1716825606.485,1439715328
10.100.253.191:10250,1716825607.485,1439715328
10.100.253.191:10250,1716825608.485,1446920192
10.100.253.191:10250,1716825609.485,1447088128
10.100.253.191:10250,1716825610.485,1451646976
10.100.253.191:10250,1716825611.485,1451646976
10.100.253.191:10250,1716825612.485,1451651072
10.100.253.191:10250,1716825613.485,1451651072
10.100.253.191:10250,1716825614.485,1436114944
10.100.253.191:10250,1716825615.485,1436114944
10.100.253.191:10250,1716825616.485,1441800192
10.100.253.191:10250,1716825617.485,1441800192
10.100.253.191:10250,1716825618.485,1447477248
10.100.253.191:10250,1716825619.485,1462796288
10.100.253.191:10250,1716825620.485,1462796288
10.100.253.191:10250,1716825621.485,1462796288
10.100.253.191:10250,1716825622.485,1462796288
10.100.253.191:10250,1716825623.485,1462796288
10.100.253.191:10250,1716825624.485,1462796288
10.100.253.191:10250,1716825625.485,1462796288
10.100.253.191:10250,1716825626.485,1462796288
10.100.253.191:10250,1716825627.485,1462796288
10.100.253.191:10250,1716825628.485,1462796288
10.100.253.191:10250,1716825629.485,1462796288
10.100.253.191:10250,1716825630.485,1462796288
10.100.253.191:10250,1716825631.485,1462796288
10.100.253.191:10250,1716825632.485,1462796288
10.100.253.191:10250,1716825633.485,1462796288
10.100.253.191:10250,1716825634.485,1462796288
10.100.253.191:10250,1716825635.485,1462796288
10.100.253.191:10250,1716825636.485,1463156736
10.100.253.191:10250,1716825637.485,1463156736
10.100.253.191:10250,1716825638.485,1463156736
10.100.253.191:10250,1716825639.485,1463066624
10.100.253.191:10250,1716825640.485,1463066624
10.100.253.191:10250,1716825641.485,1463066624
10.100.253.191:10250,1716825642.485,1468051456
10.100.253.191:10250,1716825643.485,1472937984
10.100.253.191:10250,1716825644.485,1483964416
10.100.253.191:10250,1716825645.485,1499484160
10.100.253.191:10250,1716825646.485,1499484160
10.100.253.191:10250,1716825647.485,1499488256
10.100.253.191:10250,1716825648.485,1499488256
10.100.253.191:10250,1716825649.485,1499492352
10.100.253.191:10250,1716825650.485,1499492352
10.100.253.191:10250,1716825651.485,1499492352
10.100.253.191:10250,1716825652.485,1499492352
10.100.253.191:10250,1716825653.485,1499492352
10.100.253.191:10250,1716825654.485,1499492352
10.100.253.191:10250,1716825655.485,1499492352
10.100.253.191:10250,1716825656.485,1499492352
10.100.253.191:10250,1716825657.485,1499492352
10.100.253.191:10250,1716825658.485,1499492352
10.100.253.191:10250,1716825659.485,1499496448
10.100.253.191:10250,1716825660.485,1499496448
10.100.253.191:10250,1716825661.485,1499496448
10.100.253.191:10250,1716825662.485,1499496448
10.100.253.191:10250,1716825663.485,1499496448
10.100.253.191:10250,1716825664.485,1499496448
10.100.253.191:10250,1716825665.485,1499299840
10.100.253.191:10250,1716825666.485,1499299840
10.100.253.191:10250,1716825667.485,1499299840
10.100.253.191:10250,1716825668.485,1503719424
10.100.253.191:10250,1716825669.485,1503752192
10.100.253.191:10250,1716825670.485,1507737600
10.100.253.191:10250,1716825671.485,1507102720
10.100.253.191:10250,1716825672.485,1513857024
10.100.253.191:10250,1716825673.485,1513861120
10.100.253.191:10250,1716825674.485,1518264320
10.100.253.191:10250,1716825675.485,1518067712
10.100.253.191:10250,1716825676.485,1518075904
10.100.253.191:10250,1716825677.485,1518080000
10.100.253.191:10250,1716825678.485,1530638336
10.100.253.191:10250,1716825679.485,1530667008
10.100.253.191:10250,1716825680.485,1530667008
10.100.253.191:10250,1716825681.485,1530667008
10.100.253.191:10250,1716825682.485,1530667008
10.100.253.191:10250,1716825683.485,1530667008
10.100.253.191:10250,1716825684.485,1530667008
10.100.253.191:10250,1716825685.485,1530667008
10.100.253.191:10250,1716825686.485,1530667008
10.100.253.191:10250,1716825687.485,1530667008
10.100.253.191:10250,1716825688.485,1530667008
10.100.253.191:10250,1716825689.485,1530667008
10.100.253.191:10250,1716825690.485,1530667008
10.100.253.191:10250,1716825691.485,1530667008
10.100.253.191:10250,1716825692.485,1530667008
10.100.253.191:10250,1716825693.485,1530667008
10.100.253.191:10250,1716825694.485,1530667008
10.100.253.191:10250,1716825695.485,1530667008
10.100.253.191:10250,1716825696.485,1536733184
10.100.253.191:10250,1716825697.485,1540976640
10.100.253.191:10250,1716825698.485,1541783552
10.100.253.191:10250,1716825699.485,1541783552
10.100.253.191:10250,1716825700.485,1541783552
10.100.253.191:10250,1716825701.485,1546244096
10.100.253.191:10250,1716825702.485,1551425536
10.100.253.191:10250,1716825703.485,1556553728
10.100.253.191:10250,1716825704.485,1556553728
10.100.253.191:10250,1716825705.485,1556541440
10.100.253.191:10250,1716825706.485,1556545536
10.100.253.191:10250,1716825707.485,1556541440
10.100.253.191:10250,1716825708.485,1556541440
10.100.253.191:10250,1716825709.485,1556541440
10.100.253.191:10250,1716825710.485,1556541440
10.100.253.191:10250,1716825711.485,1556541440
10.100.253.191:10250,1716825712.485,1556541440
10.100.253.191:10250,1716825713.485,1556541440
10.100.253.191:10250,1716825714.485,1556541440
10.100.253.191:10250,1716825715.485,1556541440
10.100.253.191:10250,1716825716.485,1556541440
10.100.253.191:10250,1716825717.485,1556541440
10.100.253.191:10250,1716825718.485,1556541440
10.100.253.191:10250,1716825719.485,1556541440
10.100.253.191:10250,1716825720.485,1556541440
10.100.253.191:10250,1716825721.485,1556541440
10.100.253.191:10250,1716825722.485,1556541440
10.100.253.191:10250,1716825723.485,1561341952
10.100.253.191:10250,1716825724.485,1561341952
10.100.253.191:10250,1716825725.485,1561350144
10.100.253.191:10250,1716825726.485,1561481216
10.100.253.191:10250,1716825727.485,1561481216
10.100.253.191:10250,1716825728.485,1567612928
10.100.253.191:10250,1716825729.485,1573679104
10.100.253.191:10250,1716825730.485,1573687296
10.100.253.191:10250,1716825731.485,1580314624
10.100.253.191:10250,1716825732.485,1580314624
10.100.253.191:10250,1716825733.485,1580314624
10.100.253.191:10250,1716825734.485,1577955328
10.100.253.191:10250,1716825735.485,1577955328
10.100.253.191:10250,1716825736.485,1583706112
10.100.253.191:10250,1716825737.485,1590661120
10.100.253.191:10250,1716825738.485,1590661120
10.100.253.191:10250,1716825739.485,1590661120
10.100.253.191:10250,1716825740.485,1590661120
10.100.253.191:10250,1716825741.485,1590661120
10.100.253.191:10250,1716825742.485,1590661120
10.100.253.191:10250,1716825743.485,1590661120
10.100.253.191:10250,1716825744.485,1590661120
10.100.253.191:10250,1716825745.485,1590661120
10.100.253.191:10250,1716825746.485,1590661120
10.100.253.191:10250,1716825747.485,1590661120
10.100.253.191:10250,1716825748.485,1590661120
10.100.253.191:10250,1716825749.485,1590661120
10.100.253.191:10250,1716825750.485,1590661120
10.100.253.191:10250,1716825751.485,1590661120
10.100.253.191:10250,1716825752.485,1590661120
10.100.253.191:10250,1716825753.485,1590661120
10.100.253.191:10250,1716825754.485,1590661120
10.100.253.191:10250,1716825755.485,1593987072
10.100.253.191:10250,1716825756.485,1597456384
10.100.253.191:10250,1716825757.485,1597456384
10.100.253.191:10250,1716825758.485,1599688704
10.100.253.191:10250,1716825759.485,1599688704
10.100.253.191:10250,1716825760.485,1599578112
10.100.253.191:10250,1716825761.485,1599578112
10.100.253.191:10250,1716825762.485,1599578112
10.100.253.191:10250,1716825763.485,1599578112
10.100.253.191:10250,1716825764.485,1599578112
10.100.253.191:10250,1716825765.485,1616281600
10.100.253.191:10250,1716825766.485,1616412672
10.100.253.191:10250,1716825767.485,1616412672
10.100.253.191:10250,1716825768.485,1623973888
10.100.253.191:10250,1716825769.485,1623973888
10.100.253.191:10250,1716825770.485,1623973888
10.100.253.191:10250,1716825771.485,1623973888
10.100.253.191:10250,1716825772.485,1623973888
10.100.253.191:10250,1716825773.485,1623973888
10.100.253.191:10250,1716825774.485,1623973888
10.100.253.191:10250,1716825775.485,1623973888
10.100.253.191:10250,1716825776.485,1623973888
10.100.253.191:10250,1716825777.485,1623973888
10.100.253.191:10250,1716825778.485,1623973888
10.100.253.191:10250,1716825779.485,1623973888
10.100.253.191:10250,1716825780.485,1623973888
10.100.253.191:10250,1716825781.485,1623973888
10.100.253.191:10250,1716825782.485,1623973888
10.100.253.191:10250,1716825783.485,1623973888
10.100.253.191:10250,1716825784.485,1623760896
