pod,instance,timestamp,value
calico-node-gwvg9,10.100.253.191:10250,1716825933.888,0.04791906686301889
calico-node-gwvg9,10.100.253.191:10250,1716825934.888,0.04791906686301889
calico-node-gwvg9,10.100.253.191:10250,1716825935.888,0.04791906686301889
calico-node-gwvg9,10.100.253.191:10250,1716825936.888,0.04791906686301889
calico-node-gwvg9,10.100.253.191:10250,1716825937.888,0.04152270702668312
calico-node-gwvg9,10.100.253.191:10250,1716825938.888,0.04111344476829577
calico-node-gwvg9,10.100.253.191:10250,1716825939.888,0.04070418250990843
calico-node-gwvg9,10.100.253.191:10250,1716825940.888,0.04029492025152108
calico-node-gwvg9,10.100.253.191:10250,1716825941.888,0.03988565799313375
calico-node-gwvg9,10.100.253.191:10250,1716825942.888,0.04542733024916937
calico-node-gwvg9,10.100.253.191:10250,1716825943.888,0.04425232803336504
calico-node-gwvg9,10.100.253.191:10250,1716825944.888,0.04229996640797927
calico-node-gwvg9,10.100.253.191:10250,1716825945.888,0.04229996640797927
calico-node-gwvg9,10.100.253.191:10250,1716825946.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825947.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825948.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825949.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825950.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825951.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825952.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825953.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825954.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825955.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825956.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825957.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825958.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825959.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825960.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825961.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825962.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825963.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825964.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825965.888,0.04097130400506017
calico-node-gwvg9,10.100.253.191:10250,1716825966.888,0.039470596040390736
calico-node-gwvg9,10.100.253.191:10250,1716825967.888,0.039470596040390736
calico-node-gwvg9,10.100.253.191:10250,1716825968.888,0.039470596040390736
calico-node-gwvg9,10.100.253.191:10250,1716825969.888,0.032412369234281965
calico-node-gwvg9,10.100.253.191:10250,1716825970.888,0.032721758944528945
calico-node-gwvg9,10.100.253.191:10250,1716825971.888,0.033031148654775924
calico-node-gwvg9,10.100.253.191:10250,1716825972.888,0.03334053836502291
calico-node-gwvg9,10.100.253.191:10250,1716825973.888,0.03364992807526989
calico-node-gwvg9,10.100.253.191:10250,1716825974.888,0.03395931778551687
calico-node-gwvg9,10.100.253.191:10250,1716825975.888,0.038584539258854106
calico-node-gwvg9,10.100.253.191:10250,1716825976.888,0.032781072869369085
calico-node-gwvg9,10.100.253.191:10250,1716825977.888,0.033098134781294294
calico-node-gwvg9,10.100.253.191:10250,1716825978.888,0.037587097330331415
calico-node-gwvg9,10.100.253.191:10250,1716825979.888,0.037587097330331415
calico-node-gwvg9,10.100.253.191:10250,1716825980.888,0.037587097330331415
calico-node-gwvg9,10.100.253.191:10250,1716825981.888,0.037587097330331415
calico-node-gwvg9,10.100.253.191:10250,1716825982.888,0.037587097330331415
calico-node-gwvg9,10.100.253.191:10250,1716825983.888,0.037587097330331415
calico-node-gwvg9,10.100.253.191:10250,1716825984.888,0.037587097330331415
calico-node-gwvg9,10.100.253.191:10250,1716825985.888,0.037587097330331415
calico-node-gwvg9,10.100.253.191:10250,1716825986.888,0.037587097330331415
calico-node-gwvg9,10.100.253.191:10250,1716825987.888,0.037587097330331415
calico-node-gwvg9,10.100.253.191:10250,1716825988.888,0.037587097330331415
calico-node-gwvg9,10.100.253.191:10250,1716825989.888,0.037587097330331415
