namespace,pod,container,timestamp,value
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825933.888,149.64833736339952
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825934.888,146.12624697745036
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825935.888,142.60415659150124
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825936.888,139.0820662055521
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825937.888,135.559975819603
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825938.888,132.03788543365386
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825939.888,128.51579504770473
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825940.888,124.9937046617556
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825941.888,121.47161427580646
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825942.888,117.94952388985735
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825943.888,114.42743350390823
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825944.888,110.90534311795909
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825945.888,107.38325273200998
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825946.888,103.86116234606084
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825947.888,202.92129406084018
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825948.888,202.92129406084018
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825949.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825950.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825951.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825952.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825953.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825954.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825955.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825956.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825957.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825958.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825959.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825960.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825961.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825962.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825963.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825964.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825965.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825966.888,199.20407909463995
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825974.888,165.23583162217656
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825975.888,169.3312000912617
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825976.888,173.42656856034677
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825977.888,177.52193702943188
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825978.888,245.72210814510606
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825979.888,245.72210814510606
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825980.888,245.72210814510606
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825981.888,245.72210814510606
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825982.888,245.72210814510606
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825983.888,245.72210814510606
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825984.888,245.72210814510606
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825985.888,245.72210814510606
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825986.888,245.72210814510606
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825987.888,245.72210814510606
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825988.888,245.72210814510606
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825989.888,245.72210814510606
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825990.888,245.72210814510606
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825991.888,245.72210814510606
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825992.888,245.72210814510606
cert-manager,cert-manager-7ddd8cdb9f-hrv46,POD,1716825993.888,245.72210814510606
