instance,timestamp,value
10.100.253.191:10250,1716829777.974,2104741888
10.100.253.191:10250,1716829778.974,2104762368
10.100.253.191:10250,1716829779.974,2107703296
10.100.253.191:10250,1716829780.974,2107703296
10.100.253.191:10250,1716829781.974,2106994688
10.100.253.191:10250,1716829782.974,2106355712
10.100.253.191:10250,1716829783.974,2115948544
10.100.253.191:10250,1716829784.974,2115911680
10.100.253.191:10250,1716829785.974,2115911680
10.100.253.191:10250,1716829786.974,2115911680
10.100.253.191:10250,1716829787.974,2115915776
10.100.253.191:10250,1716829788.974,2116169728
10.100.253.191:10250,1716829789.974,2116169728
10.100.253.191:10250,1716829790.974,2116169728
10.100.253.191:10250,1716829791.974,2116169728
10.100.253.191:10250,1716829792.974,2116169728
10.100.253.191:10250,1716829793.974,2116169728
10.100.253.191:10250,1716829794.974,2116169728
10.100.253.191:10250,1716829795.974,2116169728
10.100.253.191:10250,1716829796.974,2116169728
10.100.253.191:10250,1716829797.974,2116169728
10.100.253.191:10250,1716829798.974,2116169728
10.100.253.191:10250,1716829799.974,2116169728
10.100.253.191:10250,1716829800.974,2116165632
10.100.253.191:10250,1716829801.974,2116165632
10.100.253.191:10250,1716829802.974,2116177920
10.100.253.191:10250,1716829803.974,2116177920
10.100.253.191:10250,1716829804.974,2116177920
10.100.253.191:10250,1716829805.974,2116132864
10.100.253.191:10250,1716829806.974,2116378624
10.100.253.191:10250,1716829807.974,2121629696
10.100.253.191:10250,1716829808.974,2119106560
10.100.253.191:10250,1716829809.974,2119467008
10.100.253.191:10250,1716829810.974,2131017728
10.100.253.191:10250,1716829811.974,2131025920
10.100.253.191:10250,1716829812.974,2131390464
10.100.253.191:10250,1716829813.974,2131922944
10.100.253.191:10250,1716829814.974,2146295808
10.100.253.191:10250,1716829815.974,2146283520
10.100.253.191:10250,1716829816.974,2143768576
10.100.253.191:10250,1716829817.974,2143768576
10.100.253.191:10250,1716829818.974,2155876352
10.100.253.191:10250,1716829819.974,2155876352
10.100.253.191:10250,1716829820.974,2155876352
10.100.253.191:10250,1716829821.974,2155876352
10.100.253.191:10250,1716829822.974,2155876352
10.100.253.191:10250,1716829823.974,2155876352
10.100.253.191:10250,1716829824.974,2155876352
10.100.253.191:10250,1716829825.974,2155876352
10.100.253.191:10250,1716829826.974,2155876352
10.100.253.191:10250,1716829827.974,2155876352
10.100.253.191:10250,1716829828.974,2155876352
10.100.253.191:10250,1716829829.974,2155876352
10.100.253.191:10250,1716829830.974,2155876352
10.100.253.191:10250,1716829831.974,2155876352
10.100.253.191:10250,1716829832.974,2155880448
10.100.253.191:10250,1716829833.974,2155880448
10.100.253.191:10250,1716829834.974,2160889856
10.100.253.191:10250,1716829835.974,2160889856
10.100.253.191:10250,1716829836.974,2161475584
10.100.253.191:10250,1716829837.974,2161475584
10.100.253.191:10250,1716829838.974,2161709056
10.100.253.191:10250,1716829839.974,2167406592
10.100.253.191:10250,1716829840.974,2172477440
10.100.253.191:10250,1716829841.974,2172817408
10.100.253.191:10250,1716829842.974,2172530688
10.100.253.191:10250,1716829843.974,2174103552
10.100.253.191:10250,1716829844.974,2180538368
10.100.253.191:10250,1716829845.974,2180452352
10.100.253.191:10250,1716829846.974,2180476928
10.100.253.191:10250,1716829847.974,2188001280
10.100.253.191:10250,1716829848.974,2188267520
10.100.253.191:10250,1716829849.974,2195042304
10.100.253.191:10250,1716829850.974,2195042304
10.100.253.191:10250,1716829851.974,2195042304
10.100.253.191:10250,1716829852.974,2195042304
10.100.253.191:10250,1716829853.974,2195042304
10.100.253.191:10250,1716829854.974,2195042304
10.100.253.191:10250,1716829855.974,2195042304
10.100.253.191:10250,1716829856.974,2195042304
10.100.253.191:10250,1716829857.974,2195042304
10.100.253.191:10250,1716829858.974,2195042304
10.100.253.191:10250,1716829859.974,2195042304
10.100.253.191:10250,1716829860.974,2195042304
10.100.253.191:10250,1716829861.974,2195042304
10.100.253.191:10250,1716829862.974,2195042304
10.100.253.191:10250,1716829863.974,2197553152
10.100.253.191:10250,1716829864.974,2197553152
10.100.253.191:10250,1716829865.974,2197434368
10.100.253.191:10250,1716829866.974,2197454848
10.100.253.191:10250,1716829867.974,2197495808
10.100.253.191:10250,1716829868.974,2195636224
10.100.253.191:10250,1716829869.974,2188427264
10.100.253.191:10250,1716829870.974,2198745088
10.100.253.191:10250,1716829871.974,2198749184
10.100.253.191:10250,1716829872.974,2205384704
10.100.253.191:10250,1716829873.974,2205429760
10.100.253.191:10250,1716829874.974,2205442048
10.100.253.191:10250,1716829875.974,2209959936
10.100.253.191:10250,1716829876.974,2209959936
10.100.253.191:10250,1716829877.974,2209959936
10.100.253.191:10250,1716829878.974,2209959936
10.100.253.191:10250,1716829879.974,2209968128
10.100.253.191:10250,1716829880.974,2209968128
10.100.253.191:10250,1716829881.974,2209968128
10.100.253.191:10250,1716829882.974,2209968128
10.100.253.191:10250,1716829883.974,2209968128
10.100.253.191:10250,1716829884.974,2209968128
10.100.253.191:10250,1716829885.974,2209968128
10.100.253.191:10250,1716829886.974,2209968128
10.100.253.191:10250,1716829887.974,2209968128
10.100.253.191:10250,1716829888.974,2209968128
10.100.253.191:10250,1716829889.974,2209968128
10.100.253.191:10250,1716829890.974,2209968128
10.100.253.191:10250,1716829891.974,2209968128
10.100.253.191:10250,1716829892.974,2209976320
10.100.253.191:10250,1716829893.974,2209976320
10.100.253.191:10250,1716829894.974,2209976320
10.100.253.191:10250,1716829895.974,2210205696
10.100.253.191:10250,1716829896.974,2210885632
10.100.253.191:10250,1716829897.974,2218999808
10.100.253.191:10250,1716829898.974,2222989312
10.100.253.191:10250,1716829899.974,2222960640
10.100.253.191:10250,1716829900.974,2223349760
10.100.253.191:10250,1716829901.974,2235363328
