pod,namespace,container,timestamp,value
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829777.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829778.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829779.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829780.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829781.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829782.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829783.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829784.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829785.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829786.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829787.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829788.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829789.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829790.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829791.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829792.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829793.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829794.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829795.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829796.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829797.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829798.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829799.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829800.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829801.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829802.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829803.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829804.974,168.17629706749958
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829818.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829819.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829820.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829821.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829822.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829823.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829824.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829825.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829826.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829827.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829828.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829829.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829830.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829831.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829832.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829833.974,151.76071566775173
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829836.974,73.67349808847624
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829837.974,76.3250546149645
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829838.974,78.97661114145275
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829839.974,81.62816766794101
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829840.974,84.27972419442928
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829841.974,86.93128072091753
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829842.974,89.58283724740579
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829843.974,92.23439377389404
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829844.974,94.8859503003823
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829845.974,97.53750682687057
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829846.974,100.18906335335883
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829847.974,102.84061987984707
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829848.974,105.49217640633533
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829849.974,108.1437329328236
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829850.974,110.79528945931186
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829851.974,113.4468459858001
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829852.974,116.09840251228839
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829853.974,118.74995903877662
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829854.974,121.40151556526486
cert-manager-7ddd8cdb9f-qlfwp,cert-manager,POD,1716829855.974,124.05307209175315
