instance,timestamp,value
10.100.254.100:10250,1716830693.814,1817931776
10.100.254.100:10250,1716830694.814,1817931776
10.100.254.100:10250,1716830695.814,1817931776
10.100.254.100:10250,1716830696.814,1817931776
10.100.254.100:10250,1716830697.814,1817931776
10.100.254.100:10250,1716830698.814,1817931776
10.100.254.100:10250,1716830699.814,1817931776
10.100.254.100:10250,1716830700.814,1818333184
10.100.254.100:10250,1716830701.814,1818333184
10.100.254.100:10250,1716830702.814,1818333184
10.100.254.100:10250,1716830703.814,1818333184
10.100.254.100:10250,1716830704.814,1818333184
10.100.254.100:10250,1716830705.814,1818333184
10.100.254.100:10250,1716830706.814,1818337280
10.100.254.100:10250,1716830707.814,1818337280
10.100.254.100:10250,1716830708.814,1818374144
10.100.254.100:10250,1716830709.814,1818374144
10.100.254.100:10250,1716830710.814,1818378240
10.100.254.100:10250,1716830711.814,1818382336
10.100.254.100:10250,1716830712.814,1818345472
10.100.254.100:10250,1716830713.814,1817501696
10.100.254.100:10250,1716830714.814,1824890880
10.100.254.100:10250,1716830715.814,1824890880
10.100.254.100:10250,1716830716.814,1835048960
10.100.254.100:10250,1716830717.814,1835048960
10.100.254.100:10250,1716830718.814,1838866432
10.100.254.100:10250,1716830719.814,1838866432
10.100.254.100:10250,1716830720.814,1838866432
10.100.254.100:10250,1716830721.814,1838866432
10.100.254.100:10250,1716830722.814,1838866432
10.100.254.100:10250,1716830723.814,1838866432
10.100.254.100:10250,1716830724.814,1838866432
10.100.254.100:10250,1716830725.814,1838866432
10.100.254.100:10250,1716830726.814,1838866432
10.100.254.100:10250,1716830727.814,1838866432
10.100.254.100:10250,1716830728.814,1838866432
10.100.254.100:10250,1716830729.814,1838866432
10.100.254.100:10250,1716830730.814,1838874624
10.100.254.100:10250,1716830731.814,1838874624
10.100.254.100:10250,1716830732.814,1838874624
10.100.254.100:10250,1716830733.814,1838870528
10.100.254.100:10250,1716830734.814,1838886912
10.100.254.100:10250,1716830735.814,1841283072
10.100.254.100:10250,1716830736.814,1841283072
10.100.254.100:10250,1716830737.814,1841283072
10.100.254.100:10250,1716830738.814,1841283072
10.100.254.100:10250,1716830739.814,1841205248
10.100.254.100:10250,1716830740.814,1841242112
10.100.254.100:10250,1716830741.814,1841242112
10.100.254.100:10250,1716830742.814,1844584448
10.100.254.100:10250,1716830743.814,1844584448
10.100.254.100:10250,1716830744.814,1849044992
10.100.254.100:10250,1716830745.814,1853202432
10.100.254.100:10250,1716830746.814,1853022208
10.100.254.100:10250,1716830747.814,1853366272
10.100.254.100:10250,1716830748.814,1853366272
10.100.254.100:10250,1716830749.814,1853366272
10.100.254.100:10250,1716830750.814,1853366272
10.100.254.100:10250,1716830751.814,1853366272
10.100.254.100:10250,1716830752.814,1853366272
10.100.254.100:10250,1716830753.814,1853366272
10.100.254.100:10250,1716830754.814,1853366272
10.100.254.100:10250,1716830755.814,1853366272
10.100.254.100:10250,1716830756.814,1853366272
10.100.254.100:10250,1716830757.814,1853366272
10.100.254.100:10250,1716830758.814,1853366272
10.100.254.100:10250,1716830759.814,1853366272
10.100.254.100:10250,1716830760.814,1853366272
10.100.254.100:10250,1716830761.814,1853366272
10.100.254.100:10250,1716830762.814,1853370368
10.100.254.100:10250,1716830763.814,1853370368
10.100.254.100:10250,1716830764.814,1853132800
10.100.254.100:10250,1716830765.814,1853132800
10.100.254.100:10250,1716830766.814,1853132800
10.100.254.100:10250,1716830767.814,1853210624
10.100.254.100:10250,1716830768.814,1853210624
10.100.254.100:10250,1716830769.814,1857998848
10.100.254.100:10250,1716830770.814,1857998848
10.100.254.100:10250,1716830771.814,1857994752
10.100.254.100:10250,1716830772.814,1867763712
10.100.254.100:10250,1716830773.814,1867579392
10.100.254.100:10250,1716830774.814,1868181504
10.100.254.100:10250,1716830775.814,1873211392
10.100.254.100:10250,1716830776.814,1873211392
10.100.254.100:10250,1716830777.814,1873375232
10.100.254.100:10250,1716830778.814,1873387520
10.100.254.100:10250,1716830779.814,1873387520
10.100.254.100:10250,1716830780.814,1873387520
10.100.254.100:10250,1716830781.814,1873387520
10.100.254.100:10250,1716830782.814,1873387520
10.100.254.100:10250,1716830783.814,1873387520
10.100.254.100:10250,1716830784.814,1873387520
10.100.254.100:10250,1716830785.814,1873387520
10.100.254.100:10250,1716830786.814,1873387520
10.100.254.100:10250,1716830787.814,1873387520
10.100.254.100:10250,1716830788.814,1873387520
10.100.254.100:10250,1716830789.814,1875623936
10.100.254.100:10250,1716830790.814,1875632128
10.100.254.100:10250,1716830791.814,1876131840
10.100.254.100:10250,1716830792.814,1875845120
10.100.254.100:10250,1716830793.814,1875841024
10.100.254.100:10250,1716830794.814,1875841024
10.100.254.100:10250,1716830795.814,1875832832
10.100.254.100:10250,1716830796.814,1875869696
10.100.254.100:10250,1716830797.814,1881513984
10.100.254.100:10250,1716830798.814,1881518080
10.100.254.100:10250,1716830799.814,1881518080
10.100.254.100:10250,1716830800.814,1881518080
10.100.254.100:10250,1716830801.814,1881845760
10.100.254.100:10250,1716830802.814,1881845760
10.100.254.100:10250,1716830803.814,1881837568
10.100.254.100:10250,1716830804.814,1881829376
10.100.254.100:10250,1716830805.814,1888800768
10.100.254.100:10250,1716830806.814,1889312768
10.100.254.100:10250,1716830807.814,1894371328
10.100.254.100:10250,1716830808.814,1894371328
10.100.254.100:10250,1716830809.814,1894371328
10.100.254.100:10250,1716830810.814,1894371328
10.100.254.100:10250,1716830811.814,1894371328
10.100.254.100:10250,1716830812.814,1894371328
10.100.254.100:10250,1716830813.814,1894371328
10.100.254.100:10250,1716830814.814,1894371328
10.100.254.100:10250,1716830815.814,1894371328
10.100.254.100:10250,1716830816.814,1894371328
10.100.254.100:10250,1716830817.814,1894371328
10.100.254.100:10250,1716830818.814,1894371328
10.100.254.100:10250,1716830819.814,1894371328
10.100.254.100:10250,1716830820.814,1894371328
10.100.254.100:10250,1716830821.814,1894371328
10.100.254.100:10250,1716830822.814,1894383616
10.100.254.100:10250,1716830823.814,1894383616
10.100.254.100:10250,1716830824.814,1900138496
10.100.254.100:10250,1716830825.814,1900138496
10.100.254.100:10250,1716830826.814,1900298240
10.100.254.100:10250,1716830827.814,1904529408
10.100.254.100:10250,1716830828.814,1904529408
10.100.254.100:10250,1716830829.814,1904529408
10.100.254.100:10250,1716830830.814,1904603136
10.100.254.100:10250,1716830831.814,1904615424
10.100.254.100:10250,1716830832.814,1901395968
10.100.254.100:10250,1716830833.814,1901395968
10.100.254.100:10250,1716830834.814,1901395968
10.100.254.100:10250,1716830835.814,1907560448
10.100.254.100:10250,1716830836.814,1907568640
10.100.254.100:10250,1716830837.814,1907441664
10.100.254.100:10250,1716830838.814,1907441664
10.100.254.100:10250,1716830839.814,1907441664
10.100.254.100:10250,1716830840.814,1907441664
10.100.254.100:10250,1716830841.814,1907441664
10.100.254.100:10250,1716830842.814,1907441664
10.100.254.100:10250,1716830843.814,1907441664
10.100.254.100:10250,1716830844.814,1907441664
10.100.254.100:10250,1716830845.814,1907441664
10.100.254.100:10250,1716830846.814,1907441664
10.100.254.100:10250,1716830847.814,1907441664
10.100.254.100:10250,1716830848.814,1907441664
10.100.254.100:10250,1716830849.814,1907441664
10.100.254.100:10250,1716830850.814,1907441664
10.100.254.100:10250,1716830851.814,1907441664
10.100.254.100:10250,1716830852.814,1907064832
10.100.254.100:10250,1716830853.814,1906479104
10.100.254.100:10250,1716830854.814,1906479104
10.100.254.100:10250,1716830855.814,1906331648
10.100.254.100:10250,1716830856.814,1906331648
10.100.254.100:10250,1716830857.814,1906331648
10.100.254.100:10250,1716830858.814,1906335744
10.100.254.100:10250,1716830859.814,1909862400
10.100.254.100:10250,1716830860.814,1909862400
10.100.254.100:10250,1716830861.814,1909698560
