instance,timestamp,value
10.100.252.186:10250,1716046382,1945739264
10.100.252.186:10250,1716046383,1952919552
10.100.252.186:10250,1716046384,1953218560
10.100.252.186:10250,1716046385,1953218560
10.100.252.186:10250,1716046386,1958547456
10.100.252.186:10250,1716046387,1958547456
10.100.252.186:10250,1716046388,1958547456
10.100.252.186:10250,1716046389,1958547456
10.100.252.186:10250,1716046390,1958547456
10.100.252.186:10250,1716046391,1958547456
10.100.252.186:10250,1716046392,1958547456
10.100.252.186:10250,1716046393,1958547456
10.100.252.186:10250,1716046394,1958547456
10.100.252.186:10250,1716046395,1958547456
10.100.252.186:10250,1716046396,1958547456
10.100.252.186:10250,1716046397,1958547456
10.100.252.186:10250,1716046398,1958547456
10.100.252.186:10250,1716046399,1958547456
10.100.252.186:10250,1716046400,1958551552
10.100.252.186:10250,1716046401,1958662144
10.100.252.186:10250,1716046402,1958662144
10.100.252.186:10250,1716046403,1958662144
10.100.252.186:10250,1716046404,1958735872
10.100.252.186:10250,1716046405,1958834176
10.100.252.186:10250,1716046406,1958834176
10.100.252.186:10250,1716046407,1958834176
10.100.252.186:10250,1716046408,1962938368
10.100.252.186:10250,1716046409,1967861760
10.100.252.186:10250,1716046410,1967865856
10.100.252.186:10250,1716046411,1967869952
10.100.252.186:10250,1716046412,1967869952
10.100.252.186:10250,1716046413,1971175424
10.100.252.186:10250,1716046414,1971662848
10.100.252.186:10250,1716046415,1971748864
10.100.252.186:10250,1716046416,1985413120
10.100.252.186:10250,1716046417,1985413120
10.100.252.186:10250,1716046418,1985413120
10.100.252.186:10250,1716046419,1985413120
10.100.252.186:10250,1716046420,1985413120
10.100.252.186:10250,1716046421,1985413120
10.100.252.186:10250,1716046422,1985413120
10.100.252.186:10250,1716046423,1985413120
10.100.252.186:10250,1716046424,1985413120
10.100.252.186:10250,1716046425,1985413120
10.100.252.186:10250,1716046426,1985413120
10.100.252.186:10250,1716046427,1985413120
10.100.252.186:10250,1716046428,1985413120
10.100.252.186:10250,1716046429,1985413120
10.100.252.186:10250,1716046430,1985413120
10.100.252.186:10250,1716046431,1985413120
10.100.252.186:10250,1716046432,1985413120
10.100.252.186:10250,1716046433,1988661248
10.100.252.186:10250,1716046434,1988661248
10.100.252.186:10250,1716046435,1992339456
10.100.252.186:10250,1716046436,1992380416
10.100.252.186:10250,1716046437,1992359936
10.100.252.186:10250,1716046438,1992359936
10.100.252.186:10250,1716046439,1995653120
10.100.252.186:10250,1716046440,1999790080
10.100.252.186:10250,1716046441,1999781888
10.100.252.186:10250,1716046442,1999958016
10.100.252.186:10250,1716046443,1999855616
10.100.252.186:10250,1716046444,1999855616
10.100.252.186:10250,1716046445,1999933440
10.100.252.186:10250,1716046446,2000027648
10.100.252.186:10250,1716046447,2000027648
10.100.252.186:10250,1716046448,2000027648
10.100.252.186:10250,1716046449,2000027648
10.100.252.186:10250,1716046450,2000027648
10.100.252.186:10250,1716046451,2000027648
10.100.252.186:10250,1716046452,2000027648
10.100.252.186:10250,1716046453,2000027648
10.100.252.186:10250,1716046454,2000027648
10.100.252.186:10250,1716046455,2000027648
10.100.252.186:10250,1716046456,2000027648
10.100.252.186:10250,1716046457,2000027648
10.100.252.186:10250,1716046458,2000027648
10.100.252.186:10250,1716046459,2000027648
10.100.252.186:10250,1716046460,2000027648
10.100.252.186:10250,1716046461,2000031744
10.100.252.186:10250,1716046462,2000060416
10.100.252.186:10250,1716046463,2000060416
10.100.252.186:10250,1716046464,1999814656
10.100.252.186:10250,1716046465,1999814656
10.100.252.186:10250,1716046466,1999814656
10.100.252.186:10250,1716046467,1999843328
10.100.252.186:10250,1716046468,2005946368
10.100.252.186:10250,1716046469,2011414528
10.100.252.186:10250,1716046470,2011742208
10.100.252.186:10250,1716046471,2012008448
10.100.252.186:10250,1716046472,2011934720
10.100.252.186:10250,1716046473,2017243136
10.100.252.186:10250,1716046474,2022244352
10.100.252.186:10250,1716046475,2022342656
10.100.252.186:10250,1716046476,2022342656
10.100.252.186:10250,1716046477,2022342656
10.100.252.186:10250,1716046478,2022342656
10.100.252.186:10250,1716046479,2022342656
10.100.252.186:10250,1716046480,2022342656
10.100.252.186:10250,1716046481,2022342656
10.100.252.186:10250,1716046482,2022342656
10.100.252.186:10250,1716046483,2022342656
10.100.252.186:10250,1716046484,2022342656
10.100.252.186:10250,1716046485,2022342656
10.100.252.186:10250,1716046486,2022342656
10.100.252.186:10250,1716046487,2022342656
10.100.252.186:10250,1716046488,2022342656
10.100.252.186:10250,1716046489,2022342656
10.100.252.186:10250,1716046490,2022342656
10.100.252.186:10250,1716046491,2022088704
10.100.252.186:10250,1716046492,2022088704
10.100.252.186:10250,1716046493,2022227968
10.100.252.186:10250,1716046494,2022227968
10.100.252.186:10250,1716046495,2020265984
10.100.252.186:10250,1716046496,2020261888
10.100.252.186:10250,1716046497,2020147200
10.100.252.186:10250,1716046498,2020147200
10.100.252.186:10250,1716046499,2020147200
10.100.252.186:10250,1716046500,2020143104
10.100.252.186:10250,1716046501,2030755840
10.100.252.186:10250,1716046502,2030747648
10.100.252.186:10250,1716046503,2028789760
10.100.252.186:10250,1716046504,2036547584
10.100.252.186:10250,1716046505,2040197120
10.100.252.186:10250,1716046506,2040197120
10.100.252.186:10250,1716046507,2040197120
10.100.252.186:10250,1716046508,2040197120
10.100.252.186:10250,1716046509,2040197120
10.100.252.186:10250,1716046510,2040197120
10.100.252.186:10250,1716046511,2040197120
10.100.252.186:10250,1716046512,2040197120
10.100.252.186:10250,1716046513,2040197120
10.100.252.186:10250,1716046514,2040197120
10.100.252.186:10250,1716046515,2040197120
10.100.252.186:10250,1716046516,2040197120
10.100.252.186:10250,1716046517,2040197120
10.100.252.186:10250,1716046518,2040197120
10.100.252.186:10250,1716046519,2040197120
10.100.252.186:10250,1716046520,2040197120
10.100.252.186:10250,1716046521,2040209408
10.100.252.186:10250,1716046522,2014076928
10.100.252.186:10250,1716046523,2016616448
10.100.252.186:10250,1716046524,2016665600
10.100.252.186:10250,1716046525,2016661504
10.100.252.186:10250,1716046526,2016677888
10.100.252.186:10250,1716046527,1984880640
10.100.252.186:10250,1716046528,1988317184
10.100.252.186:10250,1716046529,1988362240
10.100.252.186:10250,1716046530,1988362240
10.100.252.186:10250,1716046531,1988374528
10.100.252.186:10250,1716046532,1993060352
10.100.252.186:10250,1716046533,1997279232
10.100.252.186:10250,1716046534,1997279232
10.100.252.186:10250,1716046535,1997279232
10.100.252.186:10250,1716046536,1997279232
10.100.252.186:10250,1716046537,1997279232
10.100.252.186:10250,1716046538,1997279232
10.100.252.186:10250,1716046539,1997279232
10.100.252.186:10250,1716046540,1997279232
10.100.252.186:10250,1716046541,1997279232
10.100.252.186:10250,1716046542,1997279232
10.100.252.186:10250,1716046543,1997279232
10.100.252.186:10250,1716046544,1997279232
10.100.252.186:10250,1716046545,1997279232
10.100.252.186:10250,1716046546,1997279232
10.100.252.186:10250,1716046547,1997279232
10.100.252.186:10250,1716046548,1997279232
10.100.252.186:10250,1716046549,1997279232
10.100.252.186:10250,1716046550,1997279232
10.100.252.186:10250,1716046551,1997279232
10.100.252.186:10250,1716046552,1997279232
10.100.252.186:10250,1716046553,1997279232
10.100.252.186:10250,1716046554,1999949824
10.100.252.186:10250,1716046555,1999949824
10.100.252.186:10250,1716046556,1999978496
10.100.252.186:10250,1716046557,2004369408
10.100.252.186:10250,1716046558,2009300992
10.100.252.186:10250,1716046559,2014224384
10.100.252.186:10250,1716046560,2014224384
10.100.252.186:10250,1716046561,2009067520
10.100.252.186:10250,1716046562,2009092096
10.100.252.186:10250,1716046563,2009096192
10.100.252.186:10250,1716046564,2013679616
10.100.252.186:10250,1716046565,2013999104
10.100.252.186:10250,1716046566,2014228480
10.100.252.186:10250,1716046567,2014228480
10.100.252.186:10250,1716046568,2014228480
10.100.252.186:10250,1716046569,2014228480
10.100.252.186:10250,1716046570,2014228480
10.100.252.186:10250,1716046571,2014228480
10.100.252.186:10250,1716046572,2014228480
10.100.252.186:10250,1716046573,2014228480
10.100.252.186:10250,1716046574,2014228480
10.100.252.186:10250,1716046575,2014228480
10.100.252.186:10250,1716046576,2014228480
10.100.252.186:10250,1716046577,2014228480
10.100.252.186:10250,1716046578,2014228480
10.100.252.186:10250,1716046579,2014240768
10.100.252.186:10250,1716046580,2014244864
10.100.252.186:10250,1716046581,2014236672
10.100.252.186:10250,1716046582,2014363648
10.100.252.186:10250,1716046583,2014363648
10.100.252.186:10250,1716046584,2014363648
10.100.252.186:10250,1716046585,2014949376
10.100.252.186:10250,1716046586,2017189888
10.100.252.186:10250,1716046587,2017415168
10.100.252.186:10250,1716046588,2019741696
10.100.252.186:10250,1716046589,2025783296
10.100.252.186:10250,1716046590,2025783296
10.100.252.186:10250,1716046591,2025799680
10.100.252.186:10250,1716046592,2025799680
10.100.252.186:10250,1716046593,2029830144
10.100.252.186:10250,1716046594,2029830144
10.100.252.186:10250,1716046595,2029830144
10.100.252.186:10250,1716046596,2029850624
10.100.252.186:10250,1716046597,2035126272
10.100.252.186:10250,1716046598,2035126272
10.100.252.186:10250,1716046599,2035126272
10.100.252.186:10250,1716046600,2035126272
10.100.252.186:10250,1716046601,2035126272
10.100.252.186:10250,1716046602,2035126272
10.100.252.186:10250,1716046603,2035126272
10.100.252.186:10250,1716046604,2035126272
10.100.252.186:10250,1716046605,2035126272
10.100.252.186:10250,1716046606,2035126272
10.100.252.186:10250,1716046607,2035126272
10.100.252.186:10250,1716046608,2035126272
10.100.252.186:10250,1716046609,2035126272
10.100.252.186:10250,1716046610,2035126272
10.100.252.186:10250,1716046611,2035126272
10.100.252.186:10250,1716046612,2035126272
10.100.252.186:10250,1716046613,2035126272
10.100.252.186:10250,1716046614,2035359744
10.100.252.186:10250,1716046615,2035359744
10.100.252.186:10250,1716046616,2035359744
10.100.252.186:10250,1716046617,2035892224
10.100.252.186:10250,1716046618,2036264960
10.100.252.186:10250,1716046619,2048245760
10.100.252.186:10250,1716046620,2048245760
10.100.252.186:10250,1716046621,2048237568
10.100.252.186:10250,1716046622,2050383872
10.100.252.186:10250,1716046623,2050383872
10.100.252.186:10250,1716046624,2052665344
10.100.252.186:10250,1716046625,2052661248
10.100.252.186:10250,1716046626,2052661248
10.100.252.186:10250,1716046627,2052661248
10.100.252.186:10250,1716046628,2052661248
10.100.252.186:10250,1716046629,2052661248
10.100.252.186:10250,1716046630,2052661248
10.100.252.186:10250,1716046631,2052661248
10.100.252.186:10250,1716046632,2052661248
10.100.252.186:10250,1716046633,2052661248
10.100.252.186:10250,1716046634,2052661248
10.100.252.186:10250,1716046635,2052661248
10.100.252.186:10250,1716046636,2052661248
10.100.252.186:10250,1716046637,2052661248
10.100.252.186:10250,1716046638,2052661248
10.100.252.186:10250,1716046639,2054901760
10.100.252.186:10250,1716046640,2054897664
10.100.252.186:10250,1716046641,2054897664
10.100.252.186:10250,1716046642,2054901760
10.100.252.186:10250,1716046643,2055663616
10.100.252.186:10250,1716046644,2055663616
10.100.252.186:10250,1716046645,2055663616
10.100.252.186:10250,1716046646,2055659520
10.100.252.186:10250,1716046647,2055598080
10.100.252.186:10250,1716046648,2055598080
10.100.252.186:10250,1716046649,2063773696
10.100.252.186:10250,1716046650,2064543744
10.100.252.186:10250,1716046651,2064547840
10.100.252.186:10250,1716046652,2064535552
10.100.252.186:10250,1716046653,2064531456
10.100.252.186:10250,1716046654,2064670720
10.100.252.186:10250,1716046655,2064670720
10.100.252.186:10250,1716046656,2069041152
10.100.252.186:10250,1716046657,2069041152
10.100.252.186:10250,1716046658,2069041152
10.100.252.186:10250,1716046659,2069041152
10.100.252.186:10250,1716046660,2069041152
10.100.252.186:10250,1716046661,2069041152
10.100.252.186:10250,1716046662,2069041152
10.100.252.186:10250,1716046663,2069041152
10.100.252.186:10250,1716046664,2069041152
10.100.252.186:10250,1716046665,2069041152
10.100.252.186:10250,1716046666,2069041152
10.100.252.186:10250,1716046667,2069041152
10.100.252.186:10250,1716046668,2069041152
10.100.252.186:10250,1716046669,2068897792
10.100.252.186:10250,1716046670,2068897792
10.100.252.186:10250,1716046671,2068897792
10.100.252.186:10250,1716046672,2068901888
10.100.252.186:10250,1716046673,2068897792
10.100.252.186:10250,1716046674,2068901888
10.100.252.186:10250,1716046675,2073391104
10.100.252.186:10250,1716046676,2073391104
10.100.252.186:10250,1716046677,2073280512
10.100.252.186:10250,1716046678,2073456640
10.100.252.186:10250,1716046679,2073456640
10.100.252.186:10250,1716046680,2073456640
10.100.252.186:10250,1716046681,2073456640
10.100.252.186:10250,1716046682,2073448448
10.100.252.7:10250,1716046382,803414016
10.100.252.7:10250,1716046383,803414016
10.100.252.7:10250,1716046384,807538688
10.100.252.7:10250,1716046385,812982272
10.100.252.7:10250,1716046386,813023232
10.100.252.7:10250,1716046387,819331072
10.100.252.7:10250,1716046388,819331072
10.100.252.7:10250,1716046389,819331072
10.100.252.7:10250,1716046390,819331072
10.100.252.7:10250,1716046391,819331072
10.100.252.7:10250,1716046392,819331072
10.100.252.7:10250,1716046393,819331072
10.100.252.7:10250,1716046394,819331072
10.100.252.7:10250,1716046395,819331072
10.100.252.7:10250,1716046396,819331072
10.100.252.7:10250,1716046397,819331072
10.100.252.7:10250,1716046398,819331072
10.100.252.7:10250,1716046399,819331072
10.100.252.7:10250,1716046400,819331072
10.100.252.7:10250,1716046401,819331072
10.100.252.7:10250,1716046402,819331072
10.100.252.7:10250,1716046403,819331072
10.100.252.7:10250,1716046404,819331072
10.100.252.7:10250,1716046405,819331072
10.100.252.7:10250,1716046406,825581568
10.100.252.7:10250,1716046407,825581568
10.100.252.7:10250,1716046408,825581568
10.100.252.7:10250,1716046409,825597952
10.100.252.7:10250,1716046410,825597952
10.100.252.7:10250,1716046411,825597952
10.100.252.7:10250,1716046412,825597952
10.100.252.7:10250,1716046413,825602048
10.100.252.7:10250,1716046414,825585664
10.100.252.7:10250,1716046415,836874240
10.100.252.7:10250,1716046416,848752640
10.100.252.7:10250,1716046417,848752640
10.100.252.7:10250,1716046418,848752640
10.100.252.7:10250,1716046419,853397504
10.100.252.7:10250,1716046420,853397504
10.100.252.7:10250,1716046421,853397504
10.100.252.7:10250,1716046422,853397504
10.100.252.7:10250,1716046423,853397504
10.100.252.7:10250,1716046424,853397504
10.100.252.7:10250,1716046425,853397504
10.100.252.7:10250,1716046426,853397504
10.100.252.7:10250,1716046427,853397504
10.100.252.7:10250,1716046428,853397504
10.100.252.7:10250,1716046429,853397504
10.100.252.7:10250,1716046430,853397504
10.100.252.7:10250,1716046431,853397504
10.100.252.7:10250,1716046432,853397504
10.100.252.7:10250,1716046433,853397504
10.100.252.7:10250,1716046434,858558464
10.100.252.7:10250,1716046435,858558464
10.100.252.7:10250,1716046436,858558464
10.100.252.7:10250,1716046437,858710016
10.100.252.7:10250,1716046438,858710016
10.100.252.7:10250,1716046439,863322112
10.100.252.7:10250,1716046440,863338496
10.100.252.7:10250,1716046441,863330304
10.100.252.7:10250,1716046442,863330304
10.100.252.7:10250,1716046443,863330304
10.100.252.7:10250,1716046444,873951232
10.100.252.7:10250,1716046445,873951232
10.100.252.7:10250,1716046446,873951232
10.100.252.7:10250,1716046447,879349760
10.100.252.7:10250,1716046448,879394816
10.100.252.7:10250,1716046449,879419392
10.100.252.7:10250,1716046450,879419392
10.100.252.7:10250,1716046451,879419392
10.100.252.7:10250,1716046452,879419392
10.100.252.7:10250,1716046453,879419392
10.100.252.7:10250,1716046454,879419392
10.100.252.7:10250,1716046455,879419392
10.100.252.7:10250,1716046456,879419392
10.100.252.7:10250,1716046457,879419392
10.100.252.7:10250,1716046458,879419392
10.100.252.7:10250,1716046459,879419392
10.100.252.7:10250,1716046460,879419392
10.100.252.7:10250,1716046461,879419392
10.100.252.7:10250,1716046462,879419392
10.100.252.7:10250,1716046463,879378432
10.100.252.7:10250,1716046464,879378432
10.100.252.7:10250,1716046465,879378432
10.100.252.7:10250,1716046466,879460352
10.100.252.7:10250,1716046467,879460352
10.100.252.7:10250,1716046468,879460352
10.100.252.7:10250,1716046469,879464448
10.100.252.7:10250,1716046470,884617216
10.100.252.7:10250,1716046471,890462208
10.100.252.7:10250,1716046472,890462208
10.100.252.7:10250,1716046473,908881920
10.100.252.7:10250,1716046474,908701696
10.100.252.7:10250,1716046475,908709888
10.100.252.7:10250,1716046476,908713984
10.100.252.7:10250,1716046477,908713984
10.100.252.7:10250,1716046478,908713984
10.100.252.7:10250,1716046479,913244160
10.100.252.7:10250,1716046480,913244160
10.100.252.7:10250,1716046481,913244160
10.100.252.7:10250,1716046482,913244160
10.100.252.7:10250,1716046483,913244160
10.100.252.7:10250,1716046484,913244160
10.100.252.7:10250,1716046485,913244160
10.100.252.7:10250,1716046486,913244160
10.100.252.7:10250,1716046487,913244160
10.100.252.7:10250,1716046488,913244160
10.100.252.7:10250,1716046489,913244160
10.100.252.7:10250,1716046490,913244160
10.100.252.7:10250,1716046491,914513920
10.100.252.7:10250,1716046492,914513920
10.100.252.7:10250,1716046493,914513920
10.100.252.7:10250,1716046494,914518016
10.100.252.7:10250,1716046495,914518016
10.100.252.7:10250,1716046496,914526208
10.100.252.7:10250,1716046497,914526208
10.100.252.7:10250,1716046498,914259968
10.100.252.7:10250,1716046499,914264064
10.100.252.7:10250,1716046500,914264064
10.100.252.7:10250,1716046501,914264064
10.100.252.7:10250,1716046502,921104384
10.100.252.7:10250,1716046503,921640960
10.100.252.7:10250,1716046504,921640960
10.100.252.7:10250,1716046505,928346112
10.100.252.7:10250,1716046506,928346112
10.100.252.7:10250,1716046507,935075840
10.100.252.7:10250,1716046508,942456832
10.100.252.7:10250,1716046509,947548160
10.100.252.7:10250,1716046510,947548160
10.100.252.7:10250,1716046511,947548160
