instance,pod,timestamp,value
10.100.252.157:10250,calico-node-n2292,1716879198.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879199.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879200.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879201.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879202.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879203.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879204.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879205.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879206.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879207.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879208.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879209.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879210.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879211.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879212.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879213.44,56451072
10.100.252.157:10250,calico-node-n2292,1716879214.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879215.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879216.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879217.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879218.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879219.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879220.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879221.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879222.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879223.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879224.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879225.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879226.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879227.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879228.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879229.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879230.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879231.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879232.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879233.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879234.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879235.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879236.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879237.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879238.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879239.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879240.44,56448341.33333333
10.100.252.157:10250,calico-node-n2292,1716879241.44,56459264
10.100.252.157:10250,calico-node-n2292,1716879242.44,56459264
10.100.252.157:10250,calico-node-n2292,1716879243.44,56459264
10.100.252.157:10250,calico-node-n2292,1716879244.44,56459264
10.100.252.157:10250,calico-node-n2292,1716879245.44,56459264
10.100.252.157:10250,calico-node-n2292,1716879246.44,56459264
10.100.252.157:10250,calico-node-n2292,1716879247.44,56459264
10.100.252.157:10250,calico-node-n2292,1716879248.44,56459264
10.100.252.157:10250,calico-node-n2292,1716879249.44,56459264
10.100.252.157:10250,calico-node-n2292,1716879250.44,56459264
10.100.252.157:10250,calico-node-n2292,1716879251.44,56459264
10.100.252.157:10250,calico-node-n2292,1716879252.44,56459264
10.100.252.157:10250,calico-node-n2292,1716879253.44,56459264
10.100.252.157:10250,calico-node-n2292,1716879254.44,56472917.33333333
10.100.252.157:10250,calico-node-n2292,1716879255.44,56472917.33333333
