namespace,container,pod,timestamp,value
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879586.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879587.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879588.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879589.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879590.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879591.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879592.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879593.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879594.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879595.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879596.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879597.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879598.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879599.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879600.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879601.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879602.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879603.253,404.0730871716787
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879604.253,294.7780516431925
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879605.253,288.0435001903312
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879606.253,281.30894873746985
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879607.253,359.8295188759334
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879608.253,359.8295188759334
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879609.253,322.8719514133995
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879610.253,322.8719514133995
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879611.253,322.8719514133995
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879612.253,322.8719514133995
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879613.253,322.8719514133995
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879614.253,322.8719514133995
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879615.253,322.8719514133995
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879616.253,322.8719514133995
cert-manager,POD,cert-manager-7ddd8cdb9f-nflbq,1716879617.253,322.8719514133995
