pod,container,namespace,timestamp,value
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936090.472,2.2333333333333334
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936091.472,2.8849418341319226
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936092.472,2.805082957877423
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936093.472,2.7252240816229234
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936094.472,2.6453652053684236
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936095.472,2.565506329113924
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936096.472,2.4856474528594243
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936097.472,5.236439221329496
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936098.472,5.236439221329496
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936099.472,5.236439221329496
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936100.472,5.236439221329496
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936101.472,5.236439221329496
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936102.472,5.236439221329496
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936103.472,5.236439221329496
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936104.472,5.236439221329496
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936105.472,5.236439221329496
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936106.472,5.236439221329496
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936107.472,5.409003911125905
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936108.472,5.409003911125905
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936109.472,5.409003911125905
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936110.472,5.409003911125905
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936111.472,5.409003911125905
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936112.472,5.409003911125905
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936113.472,5.409003911125905
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936114.472,5.409003911125905
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936115.472,5.409003911125905
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936116.472,5.409003911125905
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936117.472,5.409003911125905
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936118.472,5.409003911125905
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936119.472,5.409003911125905
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936120.472,5.409003911125905
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936134.472,4.941321803582458
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936135.472,4.941321803582458
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936136.472,4.941321803582458
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936137.472,4.941321803582458
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936138.472,4.941321803582458
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936139.472,4.941321803582458
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936140.472,4.941321803582458
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936141.472,4.941321803582459
karmada-agent-f95c4fdc6-p88cd,POD,karmada-system,1715936142.472,4.941321803582458
