pod,instance,timestamp,value
calico-node-ssn5n,10.100.252.254:10250,1715937378.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937379.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937380.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937381.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937382.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937383.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937384.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937385.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937386.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937387.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937388.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937389.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937390.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937391.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937392.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937393.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937394.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937395.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937396.065,117466453.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937397.065,117511509.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937398.065,117511509.33333333
calico-node-ssn5n,10.100.252.254:10250,1715937399.065,117598890.66666666
calico-node-ssn5n,10.100.252.254:10250,1715937400.065,117598890.66666666
calico-node-ssn5n,10.100.252.254:10250,1715937401.065,117598890.66666666
calico-node-ssn5n,10.100.252.254:10250,1715937402.065,117598890.66666666
calico-node-ssn5n,10.100.252.254:10250,1715937403.065,117598890.66666666
calico-node-ssn5n,10.100.252.254:10250,1715937404.065,117598890.66666666
calico-node-ssn5n,10.100.252.254:10250,1715937405.065,117598890.66666666
