namespace,pod,timestamp,value
kube-system,kube-apiserver-kubernetes-1,1715932523.599,1027795763.2
kube-system,kube-apiserver-kubernetes-1,1715932524.599,1027795763.2
kube-system,kube-apiserver-kubernetes-1,1715932525.599,1027795763.2
kube-system,kube-apiserver-kubernetes-1,1715932526.599,1027795763.2
kube-system,kube-apiserver-kubernetes-1,1715932527.599,1027795763.2
kube-system,kube-apiserver-kubernetes-1,1715932528.599,1027795763.2
kube-system,kube-apiserver-kubernetes-1,1715932529.599,1027795763.2
kube-system,kube-apiserver-kubernetes-1,1715932530.599,1027795763.2
kube-system,kube-apiserver-kubernetes-1,1715932531.599,1027795763.2
kube-system,kube-apiserver-kubernetes-1,1715932532.599,1027795763.2
kube-system,kube-apiserver-kubernetes-1,1715932533.599,1027795763.2
kube-system,kube-apiserver-kubernetes-1,1715932534.599,1027795763.2
kube-system,kube-apiserver-kubernetes-1,1715932535.599,1027795763.2
kube-system,kube-apiserver-kubernetes-1,1715932536.599,1027795763.2
kube-system,kube-apiserver-kubernetes-1,1715932537.599,1023537561.6
kube-system,kube-apiserver-kubernetes-1,1715932538.599,1023537561.6
kube-system,kube-apiserver-kubernetes-1,1715932539.599,1023537561.6
kube-system,kube-apiserver-kubernetes-1,1715932540.599,1023537561.6
kube-system,kube-apiserver-kubernetes-1,1715932541.599,1017249792
kube-system,kube-apiserver-kubernetes-1,1715932542.599,1017249792
kube-system,kube-apiserver-kubernetes-1,1715932543.599,1017249792
kube-system,kube-apiserver-kubernetes-1,1715932544.599,1017249792
kube-system,kube-apiserver-kubernetes-1,1715932545.599,1017249792
kube-system,kube-apiserver-kubernetes-1,1715932546.599,1017249792
kube-system,kube-apiserver-kubernetes-1,1715932547.599,1017249792
kube-system,kube-apiserver-kubernetes-1,1715932548.599,1017249792
kube-system,kube-apiserver-kubernetes-1,1715932549.599,1017249792
kube-system,kube-apiserver-kubernetes-1,1715932550.599,1017249792
kube-system,kube-apiserver-kubernetes-1,1715932551.599,1017249792
kube-system,kube-apiserver-kubernetes-1,1715932552.599,1017249792
kube-system,kube-apiserver-kubernetes-1,1715932553.599,1015209164.8000001
kube-system,kube-apiserver-kubernetes-1,1715932554.599,1015209164.8000001
kube-system,kube-apiserver-kubernetes-1,1715932555.599,1015209164.8000001
kube-system,kube-apiserver-kubernetes-1,1715932556.599,1015209164.8000001
kube-system,kube-apiserver-kubernetes-1,1715932557.599,1015209164.8000001
kube-system,kube-apiserver-kubernetes-1,1715932558.599,1015209164.8000001
kube-system,kube-apiserver-kubernetes-1,1715932559.599,1015209164.8000001
kube-system,kube-apiserver-kubernetes-1,1715932560.599,1015209164.8000001
kube-system,kube-apiserver-kubernetes-1,1715932561.599,1015209164.8000001
kube-system,kube-apiserver-kubernetes-1,1715932562.599,1015209164.8000001
kube-system,kube-apiserver-kubernetes-1,1715932563.599,1015209164.8000001
kube-system,kube-apiserver-kubernetes-1,1715932564.599,1015209164.8000001
kube-system,kube-apiserver-kubernetes-1,1715932565.599,1015209164.8000001
kube-system,kube-apiserver-kubernetes-1,1715932566.599,1015209164.8000001
kube-system,kube-apiserver-kubernetes-1,1715932567.599,1013551401.8909092
kube-system,kube-apiserver-kubernetes-1,1715932568.599,1008921804.8
kube-system,kube-apiserver-kubernetes-1,1715932569.599,1008921804.8
kube-system,kube-apiserver-kubernetes-1,1715932570.599,1008921804.8
kube-system,kube-apiserver-kubernetes-1,1715932571.599,1008921804.8
kube-system,kube-apiserver-kubernetes-1,1715932572.599,1003973745.7777778
