instance,pod,timestamp,value
10.100.252.254:10250,calico-node-ssn5n,1715933481.824,117222058.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933482.824,117222058.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933483.824,117222058.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933484.824,117222058.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933485.824,117222058.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933486.824,117222058.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933487.824,117222058.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933488.824,117222058.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933489.824,117222058.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933490.824,117222058.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933491.824,117222058.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933492.824,117343573.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933493.824,117343573.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933494.824,117343573.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933495.824,117343573.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933496.824,117343573.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933497.824,117343573.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933498.824,117343573.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933499.824,117343573.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933500.824,117343573.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933501.824,117428224
10.100.252.254:10250,calico-node-ssn5n,1715933502.824,117428224
10.100.252.254:10250,calico-node-ssn5n,1715933503.824,117428224
10.100.252.254:10250,calico-node-ssn5n,1715933504.824,117428224
10.100.252.254:10250,calico-node-ssn5n,1715933505.824,117428224
10.100.252.254:10250,calico-node-ssn5n,1715933506.824,117428224
10.100.252.254:10250,calico-node-ssn5n,1715933507.824,117428224
10.100.252.254:10250,calico-node-ssn5n,1715933508.824,117428224
10.100.252.254:10250,calico-node-ssn5n,1715933509.824,117428224
10.100.252.254:10250,calico-node-ssn5n,1715933510.824,117428224
10.100.252.254:10250,calico-node-ssn5n,1715933511.824,117428224
10.100.252.254:10250,calico-node-ssn5n,1715933512.824,117428224
10.100.252.254:10250,calico-node-ssn5n,1715933513.824,117428224
10.100.252.254:10250,calico-node-ssn5n,1715933514.824,117428224
10.100.252.254:10250,calico-node-ssn5n,1715933515.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933516.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933517.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933518.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933519.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933520.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933521.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933522.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933523.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933524.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933525.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933526.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933527.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933528.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933529.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933530.824,117359957.33333333
10.100.252.254:10250,calico-node-ssn5n,1715933531.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933532.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933533.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933534.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933535.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933536.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933537.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933538.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933539.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933540.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933541.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933542.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933543.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933544.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933545.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933546.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933547.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933548.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933549.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933550.824,117358592
10.100.252.254:10250,calico-node-ssn5n,1715933551.824,117346304
10.100.252.254:10250,calico-node-ssn5n,1715933552.824,117346304
10.100.252.254:10250,calico-node-ssn5n,1715933553.824,117346304
10.100.252.254:10250,calico-node-ssn5n,1715933554.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933555.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933556.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933557.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933558.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933559.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933560.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933561.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933562.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933563.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933564.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933565.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933566.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933567.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933568.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933569.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933570.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933571.824,117308074.66666667
10.100.252.254:10250,calico-node-ssn5n,1715933572.824,117308074.66666667
