pod,instance,timestamp,value
calico-node-ssn5n,10.100.252.254:10250,1715934409.494,117338112
calico-node-ssn5n,10.100.252.254:10250,1715934410.494,117338112
calico-node-ssn5n,10.100.252.254:10250,1715934411.494,117338112
calico-node-ssn5n,10.100.252.254:10250,1715934412.494,117338112
calico-node-ssn5n,10.100.252.254:10250,1715934413.494,117338112
calico-node-ssn5n,10.100.252.254:10250,1715934414.494,117338112
calico-node-ssn5n,10.100.252.254:10250,1715934415.494,117338112
calico-node-ssn5n,10.100.252.254:10250,1715934416.494,117338112
calico-node-ssn5n,10.100.252.254:10250,1715934417.494,117338112
calico-node-ssn5n,10.100.252.254:10250,1715934418.494,117338112
calico-node-ssn5n,10.100.252.254:10250,1715934419.494,117338112
calico-node-ssn5n,10.100.252.254:10250,1715934420.494,117338112
calico-node-ssn5n,10.100.252.254:10250,1715934421.494,117338112
calico-node-ssn5n,10.100.252.254:10250,1715934422.494,117368149.33333334
calico-node-ssn5n,10.100.252.254:10250,1715934423.494,117368149.33333334
calico-node-ssn5n,10.100.252.254:10250,1715934424.494,117368149.33333334
calico-node-ssn5n,10.100.252.254:10250,1715934425.494,117368149.33333334
calico-node-ssn5n,10.100.252.254:10250,1715934426.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934427.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934428.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934429.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934430.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934431.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934432.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934433.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934434.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934435.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934436.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934437.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934438.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934439.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934440.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934441.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934442.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934443.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934444.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934445.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934446.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934447.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934448.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934449.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934450.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934451.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934452.494,117381802.66666666
calico-node-ssn5n,10.100.252.254:10250,1715934453.494,117362688
calico-node-ssn5n,10.100.252.254:10250,1715934454.494,117362688
calico-node-ssn5n,10.100.252.254:10250,1715934455.494,117362688
calico-node-ssn5n,10.100.252.254:10250,1715934456.494,117362688
calico-node-ssn5n,10.100.252.254:10250,1715934457.494,117362688
calico-node-ssn5n,10.100.252.254:10250,1715934458.494,117362688
calico-node-ssn5n,10.100.252.254:10250,1715934459.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934460.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934461.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934462.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934463.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934464.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934465.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934466.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934467.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934468.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934469.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934470.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934471.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934472.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934473.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934474.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934475.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934476.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934477.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934478.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934479.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934480.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934481.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934482.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934483.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934484.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934485.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934486.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934487.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934488.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934489.494,117372245.33333333
calico-node-ssn5n,10.100.252.254:10250,1715934490.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934491.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934492.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934493.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934494.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934495.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934496.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934497.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934498.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934499.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934500.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934501.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934502.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934503.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934504.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934505.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934506.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934507.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934508.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934509.494,117370880
calico-node-ssn5n,10.100.252.254:10250,1715934510.494,117394090.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934511.494,117394090.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934512.494,117394090.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934513.494,117394090.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934514.494,117394090.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934515.494,117394090.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934516.494,117394090.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934517.494,117394090.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934518.494,117394090.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934519.494,117394090.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934520.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934521.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934522.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934523.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934524.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934525.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934526.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934527.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934528.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934529.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934530.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934531.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934532.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934533.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934534.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934535.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934536.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934537.494,117399552
calico-node-ssn5n,10.100.252.254:10250,1715934538.494,117377706.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934539.494,117377706.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934540.494,117377706.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934541.494,117377706.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934542.494,117377706.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934543.494,117377706.66666667
calico-node-ssn5n,10.100.252.254:10250,1715934544.494,117377706.66666667
