namespace,pod,container,timestamp,value
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833343.574,195.04678040726475
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833344.574,257.55154835273527
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833345.574,257.55154835273527
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833346.574,257.55154835273527
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833347.574,257.55154835273527
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833348.574,257.55154835273527
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833349.574,257.55154835273527
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833350.574,257.55154835273527
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833351.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833352.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833353.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833354.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833355.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833356.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833357.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833358.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833359.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833360.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833361.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833362.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833363.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833364.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833365.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833366.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833367.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833368.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833369.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833370.574,324.8410159181577
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833371.574,242.59939171307815
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833372.574,237.1853747811089
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833373.574,231.7713578491396
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833374.574,226.3573409171703
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833375.574,220.943323985201
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833376.574,215.5293070532317
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833377.574,238.49429866739936
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833378.574,172.0795989670363
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833379.574,172.0795989670363
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833380.574,172.0795989670363
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833381.574,172.0795989670363
cert-manager,cert-manager-7ddd8cdb9f-p2zlv,POD,1716833382.574,172.0795989670363
